vol_band,rank_in_band,game_id,title,year,n_active,users_rated_active,users_rated_pop_scrape,raw_active_mean,adj_mean_g,expected_quality_g,residual,residual_cv,SE,post_SD,residual_lb_95,residual_lb_95_post,adj_lb_95,categories,mechanics,weight,playing_time
10k-25k,9,118,Modern Art,1992,23104,25690.000000,25690.000000,7.497370,7.894104,7.132442,0.761662,0.752998,0.007856,0.007855,0.746264,0.746265,7.878707,"[""Card Game"", ""Economic""]","[""Auction / Bidding"", ""Auction: English"", ""Auction: Once Around"", ""Auction: Sealed Bid"", ""Auction: Turn Order Until Pass"", ""Commodity Speculation"", ""Hand Management"", ""Victory Points as a Resource""]",2.276500,45.000000
10k-25k,10,146652,Legendary Encounters: An Alien Deck Building Game,2014,12925,13796.000000,13796.000000,7.723238,7.995743,7.282018,0.713725,0.704747,0.010503,0.010502,0.693139,0.693141,7.975157,"[""Card Game"", ""Fighting"", ""Horror"", ""Movies / TV / Radio theme"", ""Science Fiction""]","[""Cooperative Game"", ""Deck, Bag, and Pool Building"", ""Delayed Purchase"", ""Events"", ""Hidden Roles"", ""Open Drafting"", ""Player Elimination"", ""Solo / Solitaire Game"", ""Team-Based Game"", ""Traitor Game"", ""Variable Player Powers""]",2.707800,60.000000
25k+,1,172,For Sale,1997,31917,34640.000000,34640.000000,7.253411,7.586249,6.840326,0.745922,0.765269,0.006684,0.006684,0.732822,0.732823,7.573149,"[""Card Game"", ""Economic""]","[""Auction / Bidding"", ""Auction: Sealed Bid"", ""Auction: Turn Order Until Pass"", ""Hand Management"", ""Selection Order Bid""]",1.248600,30.000000
25k+,2,161936,Pandemic Legacy: Season 1,2015,51174,57680.000000,57680.000000,8.495952,8.741258,8.096238,0.645020,0.651371,0.005278,0.005278,0.634674,0.634674,8.730912,"[""Environmental"", ""Medical""]","[""Action Points"", ""Cooperative Game"", ""Hand Management"", ""Legacy Game"", ""Multi-Use Cards"", ""Point to Point Movement"", ""Scenario / Mission / Campaign Game"", ""Set Collection"", ""Tags"", ""Trading"", ""Variable Player Powers""]",2.828300,60.000000
25k+,3,12,Ra,1999,27545,32722.000000,32722.000000,7.652720,8.042828,7.423166,0.619662,0.569085,0.007195,0.007194,0.605560,0.605561,8.028726,"[""Ancient"", ""Mythology""]","[""Auction / Bidding"", ""Auction: Once Around"", ""Closed Economy Auction"", ""Constrained Bidding"", ""Hidden Victory Points"", ""Push Your Luck"", ""Set Collection""]",2.303900,60.000000
25k+,4,316554,Dune: Imperium,2020,46981,59355.000000,59355.000000,8.383324,8.693805,8.127214,0.566592,0.568020,0.005509,0.005509,0.555794,0.555794,8.683008,"[""Movies / TV / Radio theme"", ""Novel-based"", ""Political"", ""Science Fiction""]","[""Card Play Conflict Resolution"", ""Deck, Bag, and Pool Building"", ""Delayed Purchase"", ""Force Commitment"", ""Increase Value of Unchosen Resources"", ""Multi-Use Cards"", ""Open Drafting"", ""Ownership"", ""Race"", ""Solo / Solitaire Game"", ""Tags"", ""Take That"", ""Turn Order: Progressive"", ""Variable Player Powers"", ""Worker Placement""]",3.078100,120.000000
25k+,5,2653,Survive: Escape from Atlantis!,1982,26110,28054.000000,28054.000000,7.290223,7.504063,6.971906,0.532157,0.538243,0.007390,0.007389,0.517673,0.517674,7.489579,"[""Adventure"", ""Animals"", ""Bluffing"", ""Nautical""]","[""Area Majority / Influence"", ""Dice Rolling"", ""Grid Movement"", ""Hexagon Grid"", ""Map Reduction"", ""Memory"", ""Modular Board"", ""Movement Points"", ""Secret Unit Deployment"", ""Take That""]",1.693000,60.000000
25k+,6,93,El Grande,1995,29944,33435.000000,33435.000000,7.751665,8.128761,7.621158,0.507603,0.570175,0.006900,0.006900,0.494078,0.494079,8.115237,"[""Medieval""]","[""Action Drafting"", ""Area Majority / Influence"", ""Auction / Bidding"", ""Hand Management"", ""Open Drafting"", ""Selection Order Bid"", ""Simultaneous Action Selection"", ""Take That"", ""Turn Order: Auction""]",2.931500,120.000000
25k+,7,54043,Jaipur,2009,52322,58737.000000,58737.000000,7.467052,7.697191,7.191716,0.505475,0.487843,0.005220,0.005220,0.495243,0.495243,7.686959,"[""Arabian"", ""Card Game"", ""Economic""]","[""End Game Bonuses"", ""Hand Management"", ""Hidden Victory Points"", ""Market"", ""Open Drafting"", ""Race"", ""Score-and-Reset Game"", ""Set Collection"", ""Sudden Death Ending"", ""Turn Order: Progressive"", ""Variable Set-up""]",1.463000,30.000000
25k+,8,12942,No Thanks!,2004,28146,30950.000000,30950.000000,7.070161,7.380109,6.895865,0.484244,0.490177,0.007117,0.007117,0.470294,0.470294,7.366159,"[""Card Game""]","[""Auction / Bidding"", ""Closed Economy Auction"", ""Push Your Luck"", ""Score-and-Reset Game"", ""Set Collection""]",1.129300,20.000000
25k+,9,173346,7 Wonders Duel,2015,93399,109987.000000,109987.000000,8.054205,8.257370,7.796354,0.461016,0.457124,0.003907,0.003907,0.453358,0.453358,8.249712,"[""Ancient"", ""Card Game"", ""City Building"", ""Civilization"", ""Economic""]","[""End Game Bonuses"", ""Income"", ""Melding and Splaying"", ""Modular Board"", ""Multi-Use Cards"", ""Once-Per-Game Abilities"", ""Open Drafting"", ""Score-and-Reset Game"", ""Set Collection"", ""Sudden Death Ending"", ""Tags"", ""Tech Trees / Tech Tracks"", ""Track Movement"", ""Tug of War"", ""Variable Set-up""]",2.227600,30.000000
25k+,10,124361,Concordia,2013,41255,46128.000000,46128.000000,8.075362,8.455317,7.998633,0.456684,0.461152,0.005879,0.005879,0.445161,0.445161,8.443794,"[""Ancient"", ""Economic"", ""Nautical""]","[""Action Retrieval"", ""Advantage Token"", ""Auction: Dutch"", ""Deck, Bag, and Pool Building"", ""End Game Bonuses"", ""Hand Management"", ""Hidden Victory Points"", ""Investment"", ""Movement Points"", ""Network and Route Building"", ""Open Drafting"", ""Point to Point Movement"", ""Set Collection"", ""Variable Set-up""]",2.985500,100.000000
