a,b,pearson,spearman,jaccard_top1,jaccard_top5,jaccard_top10
Q0_flex_year|ols|adj,Q0_flex_year|wls_n|adj,0.9862346801312066,0.9854742746785758,0.6222222222222222,0.7538829151732378,0.8091133004926109
Q0_flex_year|ols|adj,Q0|ols|adj,0.9542621445805661,0.9393171428963382,0.5051546391752577,0.5921908893709328,0.6331295163979989
Q0_flex_year|ols|adj,Q0|wls_n|adj,0.9482801800734912,0.9374980989639972,0.39712918660287083,0.5468914646996839,0.6205184776613348
Q0_flex_year|ols|adj,Q1_core_ns|gls_eff|adj,0.7925201225621138,0.7345396097245146,0.140625,0.27763272410791995,0.34277879341864714
Q0_flex_year|ols|adj,Q1_core_ns|ols|adj,0.7921980652041717,0.7341625607429332,0.140625,0.27652173913043476,0.3421653723161261
Q0_flex_year|ols|adj,Q1_core_ns|wls_n|adj,0.864440049856816,0.8252489223764533,0.19672131147540983,0.36685288640595903,0.43037974683544306
Q0_flex_year|ols|adj,Q1|ols|adj,0.7369384179711809,0.6731358045724962,0.07749077490774908,0.18962722852512157,0.28017429193899784
Q0_flex_year|ols|adj,Q1|wls_n|adj,0.8221067220122719,0.7762922067461631,0.12307692307692308,0.28546409807355516,0.362708719851577
Q0_flex_year|ols|adj,Q2_structure_ns|ols|adj,0.7860082625764611,0.7287160740985331,0.11877394636015326,0.2568493150684932,0.3210431654676259
Q0_flex_year|ols|adj,Q2_structure_ns|wls_n|adj,0.858700127477683,0.8187099689656497,0.18218623481781376,0.35174953959484345,0.4255215914604561
Q0_flex_year|ols|adj,Q2|ols|adj,0.7333940408139145,0.6698890360723947,0.07352941176470588,0.18101367658889783,0.26311263972484955
Q0_flex_year|ols|adj,Q2|wls_n|adj,0.8175459154538146,0.7713072186171723,0.11026615969581749,0.27541268462206775,0.3551660516605166
Q0_flex_year|ols|adj,Q3_categories_ns|gls_eff|adj,0.7578943034678997,0.706414240980801,0.11026615969581749,0.20922570016474465,0.2669253988788271
Q0_flex_year|ols|adj,Q3_categories_ns|ols|adj,0.7576713494337526,0.7061581279693883,0.11026615969581749,0.20922570016474465,0.2663793103448276
Q0_flex_year|ols|adj,Q3_categories_ns|wls_n|adj,0.8185235610388911,0.776036636077142,0.13618677042801555,0.2787456445993031,0.3415525114155251
Q0_flex_year|ols|adj,Q3b_6band|ols|adj,0.7527541959803838,0.6999147604438842,0.11450381679389313,0.20130932896890344,0.26365591397849464
Q0_flex_year|ols|adj,Q3b_6band|wls_n|adj,0.807608152745866,0.7623054511122278,0.13178294573643412,0.270995670995671,0.33849658314350795
Q0_flex_year|ols|adj,Q3b_flex_volume_ns|gls_eff|adj,0.7543566111111941,0.7015674545615722,0.11450381679389313,0.20426579163248565,0.26583369237397675
Q0_flex_year|ols|adj,Q3b_flex_volume_ns|ols|adj,0.7541337824593105,0.7013053801148809,0.11450381679389313,0.20426579163248565,0.26583369237397675
Q0_flex_year|ols|adj,Q3b_flex_volume_ns|wls_n|adj,0.8143234791685309,0.7712867560978813,0.1274131274131274,0.2798605056669573,0.34585432890517637
Q0_flex_year|ols|adj,Q3b|gls_eff|adj,0.7543566111111941,0.7015674545615722,0.11450381679389313,0.20426579163248565,0.26583369237397675
Q0_flex_year|ols|adj,Q3b|ols|adj,0.7541337824593105,0.7013053801148809,0.11450381679389313,0.20426579163248565,0.26583369237397675
Q0_flex_year|ols|adj,Q3b|wls_n|adj,0.8143234791685309,0.7712867560978813,0.1274131274131274,0.2798605056669573,0.34585432890517637
Q0_flex_year|ols|adj,Q3|gls_eff|adj,0.7043575513136777,0.6451741305901104,0.07352941176470588,0.16047430830039525,0.2267223382045929
Q0_flex_year|ols|adj,Q3|ols|adj,0.704117885861707,0.6448971420923475,0.07352941176470588,0.15955766192733017,0.2262103505843072
Q0_flex_year|ols|adj,Q3|wls_n|adj,0.7776753482916182,0.7289642298259437,0.08955223880597014,0.20922570016474465,0.29199648197009676
Q0_flex_year|ols|adj,Q4_mechanics_ns|ols|adj,0.7426728599687625,0.6950745095518707,0.09774436090225563,0.19738988580750408,0.2582441113490364
Q0_flex_year|ols|adj,Q4_mechanics_ns|wls_n|adj,0.7976779841741185,0.7541569202328172,0.11450381679389313,0.26008583690987125,0.3121929432782492
Q0_flex_year|ols|adj,Q4|gls_eff|adj,0.7392120510855124,0.6903196660692515,0.09774436090225563,0.18770226537216828,0.25234441602728047
Q0_flex_year|ols|adj,Q4|ols|adj,0.7390252728576979,0.6901020147270518,0.09774436090225563,0.18770226537216828,0.2518108223263741
Q0_flex_year|ols|adj,Q4|wls_n|adj,0.7932282621787293,0.749087561178561,0.1274131274131274,0.25362937660119556,0.3075211392968402
Q0_flex_year|wls_n|adj,Q0|ols|adj,0.9683633248997895,0.9562771253857989,0.6590909090909091,0.6587570621468927,0.6904487917146145
Q0_flex_year|wls_n|adj,Q0|wls_n|adj,0.9772285077898895,0.968577080445751,0.6222222222222222,0.703016241299304,0.7384615384615385
Q0_flex_year|wls_n|adj,Q1_core_ns|gls_eff|adj,0.7816442757919763,0.7252153861060426,0.140625,0.2720970537261698,0.3336359509759419
Q0_flex_year|wls_n|adj,Q1_core_ns|ols|adj,0.7812932054369186,0.7248105351844684,0.140625,0.270995670995671,0.33303085299455537
Q0_flex_year|wls_n|adj,Q1_core_ns|wls_n|adj,0.8705804371912367,0.8327018488763497,0.2217573221757322,0.3862134088762984,0.4444444444444444
Q0_flex_year|wls_n|adj,Q1|ols|adj,0.7550760698851708,0.6940559457788462,0.11026615969581749,0.20922570016474465,0.29713024282560707
Q0_flex_year|wls_n|adj,Q1|wls_n|adj,0.8451918437795245,0.8022414647477989,0.168,0.3213321332133213,0.3917574609189957
Q0_flex_year|wls_n|adj,Q2_structure_ns|ols|adj,0.7751886074226243,0.7194405925619468,0.13178294573643412,0.24936170212765957,0.3145413870246085
Q0_flex_year|wls_n|adj,Q2_structure_ns|wls_n|adj,0.8608941999686168,0.8219355173375439,0.21161825726141079,0.3592592592592593,0.43737769080234834
Q0_flex_year|wls_n|adj,Q2|ols|adj,0.7500691614075394,0.6892277422537004,0.10606060606060606,0.19934640522875818,0.2779469334493258
Q0_flex_year|wls_n|adj,Q2|wls_n|adj,0.8384264972164696,0.7949622535525775,0.168,0.3118856121537087,0.3825882352941177
Q0_flex_year|wls_n|adj,Q3_categories_ns|gls_eff|adj,0.7474938171639984,0.6979274638972732,0.13178294573643412,0.2022932022932023,0.2604032604032604
Q0_flex_year|wls_n|adj,Q3_categories_ns|ols|adj,0.7472417609536175,0.6976446135854674,0.13178294573643412,0.2022932022932023,0.25986277873070324
Q0_flex_year|wls_n|adj,Q3_categories_ns|wls_n|adj,0.8193973164483375,0.7776527344812497,0.168,0.28659070990359337,0.3470884915176525
Q0_flex_year|wls_n|adj,Q3b_6band|ols|adj,0.742668942067784,0.6918855720143671,0.13178294573643412,0.19349593495934958,0.25932276039434204
Q0_flex_year|wls_n|adj,Q3b_6band|wls_n|adj,0.81616157388389,0.7717515006216007,0.17269076305220885,0.28209606986899566,0.35018382352941174
Q0_flex_year|wls_n|adj,Q3b_flex_volume_ns|gls_eff|adj,0.7442009002419075,0.6934630080744515,0.13178294573643412,0.19738988580750408,0.2620274914089347
Q0_flex_year|wls_n|adj,Q3b_flex_volume_ns|ols|adj,0.7439485463574222,0.6931755551557326,0.13178294573643412,0.19738988580750408,0.2620274914089347
Q0_flex_year|wls_n|adj,Q3b_flex_volume_ns|wls_n|adj,0.818030017769187,0.7757950198565049,0.16334661354581673,0.28659070990359337,0.3545412632549562
Q0_flex_year|wls_n|adj,Q3b|gls_eff|adj,0.7442009002419075,0.6934630080744515,0.13178294573643412,0.19738988580750408,0.2620274914089347
Q0_flex_year|wls_n|adj,Q3b|ols|adj,0.7439485463574222,0.6931755551557326,0.13178294573643412,0.19738988580750408,0.2620274914089347
Q0_flex_year|wls_n|adj,Q3b|wls_n|adj,0.818030017769187,0.7757950198565049,0.16334661354581673,0.28659070990359337,0.3545412632549562
Q0_flex_year|wls_n|adj,Q3|gls_eff|adj,0.7223426605217357,0.6651625372274105,0.10606060606060606,0.1762820512820513,0.23809523809523808
Q0_flex_year|wls_n|adj,Q3|ols|adj,0.7220882835363839,0.6648719374038591,0.10606060606060606,0.1753402722177742,0.2375737152485257
Q0_flex_year|wls_n|adj,Q3|wls_n|adj,0.7969523371434155,0.7507071910912305,0.1274131274131274,0.23361344537815126,0.3110218652387327
Q0_flex_year|wls_n|adj,Q4_mechanics_ns|ols|adj,0.732449730493966,0.6872727963844545,0.11026615969581749,0.19155844155844157,0.2502127659574468
Q0_flex_year|wls_n|adj,Q4_mechanics_ns|wls_n|adj,0.7956194043393048,0.753433783094727,0.13618677042801555,0.2579263067694944,0.3092691622103387
Q0_flex_year|wls_n|adj,Q4|gls_eff|adj,0.7292722741225343,0.6829356995731872,0.11450381679389313,0.18387096774193548,0.2428087986463621
Q0_flex_year|wls_n|adj,Q4|ols|adj,0.7290607577430667,0.6826939871364256,0.11450381679389313,0.18387096774193548,0.24228329809725158
Q0_flex_year|wls_n|adj,Q4|wls_n|adj,0.7936210554469169,0.7508539887606678,0.1450980392156863,0.2568493150684932,0.3063583815028902
