game_id,title,n_obs,adj_mean,underratedness_Q3b,underratedness_Q4,delta_Q4_minus_Q3b,volume_band
731,Escape from New York,101,5.70391401862137,0.11639612482882278,0.6714392169564185,0.5550430921275957,100-199
103,Titan,3870,7.269785719785126,-0.27573512754270624,0.2744021075151668,0.550137235057873,2.5k-5k
2363,Orient Express,714,6.886248158909303,0.4332399621269607,0.9451185098421844,0.5118785477152237,500-999
149097,Spurs: A Tale in the Old West,322,7.131807314445439,0.0072084350175352085,0.5099562531126143,0.5027478180950791,200-499
230933,Merlin,3703,7.5457048607570805,-0.2918159346337035,0.2063922326926253,0.4982081673263288,2.5k-5k
804,Thunder Road,843,6.824106283673117,0.8170036352175964,1.304991327526941,0.48798769230934447,500-999
345435,Fireball Island: Race to Adventure,172,5.512160681445882,-1.0604205407893899,-0.5732699311704641,0.48715060961892576,100-199
215482,Road Hog: Rule the Road,242,6.489907692453607,-0.21546613181071717,0.24596904653364238,0.46143517834435954,200-499
230191,The Island of El Dorado,1512,6.5179638127093105,-0.5090539930458187,-0.04941580279057778,0.4596381902552409,1k-2.5k
2916,File 13,119,5.438260566504455,0.14259852892491764,0.5938584007572221,0.4512598718323044,100-199
260239,Dicium,191,6.836937010722593,-0.07072838245129276,0.3795670300590821,0.45029541251037486,100-199
4023,Frag Deadlands,247,5.533670591860843,-0.8286989139203671,-0.3800127404861966,0.4486861734341705,200-499
347883,Dandelions,1040,7.111540392897131,-0.1693363760287463,0.2776207345560797,0.446957110584826,1k-2.5k
355997,Thunder Road: Vendetta – Maximum Chrome,1069,8.909782794046846,1.0000868280793203,1.4444228947855695,0.44433606670624926,1k-2.5k
132428,BioShock Infinite: The Siege of Columbia,1127,6.863111351531988,-0.6220470689565376,-0.18042778433017137,0.44161928462636624,1k-2.5k
29736,Little Italy,253,5.94859814985124,-0.20186847526430807,0.23838592059546482,0.4402543958597729,200-499
785,Dog Eat Dog,131,5.481560908885711,-0.8776562360324194,-0.44259586235537096,0.4350603736770484,100-199
7976,Fantasy Pub,418,6.421984432617126,0.284608394686634,0.7141441926043672,0.4295357979177332,200-499
6982,Mission Command Air,259,5.881799576848848,-0.4818616667672151,-0.054359298876645035,0.42750236789057006,200-499
680,Dune,353,5.944846998849233,0.1294492058100314,0.5535987733615411,0.4241495675515097,200-499
