game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
309207,City Builder: Ancient World,Coop,ge20,0.7261904761904762,183,,,
309297,SCOPE Stalingrad,Wargame,0-4,0.2371541501976284,59,,,
309297,SCOPE Stalingrad,Wargame,5-19,0.3636363636363636,91,,,
309297,SCOPE Stalingrad,Wargame,ge20,0.3992094861660079,100,,,
316554,Dune: Imperium,Other,ALL,1.0,46940,8.691736482193742,0.6050398057877229,0.0
316555,The Umbrella Academy Game,Coop,0-4,0.1363636363636363,14,,,
316555,The Umbrella Academy Game,Coop,5-19,0.3363636363636363,36,,,
316555,The Umbrella Academy Game,Coop,ge20,0.5272727272727272,57,,,
316620,"Battle for Kursk: The Tigers Are Burning, 1943",Wargame,0-4,0.0158730158730158,1,,,
316620,"Battle for Kursk: The Tigers Are Burning, 1943",Wargame,5-19,0.0952380952380952,11,,,
316620,"Battle for Kursk: The Tigers Are Burning, 1943",Wargame,ge20,0.8888888888888888,112,,,
316622,Gods Love Dinosaurs,Other,ALL,1.0,1585,7.334334027506395,0.6988594948181647,0.0
316624,Stationfall,Other,ALL,1.0,2420,8.292604550632742,0.7903349004785736,0.0
316625,Cafe Chaos,Party,0-4,0.1881188118811881,18,,,
316625,Cafe Chaos,Party,5-19,0.4554455445544554,45,,,
316625,Cafe Chaos,Party,ge20,0.3564356435643564,36,,,
316632,La Marche du Crabe,Coop,0-4,0.0284360189573459,11,,,
316632,La Marche du Crabe,Coop,5-19,0.2251184834123222,94,,,
316632,La Marche du Crabe,Coop,ge20,0.7464454976303317,315,,,
316750,The Princess Bride Adventure Book Game,Coop,0-4,0.0580137659783677,58,,,
316750,The Princess Bride Adventure Book Game,Coop,5-19,0.2772861356932153,281,,,
316750,The Princess Bride Adventure Book Game,Coop,ge20,0.6647000983284169,676,,,
302270,Marshmallow Test,Other,ALL,1.0,632,7.45287315746071,0.6853605723009358,0.0
302280,Shifting Stones,Other,ALL,1.0,2338,6.8613581496597424,0.562601906127264,0.0
302281,Candy Lab,Other,ALL,1.0,343,6.663297622359163,0.5816456616770744,0.0
302310,Nanaki,Economic,0-4,0.0846153846153846,10,,,
302310,Nanaki,Economic,5-19,0.2769230769230769,35,,,
302310,Nanaki,Economic,ge20,0.6384615384615384,83,,,
302312,Chronicles of Crime: 2400,Coop,0-4,0.0367118914604948,45,,,
302312,Chronicles of Crime: 2400,Coop,5-19,0.2274541101356743,284,,,
302312,Chronicles of Crime: 2400,Coop,ge20,0.7358339984038308,922,,,
302336,Marvel Villainous: Infinite Power,Other,ALL,1.0,2753,6.80377027832558,0.5902054744735777,0.0
302344,Scooby-Doo: Escape from the Haunted Mansion,Coop,0-4,0.0237825594563986,20,,,
302344,Scooby-Doo: Escape from the Haunted Mansion,Coop,5-19,0.1562853907134767,137,,,
302344,Scooby-Doo: Escape from the Haunted Mansion,Coop,ge20,0.8199320498301246,724,,,
302388,Back to the Future: Back in Time,Coop,0-4,0.0622734761120263,188,,,
302388,Back to the Future: Back in Time,Coop,5-19,0.2691927512355848,816,,,
302388,Back to the Future: Back in Time,Coop,ge20,0.6685337726523888,2029,,,
