game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
311828,Sherwood Bandits,Other,ALL,1.0,146,6.690018670909956,0.6147214247368752,0.0
311829,The Arctic,Other,ALL,1.0,103,6.377253033614347,0.6809591431760845,0.0
311900,Votes for Women,Coop,0-4,0.0938271604938271,75,,,
311900,Votes for Women,Coop,5-19,0.2358024691358024,190,,,
311900,Votes for Women,Coop,ge20,0.6703703703703704,543,,,
311918,Lost Explorers,Other,ALL,1.0,383,5.994920074833513,0.6830581997341905,0.0
311920,Ultimate Werewolf: Extreme,Party,0-4,0.1007194244604316,13,,,
311920,Ultimate Werewolf: Extreme,Party,5-19,0.39568345323741,54,,,
311920,Ultimate Werewolf: Extreme,Party,ge20,0.5035971223021583,70,,,
311930,Block and Key,Other,ALL,1.0,737,7.276881759787884,0.6400005981227394,0.0
311988,Frostpunk: The Board Game,Economic,0-4,0.1391691394658753,468,,,
