subgroup,n_games,prop_insufficient_overlap_pct,prop_adequate_pct,sensitive_strongly_pct,cross_support_ge10_pct,taxonomy_high_pct,insufficient_overlap_n,n_prop_total,cross_total,ca_support_n,note
overall,14698,23.0,32.8,10.8,86.2,7.6,3385,14698,66911,57651,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
solo_first,691,34.4,15.8,22.7,80.5,19.1,238,691,3300,2658,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
duel_1_2p,2555,33.3,25.2,18.6,83.3,15.4,851,2555,11101,9244,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
wargame_duel,1153,47.7,0.0,39.7,81.0,32.1,550,1153,5709,4626,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
euro_duel,1079,21.8,49.5,0.8,86.5,0.8,235,1079,3978,3442,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
solo_mech,1397,18.0,31.8,11.2,89.4,5.7,251,1397,7641,6834,"player-eligible at-risk hypothesis: solo_first 34.4%→~20% with ≥10 solo_first ratings, not yet refit — ECE 0.00034 global, max_weight solo 2132 vs duel 1719 indicates mis-spec"
