base_title,game_id,title,year,weight,resid_Q3bFam,in_pruned
one night,180956,One Night Ultimate Vampire,2016,1.59,0.004,False
one night,204431,One Night Ultimate Alien,2017,1.9,0.023,False
one night,147949,One Night Ultimate Werewolf,2014,1.38,0.014,False
one night,163166,One Night Ultimate Werewolf: Daybreak,2015,1.41,0.522,False
one night,255293,One Night Ultimate Super Villains,2019,1.5,0.147,False
puerto rico,3076,Puerto Rico,2002,3.27,0.237,False
puerto rico,108687,Puerto Rico,2011,3.22,0.913,False
puerto rico,165332,Puerto Rico,2007,3.08,1.419,False
puerto rico,318985,Puerto Rico,2020,3.04,0.416,False
century: golem,232832,Century: Golem Edition,2017,1.71,0.459,False
century: golem,283619,Century: Golem Edition – Eastern Mountains,2019,2.19,0.216,False
century: golem,312318,Century: Golem Edition – An Endless World,2020,2.14,0.334,False
room 25,127024,Room 25,2013,1.93,-0.069,False
room 25,212956,Room 25 Ultimate,2016,2.14,1.051,False
the champion of the wild,186904,The Champion of the Wild,2018,1.2,0.692,False
the champion of the wild,295503,The Champion of the Wild (Second Edition),2019,1.2,1.121,False
last will,201856,Last Will,2016,2.5,0.742,False
last will,97842,Last Will,2011,2.72,0.115,False
arkham horror: the card game,205637,Arkham Horror: The Card Game,2016,3.57,-0.054,False
arkham horror: the card game,359609,Arkham Horror: The Card Game (Revised Edition),2021,3.74,0.548,False
tokyo highway,215463,Tokyo Highway,2016,1.41,0.011,False
tokyo highway,261901,Tokyo Highway,2018,1.46,0.022,False
viticulture,128621,Viticulture,2013,2.95,0.127,False
viticulture,183394,Viticulture Essential Edition,2015,2.9,0.24,False
pandánte,140163,Pandánte,2014,1.95,-0.063,False
pandánte,174852,Pandánte (Second Edition),2015,2.1,0.811,False
kitchen rush,223953,Kitchen Rush,2017,2.19,0.043,False
kitchen rush,287938,Kitchen Rush (Revised Edition),2019,2.12,0.227,False
aquasphere,289223,AquaSphere,2019,3.86,0.376,False
aquasphere,159508,AquaSphere,2014,3.68,-0.313,False
blitzkrieg!: world war two in 20 minutes,347521,Blitzkrieg!: World War Two in 20 Minutes,2021,1.72,0.271,False
blitzkrieg!: world war two in 20 minutes,258210,Blitzkrieg!: World War Two in 20 Minutes,2019,1.91,-0.06,False
the ancient world,259298,The Ancient World (Second Edition),2019,2.86,0.145,False
the ancient world,147253,The Ancient World,2014,2.73,0.103,False
gem rush,251350,Gem Rush (Second Edition),2018,2.0,0.161,False
gem rush,145393,Gem Rush,2013,1.79,0.321,False
chai,328636,Chai (Deluxe Edition),2020,2.0,-0.097,False
chai,253185,Chai,2019,1.71,-0.203,False
