base_title,game_id_a,title_a,year_a,weight_a,game_id_b,title_b,year_b,weight_b,designer_overlap,year_diff,weight_diff,corroborated,already_pruned_either,n_group
tsukuyumi: full moon down,299450,Tsukuyumi: Full Moon Down (Second Edition),2020,3.66,185538,Tsukuyumi: Full Moon Down,2018,3.77,True,2,0.119,True,False,2
tsukuyumi: full moon down,185538,Tsukuyumi: Full Moon Down,2018,3.77,299450,Tsukuyumi: Full Moon Down (Second Edition),2020,3.66,True,2,0.119,True,False,2
yggdrasil,147190,Yggdrasil (Second Edition with Asgard Expansion),2013,2.39,71671,Yggdrasil,2011,2.6,True,2,0.209,True,False,2
yggdrasil,71671,Yggdrasil,2011,2.6,147190,Yggdrasil (Second Edition with Asgard Expansion),2013,2.39,True,2,0.209,True,False,2
mag·blast,6209,Mag·Blast (Second Edition),2002,1.55,944,Mag·Blast,1998,1.58,True,4,0.033,True,False,2
mag·blast,944,Mag·Blast,1998,1.58,6209,Mag·Blast (Second Edition),2002,1.55,True,4,0.033,True,False,2
zombie in my pocket,41372,Zombie in My Pocket,2010,1.38,33468,Zombie in My Pocket,2007,1.3,True,3,0.074,True,False,2
zombie in my pocket,33468,Zombie in My Pocket,2007,1.3,41372,Zombie in My Pocket,2010,1.38,True,3,0.074,True,False,2
shipwrights of the north sea,249889,Shipwrights of the North Sea (Second Edition),2017,2.45,75547,Shipwrights of the North Sea,2014,2.31,True,3,0.148,True,False,2
shipwrights of the north sea,75547,Shipwrights of the North Sea,2014,2.31,249889,Shipwrights of the North Sea (Second Edition),2017,2.45,True,3,0.148,True,False,2
fleet: the dice game,328326,Fleet: The Dice Game (Second Edition),2020,2.23,245961,Fleet: The Dice Game,2018,2.5,True,2,0.278,True,False,2
fleet: the dice game,245961,Fleet: The Dice Game,2018,2.5,328326,Fleet: The Dice Game (Second Edition),2020,2.23,True,2,0.278,True,False,2
vanuatu,104020,Vanuatu,2011,3.29,193927,Vanuatu (Second Edition),2016,3.28,True,5,0.012,True,False,2
vanuatu,193927,Vanuatu (Second Edition),2016,3.28,104020,Vanuatu,2011,3.29,True,5,0.012,True,False,2
project: elite,171726,Project: ELITE,2016,2.45,256999,Project: ELITE,2020,2.46,True,4,0.015,True,False,2
project: elite,256999,Project: ELITE,2020,2.46,171726,Project: ELITE,2016,2.45,True,4,0.015,True,False,2
the cousins' war,224133,The Cousins' War,2017,2.0,262818,The Cousins' War (Second Edition),2018,2.12,True,1,0.118,True,False,2
the cousins' war,262818,The Cousins' War (Second Edition),2018,2.12,224133,The Cousins' War,2017,2.0,True,1,0.118,True,False,2
elevenses for one,158882,Elevenses for One,2014,1.26,200430,Elevenses for One,2016,1.25,True,2,0.011,True,False,2
elevenses for one,200430,Elevenses for One,2016,1.25,158882,Elevenses for One,2014,1.26,True,2,0.011,True,False,2
lord of the rings: the confrontation,18833,Lord of the Rings: The Confrontation,2005,2.19,3201,Lord of the Rings: The Confrontation,2002,2.15,True,3,0.044,True,False,2
lord of the rings: the confrontation,3201,Lord of the Rings: The Confrontation,2002,2.15,18833,Lord of the Rings: The Confrontation,2005,2.19,True,3,0.044,True,False,2
trick shot,256707,Trick Shot,2021,2.37,359612,Trick Shot (Second Edition),2024,2.5,True,3,0.132,True,False,2
trick shot,359612,Trick Shot (Second Edition),2024,2.5,256707,Trick Shot,2021,2.37,True,3,0.132,True,False,2
council of verona,165469,Council of Verona (Second Edition),2014,1.59,140863,Council of Verona,2013,1.37,True,1,0.217,True,False,2
council of verona,140863,Council of Verona,2013,1.37,165469,Council of Verona (Second Edition),2014,1.59,True,1,0.217,True,False,2
onirim,156336,Onirim (Second Edition),2014,1.61,71836,Onirim,2010,1.65,True,4,0.041,True,False,2
onirim,71836,Onirim,2010,1.65,156336,Onirim (Second Edition),2014,1.61,True,4,0.041,True,False,2
europa universalis: the price of power,254127,Europa Universalis: The Price of Power,2023,4.7,370448,Europa Universalis: The Price of Power (Deluxe Edition),2023,4.6,True,0,0.102,True,False,2
europa universalis: the price of power,370448,Europa Universalis: The Price of Power (Deluxe Edition),2023,4.6,254127,Europa Universalis: The Price of Power,2023,4.7,True,0,0.102,True,False,2
