game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket,hidden_bucket
102792,238,232,0.0008312194562678,eligible_<1700,eligible_<1700
102898,965,964,0.0034538601544921,eligible_<1700,eligible_<1700
103092,2068,2066,0.0074021525717643,borderline_1700-2500,borderline_1700-2500
103132,886,884,0.0031672327557791,eligible_<1700,eligible_<1700
108745,25143,25114,0.089979506140992,exclude_>2500,exclude_>2500
108783,323,323,0.0011572581223039,eligible_<1700,eligible_<1700
108832,146,145,0.0005195121601673,eligible_<1700,eligible_<1700
109125,1371,1368,0.004901328517993,eligible_<1700,eligible_<1700
109451,1090,1086,0.0038909669375295,eligible_<1700,eligible_<1700
109657,139,137,0.000490849420296,eligible_<1700,eligible_<1700
109779,1307,1305,0.0046756094415065,eligible_<1700,eligible_<1700
110102,391,391,0.0014008914112099,eligible_<1700,eligible_<1700
113997,5377,5370,0.019239864138613,exclude_>2500,exclude_>2500
114903,1000,991,0.0035505969015578,eligible_<1700,eligible_<1700
114991,550,547,0.0019598148387004,eligible_<1700,eligible_<1700
115793,188,179,0.0006413288046204,eligible_<1700,eligible_<1700
116593,197,188,0.0006735743869756,eligible_<1700,eligible_<1700
116860,149,149,0.000533843530103,eligible_<1700,eligible_<1700
116954,3463,3449,0.012357223727016,exclude_>2500,exclude_>2500
116978,144,140,0.0005015979477478,eligible_<1700,eligible_<1700
116998,4675,4662,0.0167032116600025,exclude_>2500,exclude_>2500
121958,705,705,0.0025259039511586,eligible_<1700,eligible_<1700
121995,151,150,0.0005374263725869,eligible_<1700,eligible_<1700
125658,868,857,0.0030704960087134,eligible_<1700,eligible_<1700
125678,7272,7194,0.0257749688292703,exclude_>2500,exclude_>2500
125924,880,879,0.0031493185433595,eligible_<1700,eligible_<1700
125943,482,480,0.0017197643922782,eligible_<1700,eligible_<1700
125977,673,653,0.0023395961419952,eligible_<1700,eligible_<1700
125996,332,328,0.0011751723347234,eligible_<1700,eligible_<1700
126026,126,108,0.0003869469882626,eligible_<1700,eligible_<1700
128554,1731,1723,0.0061732375997821,borderline_1700-2500,borderline_1700-2500
128671,8832,8809,0.0315612594407899,exclude_>2500,exclude_>2500
128698,677,675,0.0024184186766413,eligible_<1700,eligible_<1700
128780,3744,3726,0.0133496710950599,exclude_>2500,exclude_>2500
128882,33371,33371,0.1195630365306619,exclude_>2500,exclude_>2500
131493,323,318,0.0011393439098843,eligible_<1700,eligible_<1700
131904,1063,1056,0.0037834816630121,eligible_<1700,eligible_<1700
132148,241,224,0.0008025567163965,eligible_<1700,eligible_<1700
134520,533,480,0.0017197643922782,eligible_<1700,eligible_<1700
134524,145,133,0.0004765180503604,eligible_<1700,eligible_<1700
134596,117,116,0.0004156097281339,eligible_<1700,eligible_<1700
134726,6977,6888,0.024678619029193,exclude_>2500,exclude_>2500
134824,123,122,0.0004371067830373,eligible_<1700,eligible_<1700
135215,391,385,0.0013793943563065,eligible_<1700,eligible_<1700
135243,893,893,0.0031994783381343,eligible_<1700,eligible_<1700
135557,172,171,0.0006126660647491,eligible_<1700,eligible_<1700
135649,1942,1925,0.0068969717815325,borderline_1700-2500,borderline_1700-2500
135812,127,125,0.0004478553104891,eligible_<1700,eligible_<1700
136063,30819,30661,0.1098535333992576,exclude_>2500,exclude_>2500
139562,617,614,0.0021998652851226,eligible_<1700,eligible_<1700
139807,143,142,0.0005087636327156,eligible_<1700,eligible_<1700
139899,2093,2090,0.0074881407913782,borderline_1700-2500,borderline_1700-2500
139952,701,701,0.002511572581223,eligible_<1700,eligible_<1700
140179,149,149,0.000533843530103,eligible_<1700,eligible_<1700
140236,125,119,0.0004263582555856,eligible_<1700,eligible_<1700
140271,458,456,0.0016337761726643,eligible_<1700,eligible_<1700
140279,480,478,0.0017125987073104,eligible_<1700,eligible_<1700
140386,157,153,0.0005481749000386,eligible_<1700,eligible_<1700
140468,141,141,0.0005051807902317,eligible_<1700,eligible_<1700
140603,5258,5255,0.018827837252963,exclude_>2500,exclude_>2500
144150,152,151,0.0005410092150708,eligible_<1700,eligible_<1700
144239,2172,2169,0.0077711853476073,borderline_1700-2500,borderline_1700-2500
144290,125,125,0.0004478553104891,eligible_<1700,eligible_<1700
144310,129,129,0.0004621866804247,eligible_<1700,eligible_<1700
144382,281,281,0.0010067787379795,eligible_<1700,eligible_<1700
144415,1370,1369,0.0049049113604769,eligible_<1700,eligible_<1700
144468,394,390,0.001397308568726,eligible_<1700,eligible_<1700
144526,486,485,0.0017376786046978,eligible_<1700,eligible_<1700
144566,324,321,0.001150092437336,eligible_<1700,eligible_<1700
144789,263,261,0.0009351218883013,eligible_<1700,eligible_<1700
