band,n_users,mean_sd_raw,mean_sd_resid,mean_entropy,share10_raw,share10_adj,mean_corr_vs_consensus,median_corr,within_rmse,loo_rmse,holdout_rmse_even_to_odd
10-24,95343,1.2889119782016456,1.1503865916867568,1.9610959258037766,0.1176856393479499,0.049798956233337625,0.4414649308170513,0.49149190465003306,1.6301186695277035,1.204444873284704,1.203940503748466
25-49,71545,1.3231444015704967,1.154588268942206,2.170508696628169,0.08008441340746784,0.05340160097665269,0.4802449992410362,0.51440182768981,1.6566686955204588,1.2062051559714406,1.206475930977067
50-99,56925,1.3190188224651715,1.141952841980834,2.2449738162164743,0.05968633975674348,0.05261895447919553,0.4965961705451621,0.521913947181982,1.6654579915620185,1.1954791942106788,1.1952642448702067
100-249,44002,1.3088459897924856,1.1318205038620333,2.280139721005213,0.0409571684029362,0.048766646942325305,0.5016447578850718,0.5219662824355694,1.6693924256290749,1.1867735020883265,1.1860810091704626
250-499,14410,1.3134281878910046,1.1386120742945511,2.3119575775685277,0.026645955867616616,0.04348336583819422,0.5010452805570659,0.5174205095354193,1.6856823958450668,1.1953683486017355,1.1966984837798433
500-999,4844,1.308060617071369,1.1400574724387955,2.319696463642326,0.018513120387875736,0.03734210853450624,0.4948818335373088,0.509572833250482,1.6775942119200198,1.1898225375299467,1.1906638415652693
1000+,1059,1.3236144980713715,1.164257887720997,2.327502781201373,0.014420309773051665,0.0306951513927203,0.48357846583325403,0.49705656459685565,1.7035997780345924,1.2116675860062034,1.2127756313534463
