thr,n_users,mean_corr,median_corr
10,288128,0.47520965926300507,0.5121616448614116
20,216435,0.48838393055098894,0.5169592612727039
50,121240,0.4987750687441572,0.5205421060081352
100,64315,0.5007036045441714,0.519509101591407
