threshold_min_n,users,observations,pct_f_single_value,pct_f_k_le2,pct_f_range_le1,pct_f_sd_lt_02,pct_f_sd_lt_05,pct_f_modal_ge80,pct_f_modal_ge90,pct_f_modal_eq100,pct_f_entropy_lt05,pct_f_top2_ge95,pct_degenerate_broad,pct_degenerate_strict
1,287306,24146464,0.212,0.878,0.575,0.211,0.773,0.789,0.413,0.212,0.395,1.172,1.136,0.001
3,287306,24146464,0.212,0.878,0.575,0.211,0.773,0.789,0.413,0.212,0.395,1.172,1.136,0.001
5,287306,24146464,0.212,0.878,0.575,0.211,0.773,0.789,0.413,0.212,0.395,1.172,1.136,0.001
10,287306,24146464,0.212,0.878,0.575,0.211,0.773,0.789,0.413,0.212,0.395,1.172,1.136,0.001
20,214965,23135135,0.0,0.138,0.06,0.0,0.29,0.288,0.091,0.0,0.063,0.531,0.39,0.002
50,119970,20096618,0.0,0.048,0.015,0.0,0.218,0.173,0.065,0.0,0.046,0.279,0.282,0.001
100,63333,16119765,0.0,0.046,0.013,0.0,0.207,0.161,0.055,0.0,0.039,0.254,0.262,0.0
