group,users,median_distinct_games,p25_distinct_games,p75_distinct_games,median_host_game_volume,mean_niche_share_lt100,mean_user_mean_rating,flavor_counts
degenerate_strict,4,42.5,35.5,46.25,6092.0,0.0,9.1976,"{""single_high_9_10"": 0, ""single_low_1_3"": 0, ""other_strict"": 4}"
other_n_ge_20,214961,57.0,33.0,116.0,12884.0,0.0,7.3703,"""mixed"""
