game_id,title,split_type,n_low,n_high,mean_low_adj,mean_high_adj,diff_adj,se_diff,z,p_value,supported_ge10,supported_ge5,is_significant,n_obs_game,adj_mean_game,mean_low_raw,mean_high_raw,sd_low_adj,sd_high_adj,primary_type,weight
15,Cosmic Encounter,volume_10-24_vs_500plus,233,768,7.363317068484182,7.101057264936473,-0.2622598035477095,0.11567834774790801,-2.267146865887461,0.023381255432536108,True,True,True,3860,7.206148876049696,7.702145922746781,6.417301731770832,1.5044188089239783,1.678364790397201,Other,2.3712
17,Button Men,volume_10-24_vs_500plus,16,217,6.920007929348648,6.545593672868722,-0.374414256479926,0.32739716707948324,-1.143608723984555,0.25278594206288396,True,True,False,810,6.551266462135327,7.625,5.910092165898619,1.2546936482976525,1.381717532106627,Other,1.52
18,RoboRally,volume_10-24_vs_500plus,1613,3051,7.478983967367946,7.267808976778457,-0.2111749905894893,0.04022528938058466,-5.249806622681901,1.5225896188297838e-07,True,True,True,23442,7.319738283138892,7.741425914445133,6.5984319895116315,1.233492382071476,1.4348553215717885,Other,2.4284
23,Divine Right,volume_10-24_vs_500plus,47,114,7.567702418928399,7.159136721925658,-0.40856569700274115,0.2248422888472345,-1.8171212323867356,0.06919855233353367,True,True,False,592,7.294091505490232,8.037234042553191,6.527464561403509,1.2022657851214975,1.5023961135017054,Wargame,3.1558
27,Supremacy: The Game of the Superpowers,volume_10-24_vs_500plus,120,207,6.12347273327257,5.553850978394898,-0.5696217548776721,0.1895910537690162,-3.0044759156814296,0.0026603882071507545,True,True,True,1323,5.840794035576545,6.4425,4.8672946859903385,1.6578641989253908,1.6429792364629747,Wargame,3.124
31,Dark World,volume_10-24_vs_500plus,90,112,5.276326296527026,5.56402919480833,0.2877028982813039,0.18945258762226283,1.5186010489069486,0.12886294696940892,True,True,False,813,5.397209294442059,5.848888888888888,4.962410714285714,1.3983804445567098,1.2595493507148936,Other,1.8983
32,Buffalo Chess,volume_10-24_vs_500plus,9,153,6.674522889717411,6.418760408882092,-0.25576248083531894,0.6528992040275806,-0.3917334854409084,0.695255145655334,False,True,False,392,6.330818456572922,6.911111111111111,5.86537908496732,1.9387890835904065,1.148514180930396,Other,1.5333
36,Federation & Empire,volume_10-24_vs_500plus,39,60,6.680462172902244,6.123162831252387,-0.5572993416498573,0.3348001819083074,-1.6645729953709711,0.09599797670339716,True,True,False,407,6.611928363508733,6.897435897435898,5.489999999999999,1.4757930067597196,1.8370504417624296,Wargame,4.3594
116,Guillotine,volume_10-24_vs_500plus,1586,2900,6.800245637179525,6.670543569108531,-0.12970206807099327,0.03414109224406726,-3.7990017174547708,0.00014528008578373885,True,True,True,21167,6.729432136111635,7.192997793190416,6.0217921137931025,1.0508282942971736,1.1666956701708833,Other,1.2685
63,Samurai: Game of Politics and Warfare in Feudal Japan,volume_10-24_vs_500plus,33,94,6.621275506092083,6.499189657575955,-0.1220858485161278,0.2783562933349576,-0.43859561087493315,0.6609545778991541,True,True,False,437,6.666650449817496,6.984848484848484,5.901808510638298,1.4573050590086436,1.1108076488751046,Wargame,2.5926
66,Löwenherz,volume_10-24_vs_500plus,60,865,7.433203628175196,7.532345917319708,0.09914228914451151,0.18765018324747815,0.5283356905319936,0.5972663640773876,True,True,False,2649,7.505292616135361,7.558333333333334,6.833481630057805,1.416540195857441,1.2371774842619947,Other,2.7843
68,Successors: The Battles for Alexander's Empire (First/Second Edition),volume_10-24_vs_500plus,25,131,7.648782844811674,7.393342466495391,-0.2554403783162824,0.32349258867007147,-0.7896328610384482,0.4297422113482283,True,True,False,502,7.539457851024551,7.776,6.541996793893129,1.4831171519665018,1.4774036029700606,Wargame,3.2286
173,Formula Dé,volume_10-24_vs_500plus,449,1456,7.338156686366596,7.164366560921453,-0.1737901254451435,0.06476267894951492,-2.6834919163955497,0.007285773651992011,True,True,True,7719,7.249838628836167,7.677238307349666,6.5160025068681335,1.174027088379247,1.279505766782733,Other,1.9534
178,Mole Hill,volume_10-24_vs_500plus,5,109,5.90286459388371,6.402321246039953,0.49945665215624224,1.0328915628243398,0.4835518752719089,0.6287039356805264,False,True,False,217,6.340404720856987,6.6,5.76743119266055,2.295180105277328,1.2037921244748315,Other,1.7188
181,Risk,volume_10-24_vs_500plus,5244,2602,5.845068769287972,5.510122559215109,-0.3349462100728635,0.0332064323586177,-10.086786995229213,0.0,True,True,True,34214,5.661554580428261,6.127180583524027,4.864226752498078,1.3715161308398978,1.3913251971438299,Wargame,2.06
185,Devil Bunny Needs a Ham,volume_10-24_vs_500plus,40,151,5.973844824744696,5.531489701961832,-0.44235512278286393,0.2279687969414218,-1.9404196044273998,0.05232871596458066,True,True,False,713,5.55814609351662,6.43745,4.860463576158941,1.2251427589862027,1.4769075242235632,Other,1.1757
195,NASCAR Champions,volume_10-24_vs_500plus,6,32,5.174297322751582,5.615888937144207,0.4415916143926246,0.4855522453587842,0.9094626141957676,0.3631059834977701,False,True,False,106,5.729384931945348,5.5,4.995312500000001,1.0502931196595156,1.2888242924125315,Other,1.1
199,Manhattan,volume_10-24_vs_500plus,122,1740,6.923202416820931,7.216483731960921,0.29328131513999,0.10628476966341187,2.7593917366408047,0.005790907138599977,True,True,True,5828,7.087707062477001,7.150765,6.574168379310345,1.142021839343814,1.0270071606799167,Other,1.9258
214,Café International,volume_10-24_vs_500plus,69,881,6.549064342713422,6.616235292727166,0.06717095001374407,0.1534337753767356,0.43778463932608713,0.6615424070255362,True,True,False,2876,6.561018090178955,6.8594202898550725,5.99383628830874,1.2378529296507963,1.0844848700196958,Other,1.6422
424,1870: Railroading Across the Trans Mississippi from 1870,volume_10-24_vs_500plus,45,289,8.21703375663215,7.955267265900708,-0.26176649073144187,0.1962886143497342,-1.3335795945099673,0.18234167408492152,True,True,False,1053,8.0269285401184,8.2,7.113195640138409,1.194942355356552,1.4016902294918088,18XX,4.2016
433,Shark,volume_10-24_vs_500plus,27,593,6.723112868433064,7.079914155342514,0.3568012869094499,0.28899110469031825,1.2346445309858127,0.2169628281740259,True,True,False,1404,7.035776832544611,7.074074074074074,6.434880050590219,1.4811666382301159,1.1581695013553024,Economic,2.2013
441,Filthy Rich,volume_10-24_vs_500plus,29,223,6.701601406667847,6.685182299696181,-0.016419106971666153,0.3494525851637186,-0.046985221082207186,0.9625250063876483,True,True,False,724,6.711355411927333,7.26896551724138,6.052127264573992,1.8302680998306928,1.2135415817688056,Economic,1.8889
