family,n_games,mean_resid_Q3b,median_resid_Q3b,sd_resid_Q3b,share_top5pct_Q3b,mean_resid_Q3b_x18XX,median_resid_Q3b_x18XX,mean_resid_Q3bFam,median_resid_Q3bFam,mean_resid_Q4,median_resid_Q4,mean_resid_Q4Fam,median_resid_Q4Fam
18XX,81,0.6760198438901892,0.6506291406613283,0.4274978762770064,0.4074074074074074,1.4964019049942034e-11,-0.02296702788265037,2.2995937116112695e-11,-0.02204553991914615,0.5080013964199753,0.4730222480954289,1.5584230750868928e-11,-0.017599283521009923
Wargame,2020,8.742315562340263e-12,0.04692532818134154,0.5228167979762554,0.03811881188118812,1.2034996541697498e-11,0.047693805324421135,8.588162084678704e-13,0.04909474122518853,-8.551224854726353e-12,0.03916282568492235,1.8849765312990198e-11,0.04246571267448962
Party Game,1268,1.687211324035336e-11,0.05182387835896707,0.6444666590440309,0.08753943217665615,2.2571034421093182e-11,0.05016619182470272,1.1245431505024037e-12,0.04945800497253172,-3.144243925861248e-11,0.05203825749037261,1.3392167150913244e-11,0.0502962854604867
Economic,1287,1.5717526908753573e-11,0.02035216290619246,0.5397140892811674,0.05516705516705517,1.389461074902427e-11,0.03882198339570486,-1.3738788230189048e-12,0.041912676098830204,-3.013796757696853e-11,0.02056334991891262,1.4447857569736203e-11,0.02724919292478667
Cooperative Game,1543,0.05629583569294116,0.08170431032104286,0.5382187100639187,0.07712248865845756,0.05612078031406248,0.08336675213771194,-7.190037432722013e-12,0.027772975310059955,-6.374352331347899e-11,0.02103315800526584,9.122529476261486e-12,0.019355754210979903
Legacy Game,50,0.1516762761656388,0.22073680332261603,0.5840432570007027,0.08,0.1551136805089497,0.2258225974156005,1.4569447870371732e-10,0.05933787178688421,0.09418822596329982,0.1709616637270681,8.150280450536229e-12,0.0643625520066351
