spec,weighting,target,definition,n_games,n_features,r2_in,rmse_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,corr_resid_logn,spearman_resid_logn,corr_cvresid_logn,fold1_r2,fold1_rmse,fold2_r2,fold2_rmse,fold3_r2,fold3_rmse,fold4_r2,fold4_rmse,fold5_r2,fold5_rmse
Q3b,ols,adj,Step-9 primary reproduced (bands + ns_year + structure + categories>=500),14698,45,0.6018630047487676,0.5342849701216573,0.5987036895624864,0.006133217264687589,0.5362096033520558,0.006383133225438921,0.012538845962407003,0.0020978190614529867,0.012378262704945785,0.5967894133977851,0.5431104601030403,0.5965402022136876,0.5252128149542611,0.5898377575872085,0.5340315143213537,0.6081219133090847,0.5416644823614272,0.6022291613046664,0.5370287450201969
Q3b_x18XX,ols,adj,Q3b + 18XX indicator only (attribution),14698,46,0.6057512079958061,0.5316696574418999,0.6026140699884899,0.0056833922233755566,0.533595859301913,0.006462216826985546,0.012804996157841397,0.0022526822221460405,0.012622388208114146,0.6007639639289988,0.5404270411423997,0.6006565030753401,0.5225267027679552,0.5947650008234739,0.5308141857588105,0.611956844974321,0.5390075931842011,0.6049280371403156,0.5352037736561988
Q3bFam,ols,adj,"Q3b + genuinely-new family indicators ['fam_18XX', 'fam_Cooperative Game', 'fam_Legacy Game']; Wargame/Party/Economic already present as cat_* (exact duplicates dropped, keep existing)",14698,48,0.6065352435097434,0.5311407333812695,0.6033193821349394,0.005799527312106044,0.5331200823652666,0.006393699807143708,0.012757192640623628,0.0023523129554931625,0.012565289858032489,0.6012241335001498,0.5401154963923522,0.6010802582511412,0.5222493949272,0.5956100027001412,0.5302604662465054,0.6130024280601394,0.538280924812927,0.6056800881631257,0.5346941294473483
Q4,ols,adj,Step-9 mechanics sensitivity reproduced (Q3b + mechanics>=500),14698,76,0.617200513979439,0.5238927193853802,0.6125664478999777,0.007231482962129363,0.5268520046039916,0.006387911370352994,0.013355782966994854,0.0017180846042476232,0.012819208846573357,0.6066993399054615,0.5363947786550797,0.6070831083711128,0.5183051578803181,0.6090369251179356,0.5213830615175252,0.6260816890693365,0.5291066700709598,0.6139311770360424,0.5290703548960756
Q4Fam,ols,adj,"Q4 + ['fam_18XX', 'fam_Legacy Game']; Wargame/Party/Economic duplicate cat_*, Cooperative duplicates mech_Cooperative Game (dropped)",14698,78,0.6198371643368243,0.5220853649161489,0.6151479547696994,0.007060170132276502,0.5250959844563964,0.006411980801263098,0.013513245556595999,0.0021218226882000583,0.012922051288905213,0.6093745613053683,0.5345673938618185,0.6095456837783393,0.5166783867563565,0.6121697576541684,0.519289908393974,0.6283509194942694,0.5274987090376434,0.6162988516163515,0.5274455242321896
Q3bFam_yearlin,ols,adj,Q3bFam but ns_year spline replaced by linear year_c (year-sensitivity),14698,46,0.5649025035922763,0.5585344718126758,0.5614681556257137,0.0024453108018057047,0.5605893255915523,0.008587550089597188,0.010661704280843343,-0.0011820292574030394,0.010485727072235478,0.5629593580866483,0.5654355588910782,0.5622297382668757,0.5470894108660977,0.5566419151971442,0.5552216126809971,0.5632499079627226,0.5718358412438062,0.5622598586151779,0.5633642042757822
