game_id,n_raters_active,n_obs,raw_mean,adj_mean,mean_delta_pool,selection_residual_mean,selection_z,selection_p,selection_residual_cross_mean,selection_cross_z,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_deg_broad,share_own,share_want,share_preordered,chi2_volume_band,kl_volume_band,chi2_p,mean_cnt_pool,enthusiasm_vs_own_other,title,year,weight
1,5789,5789,7.571606745551913,8.11052590142469,-0.5389191558727594,-2.125612501506431e-14,-1.1658305136878146e-12,0.9999999999990699,-0.0013801101803473683,-0.07469477041054572,0.27690447400241835,0.5498358956641907,0.028156849196752463,0.004145793746761098,0.46018310589048195,0.00984626014855761,0.002072896873380549,737.5695718239722,0.06749449941700925,,418.860424943859,0.6840527360695619,Die Macher,1986.0,4.3043
2,589,589,6.637527096774194,6.881211611640991,-0.24368451486679993,2.7700912682328184e-15,5.115502977123739e-14,0.9999999999999591,0.0014928044781711248,0.027221009923732376,0.28522920203735147,0.5110356536502547,0.044142614601018676,0.003395585738539898,0.6740237691001698,0.010186757215619695,0.0,49.86854142168464,0.03859009549093845,,472.402376910017,-0.18868282746976942,Dragonmaster,1981.0,1.9643
3,16338,16338,7.46308251254744,7.826669917927115,-0.3635874053796522,-2.606165986898636e-14,-3.1070625174017214e-12,0.9999999999975209,-0.0017490671745782704,-0.20512985967925987,0.18815032439711102,0.4217774513404333,0.044313869506671565,0.003427592116538132,0.5339086791528951,0.00985432733504713,0.0007344840249724568,314.4282722383654,0.010026863610652895,,314.44075162198556,0.4247981875533271,Samurai,1998.0,2.4406
4,356,356,6.598765814606741,7.039870919239553,-0.4411051046328105,-1.4679269036265763e-15,-2.711433711142005e-14,0.9999999999999785,-0.00022155051924266803,-0.0040624406287215,0.5337078651685393,0.7808988764044944,0.0056179775280898875,0.0028089887640449437,0.5308988764044944,0.0056179775280898875,0.0028089887640449437,349.92960782732473,0.41383078299684983,,828.4859550561798,-0.10474576015103543,Tal der Könige,1992.0,2.6875
5,20439,20439,7.319856965115707,7.658049663204263,-0.3381926980885514,-1.6668608966907544e-15,-1.9879134572283144e-13,0.9999999999998415,-0.0004847663902000839,-0.056604071597156115,0.15323645970937913,0.3566710700132101,0.06614805029600274,0.003571603307402515,0.5832477127061011,0.006800724105876022,0.0008317432359704486,301.24287015660025,0.008186464344299236,,274.2731053378345,0.2987255566189535,Acquire,1964.0,2.4877
7,3584,3584,6.516340655691964,6.729105149949739,-0.21276449425776042,-1.466058177634899e-14,-7.578233230600615e-13,0.9999999999993954,-0.0031549010411286325,-0.1597244534984335,0.21010044642857142,0.4188058035714286,0.05970982142857143,0.001953125,0.685546875,0.0033482142857142855,0.0011160714285714285,11.129742370470254,0.0015314393396471965,,349.56752232142856,-0.40949478423691904,Cathedral,1979.0,1.7847
8,210,210,6.0487142857142855,6.392942348343943,-0.34422806262966116,4.235765177760359e-15,4.981578989220492e-14,0.9999999999999603,-0.0046402750193613885,-0.054198956634950876,0.47619047619047616,0.6666666666666666,0.05238095238095238,0.0,0.6047619047619047,0.0,0.004761904761904762,153.52158746037122,0.2713116147810787,,813.4047619047619,-0.7445615430925778,Lords of Creation,1993.0,2.4375
9,1453,1453,6.43937181693049,6.887964860849892,-0.4485930439193935,-1.02598972370659e-14,-3.0649284341058727e-13,0.9999999999997555,0.0008388490423916104,0.024801205934994693,0.4473503097040606,0.6951135581555403,0.017894012388162423,0.0027529249827942187,0.4913971094287681,0.0034411562284927736,0.0006882312456985547,790.7518987619485,0.2417056298316418,,623.2518926359256,-0.32221221775114656,El Caballero,1998.0,2.9466
10,8988,8988,6.665667445482865,6.999935422259214,-0.33426797677637005,2.3104645329425503e-14,1.9915965920171434e-12,0.9999999999984108,-0.002584912076374434,-0.21968116543143168,0.23386737872719182,0.4687360925678683,0.04127725856697819,0.0017801513128615932,0.5309301290609701,0.0022251891410769915,0.000778816199376947,313.69182687436233,0.018216106121285432,,366.5802180685358,-0.26960140094400464,Elfenland,1998.0,2.1483
11,47049,47049,7.0438272541393046,7.296296688101281,-0.2524694339619722,-7.91240793191153e-15,-1.4717283861763896e-12,0.9999999999988258,-0.0011471416041826973,-0.20816260646527868,0.09653765223490403,0.2627473485090012,0.0817658186146358,0.0025930412973708262,0.6871984526769963,0.0015303194541860614,0.0006801419796382495,4550.67544810628,0.053695027415043686,,209.7766583774363,-0.08883372686045483,Bohnanza,1997.0,1.6669
