vol_band_6,games,mean_n,raw_mean,adj_mean
100-199,4534,142.37273930304366,6.352960196407129,6.619306782741473
200-499,4263,315.95730706075534,6.466914326427397,6.753593547825749
500-999,2208,703.9447463768116,6.658106357545675,6.972298140139981
1k-2k,1532,1419.9360313315926,6.793741247546346,7.1174076559612605
2k-5k,1222,3139.887070376432,6.990030981882649,7.326607411561031
5k+,939,15534.897763578274,7.2587987433521395,7.575922123293852
