outcome_category,pass2_count,pass3_final_count,delta
strong_hidden_gem_evidence,39,39,0
plausible_hidden_gem,176,176,0
niche_but_high_quality,163,163,0
insufficient_evidence,127,127,0
excluded_popular_not_hidden,27,27,0
