game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket
12,27540,27540,0.09867148200696504,Ra,0.616435942451572,exclude_>2500
173,7719,7623,0.027312008254869083,Formula Dé,0.3294784991765516,exclude_>2500
178,217,213,0.000763145449073477,Mole Hill,0.11431273157694033,eligible_<1700
180,139,138,0.0004944322627799991,Pool Position,0.026729754626176216,eligible_<1700
181,34214,33414,0.11971709875747023,Risk,-1.6600518674983533,exclude_>2500
183,148,147,0.0005266778451352165,Stonehenge,0.5469825195619906,eligible_<1700
185,713,691,0.0024757441563839086,Devil Bunny Needs a Ham,-0.5282771131813773,eligible_<1700
190,202,202,0.0007237341817504336,Dolce Vita,0.36818487232102104,eligible_<1700
195,106,102,0.0003654499333591298,NASCAR Champions,0.03517803424760313,eligible_<1700
199,5828,5810,0.020816314831534746,Manhattan,0.2577087880670472,exclude_>2500
206,317,317,0.0011357610674004328,Jalape-NO!,0.8062395885181495,eligible_<1700
214,2876,2866,0.010268426558894764,Café International,-0.06589165460126623,exclude_>2500
424,1053,1026,0.0036759963884947762,1870: Railroading Across the Trans Mississippi from 1870,-0.22617599232138375,eligible_<1700
481,3669,3659,0.013109620648637804,Carolus Magnus,0.15249294015354753,exclude_>2500
483,12881,12618,0.0452083064620147,Diplomacy,-0.44783758068426316,exclude_>2500
486,243,239,0.0008562993536552159,Barnyard Buddies,0.23728197370640824,eligible_<1700
487,274,266,0.0009530361007208679,Power,-0.19921347323394212,eligible_<1700
497,638,633,0.0022679392923169524,Vampire,0.18244810201500794,eligible_<1700
499,388,381,0.0013650629863708671,Arbos,0.8125349336737333,eligible_<1700
507,176,174,0.0006234145922008685,Cartel,1.207037565781449,eligible_<1700
509,786,778,0.0027874514524843428,The Reef,-0.42309718515112493,eligible_<1700
510,223,223,0.0007989738739126073,Eschnapur,-0.37894166130312357,eligible_<1700
514,587,572,0.002049385900798257,True Colors,0.5366057804097677,eligible_<1700
519,115,115,0.00041202688564999926,Mush,0.342337371957365,eligible_<1700
828,383,363,0.0013005718216604326,Wizards,0.10433189071925586,eligible_<1700
834,1056,1045,0.0037440703956891238,Chronology,0.4591229340188958,eligible_<1700
853,348,346,0.001239663499433911,...und tschüss!,0.9273813617888509,eligible_<1700
855,3469,3455,0.012378720781919544,Java,-0.07149288666560949,exclude_>2500
865,222,210,0.0007523969216217378,Landslide,0.5074361833282559,eligible_<1700
866,183,174,0.0006234145922008685,"Lie, Cheat & Steal",-0.25138835849748453,eligible_<1700
869,541,537,0.001923986413861301,Bongo!,0.30465534228512503,eligible_<1700
870,543,534,0.001913237886409562,Empires of the Ancient World,0.14593512183653257,eligible_<1700
908,3063,3042,0.010899006836063459,Tally Ho!,0.11104715033291246,exclude_>2500
916,110,109,0.0003905298307465211,Pete the Pirate,0.46979617358964365,eligible_<1700
929,8138,8075,0.028931453057597777,The Great Dalmuti,0.2673862028859366,exclude_>2500
935,526,515,0.0018451638792152142,Australian Rails,0.6321676683092337,eligible_<1700
937,306,299,0.0010712699026899982,1825 Unit 1,-0.2091303342834463,eligible_<1700
940,172,172,0.0006162489072330424,Karawane,0.49963443857491985,eligible_<1700
950,432,429,0.001537039425598693,Four Dragons,0.54357748158254,eligible_<1700
954,125,125,0.0004478553104891297,Pony Express,-0.16737571633600634,eligible_<1700
982,499,462,0.0016552732275678232,Amoeba Wars,-0.055703324666603216,eligible_<1700
988,471,466,0.0016696045975034754,Zapp Zerapp,0.31736423311500594,eligible_<1700
1017,995,994,0.003561345429009559,Fresh Fish,0.4668927958141653,eligible_<1700
1032,1914,1668,0.005976181263166946,B-17: Queen of the Skies,0.15365942919588882,borderline_1700-2500
1037,638,622,0.0022285280249939093,Deadlands: Doomtown,0.6921649490134119,eligible_<1700
1467,269,260,0.0009315390458173897,Abduction,-0.5173804634412003,eligible_<1700
1468,105,100,0.00035828424839130373,Anybody's Guess,0.14535528286106558,eligible_<1700
1470,230,228,0.0008168880863321725,Venezia,-0.3799397538810432,eligible_<1700
1477,122,114,0.00040844404316608626,Days of Decision II,-0.6538094100650538,eligible_<1700
1484,1618,1574,0.005639394069679121,Clue: The Great Museum Caper,0.5425378486243266,eligible_<1700
1491,1215,1208,0.004328073720566949,Outpost,0.49230151840793024,eligible_<1700
1916,300,288,0.0010318586353669547,Shuttles,-0.02851126773813384,eligible_<1700
1919,398,315,0.0011285953824326067,D-Day (3rd Edition),-0.6683883618081161,eligible_<1700
1920,332,316,0.0011321782249165198,The Business Game,0.01789575807468413,eligible_<1700
1931,781,763,0.0027337088152256475,Anti-Monopoly,-2.048565398823058,eligible_<1700
1961,614,603,0.0021604540177995613,5 Alive,-0.26711476580406757,eligible_<1700
1969,133,123,0.00044068962552130356,Point Of Law,-0.6054221711974277,eligible_<1700
1987,115,100,0.00035828424839130373,Emperor of China,0.11704979939842808,eligible_<1700
1992,892,861,0.003084827378649125,Stop Thief,0.3377270262240524,eligible_<1700
1998,149,148,0.0005302606876191296,Tutankhamen's Revenge,-0.044953480878254126,eligible_<1700
