mode,flag_col,description,domain,n,pct_pop,mean_resid_Q3bFam,median_resid,beta_added,se_beta,fold_betas,cv_delta_R2,jaccard_top1,spec_share_ge10_mean,spec_share_ge20_mean,tvd_global_mean,tvd_type_mean,share_own_mean,cross_n_supported_ge10_mean,has_broad_rate,has_niche_drop_rate,prop_adequate_pct,prop_borderline_pct,prop_insufficient_pct,ess_ratio_median,max_weight_median,penetration_mean,in_strong_39,belongs_in,decision
coop,flag_coop_mech,Cooperative (mechanic),audience,1543,10.498026942441149,-1.928307761900792e-11,0.027772975296543656,,,,,,0.8392054933660772,0.6809567096206333,0.12698305829548084,0.15117168356892993,0.5884533427513324,5.711600777705768,0.7640959170447181,0.23460790667530784,13.804277381723914,66.68826960466625,19.50745301360985,0.2539134259663723,1618.6018442603222,0.007307069598041431,22,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
solo_mech,flag_solo_mech,Solo / Solitaire mech,audience,1397,9.504694516260717,0.010636465594450431,0.013417465606585743,0.016090992536751735,0.01750720233715206,+0.016 +0.017 +0.011 +0.019 +0.017,1.661507530670292e-05,1.0,0.8401527102985185,0.6791901105517425,0.12902839450528883,0.12070501760454465,0.6281042932605363,4.891911238367931,0.8539727988546886,0.14531138153185397,31.78239083750895,50.25053686471009,17.96707229778096,0.3091675808763934,1476.529756664773,0.011781414359715822,9,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
solo_first,flag_solo_first,solo-first min1 max≤2,audience,691,4.701319907470404,0.1274940714334062,0.16233645207978142,0.17578846388422883,0.02372100325403943,+0.190 +0.174 +0.156 +0.177 +0.183,0.0014256863641787243,0.9466666666666667,0.9006301980078243,0.7749135358263197,0.1154543600506335,0.11086252174004924,0.7073374703008051,3.8465991316931984,0.8422575976845152,0.15629522431259044,15.77424023154848,49.782923299565844,34.44283646888567,0.2401499467562018,2132.135858297593,0.002508824022072822,4,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
duel,flag_duel_1_2p,1-2p duel max≤2,audience,2555,17.38331745815757,0.08003584149381343,0.1101277112330763,0.20079127543486872,0.016588532445048113,+0.203 +0.189 +0.198 +0.196 +0.217,0.003846113643032334,0.8136645962732919,0.8986625136939201,0.7841081326017343,0.12944283424363773,0.1100975423576604,0.6626014656136907,3.6194205168363354,0.8304620203602192,0.16758026624902114,25.16634050880626,41.52641878669276,33.30724070450098,0.2811736490217601,1719.498209302451,0.003466680859940712,8,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
strict_solo,flag_strict_solo,strict solo 1p==1,audience,249,1.6941080419104642,0.12099437871332144,0.1470937693725629,0.14092702252067404,0.036368635335367785,+0.155 +0.106 +0.153 +0.151 +0.143,0.0003221509828734703,0.959731543624161,0.8696596231470565,0.7136288510697506,0.11767151406148112,0.10428464830085872,0.7376371870858875,3.9518072289156625,0.8192771084337349,0.18072289156626506,15.261044176706829,48.99598393574297,35.7429718875502,0.3192188965836595,2272.9532911498072,0.0024425971702557617,0,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
wargame_duel,flag_wargame_duel,Wargame duel (wargame & max≤2),audience,1153,7.844604708123554,0.07441092904896315,0.1184866065527137,0.20408492071873377,0.02589333980423681,+0.211 +0.201 +0.197 +0.209 +0.202,0.0016899387373868757,0.9466666666666667,0.9064501120736265,0.7972136038704845,0.10077489439129972,0.1049884385098359,0.7216477356525561,4.012142237640937,0.8447528187337381,0.1552471812662619,0.0,52.298352124891586,47.701647875108414,0.1749475776236026,3696.4423828111208,0.0017870144867762063,0,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
euro_duel,flag_euro_duel,Euro duel (non-wargame & max≤2),audience,1402,9.53871275003402,0.08466175023055553,0.10386362589028497,0.14249649401096823,0.018396345000147155,+0.142 +0.130 +0.143 +0.135 +0.163,0.0015078741962947229,0.8717948717948718,0.83312163098004,0.673811721120939,0.1530192498283351,0.15309605868278198,0.6140420152892886,3.2962169878658103,0.8187009279086367,0.1777301927194861,45.86305278174037,32.66761768901569,21.46932952924394,0.38460700870932785,1283.648854417147,0.004848032734590265,8,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
team,flag_team_mech,Team-Based,audience,802,5.45652469723772,0.030354746002429222,0.037235898127987,0.035909085977497576,0.020431044189416228,+0.043 +0.032 +0.026 +0.042 +0.037,6.327698881769539e-05,0.959731543624161,0.7608734306088841,0.5657668080261848,0.1420562057493257,0.1399199250075012,0.5656133384392908,4.6807980049875315,0.8416458852867831,0.15835411471321695,32.7930174563591,46.633416458852864,20.57356608478803,0.32524414321649114,1538.9946856857969,0.008141697360833134,3,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
semi_coop,flag_semi_coop,Semi-Cooperative,audience,98,0.6667573819567287,-0.25168833742682745,-0.22345813173651363,-0.25821557421285807,0.05439357026207011,-0.244 -0.254 -0.261 -0.286 -0.245,0.0006121363449639317,1.0,0.7778212089543197,0.5968677174549619,0.12341454412240982,0.11030535422465793,0.5740935584928909,4.76530612244898,0.9489795918367347,0.05102040816326531,37.755102040816325,43.87755102040816,18.367346938775512,0.3431407395951564,1358.9423618988963,0.010527463172862636,0,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
coop_solo,flag_coop_solo,Coop+Solo,audience,495,3.3678051435569465,0.03600480939579924,0.042950792997629605,0.0556772974377739,0.02973301689738621,+0.083 +0.048 +0.050 +0.035 +0.064,2.0591663129065907e-05,0.959731543624161,0.8295958161822349,0.6569623428270557,0.1088003826313711,0.11454651710289841,0.6428180302735635,6.2,0.804040404040404,0.19595959595959597,21.21212121212121,63.030303030303024,15.757575757575756,0.2778855608886858,1530.3277630933048,0.012141287431400225,9,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
heavy,flag_heavy_weight,Heavy weight >=3.5,audience,929,6.3205878350796025,-0.04535418844906927,-0.022045539931736968,-0.0819306217050606,0.02345094904848086,-0.091 -0.081 -0.084 -0.065 -0.088,0.00029238286291888294,0.9863945578231292,0.863369093546665,0.7289811434832265,0.14788886733992349,0.11930186424484805,0.6169742279434259,4.389666307857912,0.8945102260495156,0.10441334768568353,24.757804090419803,50.269106566200215,24.97308934337998,0.2275582978526648,1045.542503454291,0.009342812882247102,2,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
light,flag_light_weight,Light weight <=1.5,audience,4293,29.20805551775752,-0.018242724245782896,0.03517803424760313,-0.05893605554716562,0.014586734491476969,-0.051 -0.073 -0.060 -0.056 -0.055,0.0003699289679430784,0.9466666666666667,0.7756920710811217,0.5890037595345368,0.17416909964007393,0.16895611396432836,0.5674210607919082,3.627738927738928,0.8545454545454545,0.14382284382284383,17.61006289308176,58.490566037735846,23.89937106918239,0.3495492449477241,1793.3726675289656,0.0038080490140467806,8,audience-selection (specialist+propensity+cross),"keep as monitoring flag (not model, not blanket penalty)"
game_system,flag_game_system,Game System Entries (eligibility),eligibility,32,0.21771669614913594,0.1619077917087574,0.15237864463401962,0.16556996266451193,0.09509807145027643,+0.242 +0.072 +0.251 +0.126 +0.119,-5.6396704823602484e-05,0.9863945578231292,0.8131806077043136,0.6390389630656573,0.08175448006015895,0.1479115054070403,0.6126496937157913,3.59375,0.90625,0.09375,62.5,9.375,28.125,0.4055459981996056,1272.433698217661,0.008310614788619594,0,eligibility/screening,eligibility check (hard exclude if system)
edition_title,flag_edition_title,Edition title (eligibility),eligibility,501,3.4086270240849093,0.11565914329773037,0.14114769706546504,0.12294883262141715,0.024485815295668418,+0.125 +0.119 +0.148 +0.127 +0.096,0.0005603265019410442,0.9210526315789473,0.7617930134707341,0.5901671175502923,0.13301329439184673,0.12443816358149266,0.6649333165891277,4.612774451097804,0.7964071856287425,0.20359281437125748,26.546906187624753,48.10379241516966,25.349301397205586,0.3217308661973868,1533.769295438708,0.0062719858957346365,2,eligibility/screening,eligibility check (hard exclude if system)
high_version,flag_high_version,High version >=10 (eligibility),eligibility,588,4.000544291740373,-0.007115403122579972,0.04881755622392436,-0.012073796833273342,0.028579890347403537,+0.010 -0.005 -0.026 +0.001 -0.042,-0.0001036008178414427,1.0,0.742185197275636,0.5473121284567798,0.115868024377485,0.10205452911872945,0.5911840396364596,5.096938775510204,0.814625850340136,0.18537414965986396,47.10884353741497,47.7891156462585,5.1020408163265305,0.3783897651052468,1445.567229210601,0.04612534218774835,0,eligibility/screening,eligibility check (hard exclude if system)
