vol_band,games,mean_adj,median_adj,sd_adj,mean_resid_fam,sd_resid_fam,median_resid_fam,mean_se,median_se,median_n
100-199,4534,6.619306782741473,6.644698310707469,0.9038146784259345,-7.223934727866063e-13,0.6134514860904225,0.044018874118336715,0.10152795525383133,0.10122623772308073,139.0
200-499,4263,6.753593547825749,6.75801829111151,0.8100205516114269,-6.587394117036473e-13,0.5454600445895922,0.02298286594116572,0.06890698103784909,0.06890327561870532,300.0
500-999,2208,6.972298140139981,6.984794898011241,0.7596466164213147,-5.716578579266838e-13,0.48532966037364234,0.02295038120030224,0.04565374199106576,0.04580001378369251,679.0
1k-2.5k,1875,7.140037951050804,7.174405813711459,0.6760320268280089,-4.720658826803022e-13,0.4382026759931908,0.008998981931499728,0.03091345303806847,0.0308969837376711,1492.0
2.5k-5k,879,7.3599677220022475,7.385157415214223,0.6547086079194081,2.6571893465733904e-13,0.4414134234095192,0.043091892026917655,0.020488286562560812,0.020539945024662738,3376.0
5k-10k,471,7.4978713327627,7.534668424229284,0.6233329259293724,-2.383271216612154e-12,0.3715356494925871,0.00963774161322739,0.014539753853913422,0.014650326621511387,6636.0
10k-25k,330,7.6126041511852085,7.673748955977429,0.5803939464001229,-3.946155187129603e-12,0.3450117750694311,0.010448909788309813,0.009793117139235042,0.009835132560975691,14724.5
25k+,138,7.754594972105629,7.809493319940049,0.6187944963607425,-2.929096578811922e-12,0.3596383752778501,0.021124507389354452,0.005997508485254029,0.0062074555380257235,36966.0
