adj_threshold,resid_threshold,note,games_joint_Q3bFam,share_joint,games_resid_only,games_qual_only,lost_if_drop_quality,lost_if_drop_resid,pct_resid_failing_quality,pct_qual_failing_resid,games_joint_Q4Fam,median_n,p10_n,p90_n,median_se,median_adj,median_resid
7.5,0.75,task example: moderate quality + high underratedness,532,0.036195400734793846,911,3446,379,2914,0.41602634467618005,0.8456181079512478,489,256.0,118.0,1254.7000000000007,0.07458998386219969,8.000269465161153,0.9424121495591957
7.5,1.0,task example: moderate quality + very high underratedness,211,0.014355694652333651,330,3446,119,3235,0.3606060606060606,0.9387695879280326,194,223.0,116.0,917.0,0.0799186362394187,8.049672248703017,1.1707625591448316
7.0,0.75,task example: permissive quality + high underratedness,774,0.052660225881072255,911,6800,137,6026,0.150384193194292,0.8861764705882353,732,251.5,119.30000000000001,1197.8000000000006,0.07525444286243815,7.761395641925523,0.9376087875427128
7.5,0.5,permissive underratedness (p~75) + moderate quality,1062,0.0722547285344945,2175,3446,1113,2384,0.5117241379310344,0.6918165989553106,1012,315.0,118.0,2487.6,0.06724271170268742,7.967498222205322,0.750532728898218
8.0,0.75,strong quality + high underratedness (precision gate),266,0.018097700367396923,911,1245,645,979,0.70801317233809,0.7863453815261044,249,234.5,117.0,1149.5,0.0779345106337305,8.337415141364065,0.9559323269116629
7.931369833295782,0.6120677636125564,data-driven joint p90/p90 (top 10% quality AND top 10% residual),441,0.030004082188052797,1470,1470,1029,1029,0.7,0.7,426,282.0,118.0,1709.0,0.07106830240995819,8.227778046143344,0.868744885753383
7.0,1.0,permissive quality (7.0) + very high residual 1.0,297,0.02020683086134168,330,6800,33,6503,0.1,0.9563235294117647,279,219.0,116.0,809.6000000000004,0.08064518423984444,7.8556047162760585,1.1707625591448316
