game_id,title,year,n_obs,adj_mean,expected_Q3bFam,resid_Q3bFam,expected_Q4Fam,resid_Q4Fam,se_adj,lower_bound_adj,lower_bound_resid_Q3bFam,vol_band,hiddenness_bucket,fam_18XX,fam_Cooperative Game,fam_Legacy Game
12,Ra,1999.0,27540,8.040775564758325,7.424339622304419,0.6164359424539061,7.439195784526584,0.6015797802317415,0.007191484154628069,8.026680255815254,0.6023406335108351,25k+,exclude,0.0,0.0,0.0
2641,"Barbarian, Kingdom & Empire",1983.0,123,7.504335064481186,6.5575180179795876,0.9468170465015984,6.527989775704885,0.9763452887763009,0.10760883759820682,7.2934217427887,0.735903724809113,100-199,eligible,0.0,0.0,0.0
4688,Angola,1988.0,540,8.532192604514535,7.256964832903307,1.2752277716112275,7.340045029352485,1.1921475751620498,0.051357469385276334,8.431531964519394,1.174567131616086,500-999,eligible,0.0,0.0,0.0
5243,Montage,1973.0,209,7.713078492508855,6.339803739090195,1.3732747534186602,6.375464892309971,1.3376136001988845,0.08255195311523299,7.551276664402999,1.2114729253128036,200-499,eligible,0.0,0.0,0.0
5369,Hordes of the Things,1991.0,253,7.5083972175308284,6.681739451002565,0.8266577665282631,6.651410485561234,0.8569867319695943,0.07503091371580374,7.361336626647853,0.6795971756452878,200-499,eligible,0.0,0.0,0.0
5452,"DAK: The Campaign in North Africa, 1940-1942",1997.0,196,8.401652134454874,7.592897207498757,0.8087549269561176,7.658004838605038,0.7436472958498364,0.08524569584251393,8.234570570603546,0.6416733631047903,100-199,eligible,0.0,0.0,0.0
5686,Stargrunt II,1996.0,145,7.625455827965627,6.8507555711331065,0.7747002568325208,6.809885272842305,0.8155705551233225,0.09910977603390549,7.431200666939173,0.5804450958060661,100-199,eligible,0.0,0.0,0.0
8045,Princes of the Renaissance,2003.0,2339,7.864250860940865,7.349963528559249,0.514287332381616,7.376164988223797,0.4880858727170674,0.024676603612297825,7.815884717860761,0.4659211893015122,1k-2.5k,borderline,0.0,0.0,0.0
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990.0,174,7.863286095732696,6.85448405313198,1.008802042600716,6.912431034008371,0.950855061724325,0.09047443333842489,7.685956206389383,0.8314721532574032,100-199,eligible,0.0,0.0,0.0
12608,Chess960,1996.0,158,8.110360596352983,6.8773613229811446,1.2329992733718385,6.886580533291072,1.223780063061911,0.09494496798099698,7.924268459110229,1.0469071361290845,100-199,eligible,0.0,0.0,0.0
12897,La Bataille de Ligny,1991.0,217,7.976467959678571,7.507374858079409,0.46909310159916195,7.514518430630144,0.461949529048427,0.08101596865112519,7.817676661122365,0.3103018030429566,200-499,eligible,0.0,0.0,0.0
22766,Die Siedler von Catan: Das Kartenspiel – 10th Anniversary Special Edition Tin Box,2006.0,395,7.634883303726444,6.679174518754236,0.9557087849722086,6.714418222165264,0.9204650815611801,0.06004847023834176,7.517188302059294,0.8380137833050587,200-499,eligible,0.0,0.0,0.0
23604,The World Cup Game,2006.0,741,7.527375316005767,6.540834485851095,0.9865408301546719,6.574862492679202,0.9525128233265647,0.04384210439530261,7.441444791390974,0.9006103055398788,500-999,eligible,0.0,0.0,0.0
30645,Tammany Hall,2007.0,4375,7.773017390778109,7.275112712103322,0.4979046786747867,7.311037237772469,0.46198015300563977,0.01804311292303556,7.73765288944896,0.462540177345637,2.5k-5k,exclude,0.0,0.0,0.0
31627,Ticket to Ride: Nordic Countries,2007.0,14132,7.858752074705099,7.257429497407639,0.6013225772974602,7.355501927865818,0.5032501468392807,0.010039190179658838,7.839075261952968,0.5816457645453289,10k-25k,exclude,0.0,0.0,0.0
41006,Ordo,2009.0,109,7.683836580063044,6.884445663353091,0.7993909167099531,6.883048583088938,0.8007879969741065,0.11431079545189816,7.459787420977324,0.5753417576242327,100-199,eligible,0.0,0.0,0.0
62230,Wild Blue Yonder,2017.0,303,8.031898303663032,7.481866197844473,0.5500321058185591,7.348751393820285,0.6831469098427476,0.06856132176790099,7.897518112997947,0.41565191515347316,200-499,eligible,0.0,0.0,0.0
62972,The Barbarossa Campaign,2010.0,227,8.058188629726226,7.543536543088784,0.514652086637442,7.507282006592412,0.5509066231338142,0.07921137776193223,7.902934329312839,0.3593977862240548,200-499,eligible,0.0,0.0,0.0
