game_id,title,year,n_obs,users_rated,weight,weight_missing,adj_mean,expected_Q3bFam,residual_Q3bFam,expected_Q3b,residual_Q3b,expected_Q4Fam,residual_Q4Fam,SE,lower_bound_adj,lower_bound_resid,vol_band,fam_18XX,fam_Cooperative Game,fam_Legacy Game,rank_residual
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,131,185.0,1.9231,0.0,8.447093894085006,6.453439834632928,1.9936540594520782,6.4670017055974345,1.9800921884875713,6.46641752549619,1.9806763685888154,0.10427131437869634,8.24272211790276,1.7892822832698334,100-199,0.0,0.0,0.0,1
4385,A Gamut of Games,1969.0,434,445.0,2.3235,0.0,8.074748244439382,6.12181244085644,1.9529358035829425,6.1492363801469345,1.9255118642924476,6.1159858294847,1.9587624149546823,0.05728694081760737,7.962465840436872,1.840653399580432,200-499,0.0,0.0,0.0,2
33434,Funkenschlag: EnBW,2007.0,198,202.0,3.1667,0.0,8.694110770076955,6.795378128061499,1.8987326420154567,6.858058827955597,1.8360519421213581,6.92065905826278,1.7734517118141753,0.08481406929266344,8.527875194263334,1.7324970662018364,100-199,0.0,0.0,0.0,3
4657,Replay Baseball,1973.0,103,135.0,2.5,0.0,7.978247154421985,6.175689298237961,1.8025578561840243,6.19202263687777,1.7862245175442153,6.150270615558844,1.8279765388631413,0.11759311193156399,7.74776465503612,1.572075356798159,100-199,0.0,0.0,0.0,4
97683,Age of Rail: South Africa,2011.0,277,605.0,3.0,0.0,8.731969342439568,6.95518779732582,1.7767815451137476,7.00708331667124,1.7248860257683276,7.009799235172364,1.7221701072672033,0.07170684446121928,8.591423927295578,1.6362361299697579,200-499,0.0,0.0,0.0,5
186279,Finska Mini,2011.0,468,566.0,1.1538,0.0,7.816398671008494,6.05658809300658,1.7598105780019138,6.079112187070939,1.737286483937555,6.002956836858015,1.8134418341504785,0.05516677157973178,7.708271798712219,1.6516837057056395,200-499,0.0,0.0,0.0,6
1803,Zopp,1997.0,158,160.0,1.1765,0.0,7.667323849066769,5.914974212678306,1.7523496363884625,5.914172584760324,1.7531512643064442,5.942362669361394,1.7249611797053745,0.09494496798099698,7.481231711824014,1.5662574991457086,100-199,0.0,0.0,0.0,7
341489,Carrooka,2021.0,195,285.0,1.1,0.0,8.554627332404891,6.806130809333538,1.7484965230713527,6.809685164813885,1.744942167591006,6.824312814015451,1.7303145183894397,0.08546399503693193,8.387117902132504,1.5809870927989662,100-199,0.0,0.0,0.0,8
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,1.6667,0.0,8.391370545565449,6.680212602495294,1.7111579430701553,6.633333472884047,1.758037072681402,6.676430874308108,1.7149396712573406,0.1038755963880404,8.18777437664489,1.5075617741495961,100-199,0.0,1.0,0.0,9
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,402.0,1.4643,0.0,7.54142635668983,5.865516804987347,1.6759095517024827,5.891126440305825,1.6502999163840046,5.937250728091978,1.6041756285978517,0.061302881803420736,7.421272708355126,1.5557559033677781,200-499,0.0,0.0,0.0,10
541,Das Motorsportspiel,1995.0,381,399.0,2.0,0.0,7.884625607694253,6.216082474208292,1.6685431334859606,6.247902613561566,1.636722994132687,6.029140588957576,1.855485018736677,0.06114177014035077,7.764787738219165,1.5487052640108732,200-499,0.0,0.0,0.0,11
188530,My Favourite Things,2015.0,375,1039.0,1.2857,0.0,7.903825141235959,6.25024264183374,1.6535824994022192,6.263954298343863,1.6398708428920958,6.253678950242698,1.6501461909932615,0.061628963262331596,7.783032373241789,1.5327897314080494,200-499,0.0,0.0,0.0,12
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,176.0,1.4,0.0,8.491014256539268,6.8466271613323215,1.6443870952069464,6.808145635161587,1.682868621377681,6.89710090426591,1.5939133522733577,0.10427131437869634,8.286642480357022,1.4400153190247016,100-199,0.0,1.0,0.0,13
249768,My First Adventure: Finding the Dragon,2018.0,100,128.0,1.0,0.0,7.792468060399719,6.154676112180329,1.6377919482193901,6.072220132956993,1.7202479274427267,6.251666618590789,1.54080144180893,0.1193439741795195,7.558553871007861,1.403877758827532,100-199,0.0,1.0,0.0,14
4485,Hotel Life,1989.0,139,143.0,2.5,0.0,7.704084067024758,6.095137080326529,1.6089469866982293,6.135926581829462,1.5681574851952957,6.166056881299658,1.5380271857250998,0.10122623772308073,7.50568064108752,1.410543560760991,100-199,0.0,0.0,0.0,15
6688,Ninety-Nine,1974.0,554,616.0,2.0789,0.0,7.886113311979459,6.282513320447752,1.6035999915317074,6.29173131614529,1.5943819958341692,6.275007745590509,1.6111055663889502,0.050704395976017176,7.7867326958664655,1.5042193754187136,500-999,0.0,0.0,0.0,16
156372,Heart of Crown: Fairy Garden,2013.0,304,350.0,2.5714,0.0,8.435737541032188,6.851612430891995,1.5841251101401923,6.8722031318658505,1.563534409166337,6.939985216301201,1.4957523247309865,0.06844846354855959,8.301578552477011,1.4499661215850155,200-499,0.0,0.0,0.0,17
14188,Bughouse Chess,1960.0,362,377.0,2.7805,0.0,7.9287325922212455,6.356477613193304,1.5722549790279414,6.356665981198109,1.5720666110231365,6.388166092639064,1.540566499582181,0.06272580023108781,7.8057900237683135,1.4493124105750093,200-499,0.0,0.0,0.0,18
260234,Middle-Earth Strategy Battle Game: Rules Manual,2018.0,144,165.0,3.1,0.0,8.842478847140908,7.273310230295314,1.5691686168455945,7.292661939108424,1.5498169080324846,7.299323826051387,1.5431550210895217,0.09945331181626625,8.647550355981027,1.3742401256857126,100-199,0.0,0.0,0.0,19
220975,History Maker Golf,2017.0,130,179.0,2.3,0.0,8.411238474481728,6.859123165045725,1.5521153094360027,6.888621932695202,1.522616541786526,6.974507012474076,1.4367314620076517,0.10467158961011862,8.206082158845895,1.3469589938001703,100-199,0.0,0.0,0.0,20
2981,Breaking Away,1991.0,460,472.0,2.2712,0.0,7.882878139721112,6.342046378689959,1.5408317610311526,6.357777083877577,1.5251010558435345,6.375814754574428,1.507063385146684,0.055644414878454895,7.77381508655934,1.431768707869381,200-499,0.0,0.0,0.0,21
261588,Ascension: Year Five Collector's Edition,2019.0,107,117.0,2.0,0.0,8.341164274398478,6.805572871266229,1.5355914031322495,6.822124604948664,1.519039669449814,6.909790106580912,1.431374167817566,0.115374174587065,8.11503089220783,1.309458020941602,100-199,0.0,0.0,0.0,22
62814,Tumblin-Dice Medium,2008.0,215,233.0,1.0,0.0,7.61403753309305,6.080798857360682,1.5332386757323686,6.075344315722733,1.5386932173703176,6.113032022429472,1.5010055106635782,0.08139191484034264,7.4545093800059785,1.373710522645297,200-499,0.0,0.0,0.0,23
241203,Ascension: Year Four Collector's Edition,2017.0,122,131.0,2.0,0.0,8.176847733597981,6.64387682487275,1.5329709087252308,6.6598779480085675,1.5169697855894135,6.7514810016154065,1.4253667319825745,0.10804895738021865,7.965071777132753,1.3211949522600022,100-199,0.0,0.0,0.0,24
161880,The Quiet Year,2013.0,406,501.0,1.3846,0.0,7.928581363307283,6.397724220368612,1.5308571429386708,6.404234400999748,1.5243469623075354,6.457192465164816,1.4713888981424672,0.05922941989022403,7.812491700322444,1.4147674799538317,200-499,0.0,0.0,0.0,25
165748,Psycho Raiders,2014.0,197,222.0,2.8182,0.0,8.273367651575443,6.749005592257038,1.5243620593184044,6.789210058412197,1.4841575931632462,6.868161675438548,1.4052059761368945,0.08502906094124024,8.106710692130612,1.3577050998735736,100-199,0.0,0.0,0.0,26
153016,Telestrations: 12 Player Party Pack,2011.0,3140,3505.0,1.0577,0.0,7.962493213410589,6.440024893396414,1.522468320014175,6.441610313323906,1.5208829000866828,6.495562492524815,1.4669307208857738,0.02129784547950444,7.920749436270761,1.4807245428743463,2.5k-5k,0.0,0.0,0.0,27
159333,Fendo,2014.0,121,154.0,2.0,0.0,8.166506203111037,6.648537711077063,1.5179684920339742,6.654407850843857,1.5120983522671807,6.672725748339767,1.4937804547712705,0.10849452198138136,7.95385694002753,1.3053192289504667,100-199,0.0,0.0,0.0,28
207951,Tintas,2016.0,312,363.0,1.4167,0.0,8.107522688894388,6.592813363317967,1.5147093255764208,6.583715365517955,1.5238073233764329,6.626678095022649,1.4808445938717387,0.06756522056350776,7.975094856589913,1.3822814932719456,200-499,0.0,0.0,0.0,29
56995,The Twelve Doctors: Doctor Who Card Game,2009.0,139,152.0,2.375,0.0,7.732817228271512,6.2248449753701,1.5079722529014115,6.237201643396633,1.4956155848748791,6.267101900975215,1.465715327296297,0.10122623772308073,7.5344138023342735,1.3095688269641732,100-199,0.0,0.0,0.0,30
2794,Spinball,2001.0,171,183.0,1.1875,0.0,7.511348565739415,6.010175594311937,1.5011729714274784,6.004235851392114,1.5071127143473015,6.028410155571951,1.4829384101674643,0.09126461806474613,7.3324699143325125,1.3222943200205761,100-199,0.0,0.0,0.0,31
275626,Dominion: Einsteiger-Bigbox,2019.0,114,150.0,2.0,0.0,8.35750685195751,6.858775453848667,1.498731398108843,6.864179715764333,1.4933271361931766,6.923311340842842,1.4341955111146678,0.11177587291431,8.138426141045462,1.2796506871967954,100-199,0.0,0.0,0.0,32
141067,History Maker Baseball,2013.0,207,268.0,2.2,0.0,8.227778046143344,6.730568917322557,1.4972091288207867,6.745426754696057,1.4823512914472872,6.853368202732293,1.3744098434110512,0.08294979615761722,8.065196445674415,1.334627528351857,200-499,0.0,0.0,0.0,33
