game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket,hidden_bucket
12,27540,27540,0.098671482006965,Ra,0.616435942451572,exclude_>2500,exclude_>2500
173,7719,7623,0.027312008254869,Formula Dé,0.3294784991765516,exclude_>2500,exclude_>2500
178,217,213,0.0007631454490734,Mole Hill,0.1143127315769403,eligible_<1700,eligible_<1700
180,139,138,0.0004944322627799,Pool Position,0.0267297546261762,eligible_<1700,eligible_<1700
181,34214,33414,0.1197170987574702,Risk,-1.660051867498353,exclude_>2500,exclude_>2500
183,148,147,0.0005266778451352,Stonehenge,0.5469825195619906,eligible_<1700,eligible_<1700
185,713,691,0.0024757441563839,Devil Bunny Needs a Ham,-0.5282771131813773,eligible_<1700,eligible_<1700
190,202,202,0.0007237341817504,Dolce Vita,0.368184872321021,eligible_<1700,eligible_<1700
195,106,102,0.0003654499333591,NASCAR Champions,0.0351780342476031,eligible_<1700,eligible_<1700
199,5828,5810,0.0208163148315347,Manhattan,0.2577087880670472,exclude_>2500,exclude_>2500
206,317,317,0.0011357610674004,Jalape-NO!,0.8062395885181495,eligible_<1700,eligible_<1700
214,2876,2866,0.0102684265588947,Café International,-0.0658916546012662,exclude_>2500,exclude_>2500
424,1053,1026,0.0036759963884947,1870: Railroading Across the Trans Mississippi from 1870,-0.2261759923213837,eligible_<1700,eligible_<1700
481,3669,3659,0.0131096206486378,Carolus Magnus,0.1524929401535475,exclude_>2500,exclude_>2500
483,12881,12618,0.0452083064620147,Diplomacy,-0.4478375806842631,exclude_>2500,exclude_>2500
486,243,239,0.0008562993536552,Barnyard Buddies,0.2372819737064082,eligible_<1700,eligible_<1700
487,274,266,0.0009530361007208,Power,-0.1992134732339421,eligible_<1700,eligible_<1700
497,638,633,0.0022679392923169,Vampire,0.1824481020150079,eligible_<1700,eligible_<1700
499,388,381,0.0013650629863708,Arbos,0.8125349336737333,eligible_<1700,eligible_<1700
507,176,174,0.0006234145922008,Cartel,1.207037565781449,eligible_<1700,eligible_<1700
509,786,778,0.0027874514524843,The Reef,-0.4230971851511249,eligible_<1700,eligible_<1700
510,223,223,0.0007989738739126,Eschnapur,-0.3789416613031235,eligible_<1700,eligible_<1700
514,587,572,0.0020493859007982,True Colors,0.5366057804097677,eligible_<1700,eligible_<1700
519,115,115,0.0004120268856499,Mush,0.342337371957365,eligible_<1700,eligible_<1700
828,383,363,0.0013005718216604,Wizards,0.1043318907192558,eligible_<1700,eligible_<1700
834,1056,1045,0.0037440703956891,Chronology,0.4591229340188958,eligible_<1700,eligible_<1700
853,348,346,0.0012396634994339,...und tschüss!,0.9273813617888508,eligible_<1700,eligible_<1700
855,3469,3455,0.0123787207819195,Java,-0.0714928866656094,exclude_>2500,exclude_>2500
865,222,210,0.0007523969216217,Landslide,0.5074361833282559,eligible_<1700,eligible_<1700
866,183,174,0.0006234145922008,"Lie, Cheat & Steal",-0.2513883584974845,eligible_<1700,eligible_<1700
869,541,537,0.0019239864138613,Bongo!,0.304655342285125,eligible_<1700,eligible_<1700
870,543,534,0.0019132378864095,Empires of the Ancient World,0.1459351218365325,eligible_<1700,eligible_<1700
908,3063,3042,0.0108990068360634,Tally Ho!,0.1110471503329124,exclude_>2500,exclude_>2500
916,110,109,0.0003905298307465,Pete the Pirate,0.4697961735896436,eligible_<1700,eligible_<1700
929,8138,8075,0.0289314530575977,The Great Dalmuti,0.2673862028859366,exclude_>2500,exclude_>2500
935,526,515,0.0018451638792152,Australian Rails,0.6321676683092337,eligible_<1700,eligible_<1700
937,306,299,0.0010712699026899,1825 Unit 1,-0.2091303342834463,eligible_<1700,eligible_<1700
940,172,172,0.000616248907233,Karawane,0.4996344385749198,eligible_<1700,eligible_<1700
950,432,429,0.0015370394255986,Four Dragons,0.54357748158254,eligible_<1700,eligible_<1700
954,125,125,0.0004478553104891,Pony Express,-0.1673757163360063,eligible_<1700,eligible_<1700
982,499,462,0.0016552732275678,Amoeba Wars,-0.0557033246666032,eligible_<1700,eligible_<1700
988,471,466,0.0016696045975034,Zapp Zerapp,0.3173642331150059,eligible_<1700,eligible_<1700
1017,995,994,0.0035613454290095,Fresh Fish,0.4668927958141653,eligible_<1700,eligible_<1700
1032,1914,1668,0.0059761812631669,B-17: Queen of the Skies,0.1536594291958888,borderline_1700-2500,borderline_1700-2500
1037,638,622,0.0022285280249939,Deadlands: Doomtown,0.6921649490134119,eligible_<1700,eligible_<1700
1467,269,260,0.0009315390458173,Abduction,-0.5173804634412003,eligible_<1700,eligible_<1700
1468,105,100,0.0003582842483913,Anybody's Guess,0.1453552828610655,eligible_<1700,eligible_<1700
1470,230,228,0.0008168880863321,Venezia,-0.3799397538810432,eligible_<1700,eligible_<1700
1477,122,114,0.000408444043166,Days of Decision II,-0.6538094100650538,eligible_<1700,eligible_<1700
1484,1618,1574,0.0056393940696791,Clue: The Great Museum Caper,0.5425378486243266,eligible_<1700,eligible_<1700
1491,1215,1208,0.0043280737205669,Outpost,0.4923015184079302,eligible_<1700,eligible_<1700
1916,300,288,0.0010318586353669,Shuttles,-0.0285112677381338,eligible_<1700,eligible_<1700
1919,398,315,0.0011285953824326,D-Day (3rd Edition),-0.6683883618081161,eligible_<1700,eligible_<1700
1920,332,316,0.0011321782249165,The Business Game,0.0178957580746841,eligible_<1700,eligible_<1700
1931,781,763,0.0027337088152256,Anti-Monopoly,-2.048565398823058,eligible_<1700,eligible_<1700
1961,614,603,0.0021604540177995,5 Alive,-0.2671147658040675,eligible_<1700,eligible_<1700
1969,133,123,0.0004406896255213,Point Of Law,-0.6054221711974277,eligible_<1700,eligible_<1700
1987,115,100,0.0003582842483913,Emperor of China,0.117049799398428,eligible_<1700,eligible_<1700
1992,892,861,0.0030848273786491,Stop Thief,0.3377270262240524,eligible_<1700,eligible_<1700
1998,149,148,0.0005302606876191,Tutankhamen's Revenge,-0.0449534808782541,eligible_<1700,eligible_<1700
2000,150,146,0.0005230950026513,True or False,-1.4307240503352494,eligible_<1700,eligible_<1700
2002,144,141,0.0005051807902317,Magical Maze,0.1014824930009448,eligible_<1700,eligible_<1700
2004,386,376,0.0013471487739513,Titanic: The Board Game,-1.6622236677076474,eligible_<1700,eligible_<1700
2040,165,159,0.0005696719549421,Trippples,-0.0533098961361488,eligible_<1700,eligible_<1700
2073,518,417,0.0014940453157917,Sixth Fleet: Modern Naval Combat in the Mediterranean,-0.184692285427336,eligible_<1700,eligible_<1700
2078,182,137,0.000490849420296,"Aegean Strike: Land, Air, and Sea Combat in the Eastern Mediterranean",-0.9568805936066314,eligible_<1700,eligible_<1700
2079,585,455,0.0016301933301804,NATO: The Next War in Europe,-0.408658198538494,eligible_<1700,eligible_<1700
2091,131,123,0.0004406896255213,Legions of Steel,0.407076343779865,eligible_<1700,eligible_<1700
2099,106,106,0.0003797813032947,Online: Internet Card Game,-0.7253852556785292,eligible_<1700,eligible_<1700
2114,615,606,0.0021712025452513,"Duck, Duck, Bruce",0.4922058707990935,eligible_<1700,eligible_<1700
2121,150,134,0.0004801008928443,The Sword and the Stars,0.0993592356185519,eligible_<1700,eligible_<1700
2130,356,349,0.0012504120268856,Young Jedi: Collectible Card Game,-0.7118797223568496,eligible_<1700,eligible_<1700
2133,574,556,0.0019920604210556,Rage,-0.2979732814916094,eligible_<1700,eligible_<1700
2138,105,83,0.0002973759261647,Crisis: Sinai 1973,-0.3718154483355231,eligible_<1700,eligible_<1700
2157,157,149,0.000533843530103,Riddle of the Ring,1.014387385663026,eligible_<1700,eligible_<1700
2168,561,499,0.0017878383994726,Hitler's War,-0.5375575908641039,eligible_<1700,eligible_<1700
2179,424,422,0.0015119595282113,Musketeers,0.4981489531123699,eligible_<1700,eligible_<1700
2180,179,176,0.0006305802771686,Flagship: Prometheus Unchained,0.1009164172345196,eligible_<1700,eligible_<1700
2206,230,211,0.0007559797641056,Jurassic Park Game,-0.3793279268142564,eligible_<1700,eligible_<1700
2212,402,393,0.0014080570961778,eBay Electronic Talking Auction Game,0.2154027953059847,eligible_<1700,eligible_<1700
2213,207,185,0.0006628258595239,Revolt on Antares,0.2009041343350057,eligible_<1700,eligible_<1700
2214,162,146,0.0005230950026513,Saga,-0.0346483023089696,eligible_<1700,eligible_<1700
2223,29272,28601,0.1024728778823967,UNO,-0.7125774155837945,exclude_>2500,exclude_>2500
2604,1325,1301,0.0046612780715708,Compatibility,0.5685291080050563,eligible_<1700,eligible_<1700
2608,494,473,0.0016946844948908,King Oil,0.3347954586398991,eligible_<1700,eligible_<1700
2613,259,233,0.0008348022987517,Intruder,0.4950598366922722,eligible_<1700,eligible_<1700
2641,123,113,0.0004048612006821,"Barbarian, Kingdom & Empire",0.9468170465002714,eligible_<1700,eligible_<1700
2645,125,115,0.0004120268856499,Prize Property,-0.0031269417368076,eligible_<1700,eligible_<1700
2651,64071,64071,0.2295563007867922,Power Grid,0.1059942852141215,exclude_>2500,exclude_>2500
2667,257,253,0.0009064591484299,What Were You Thinking?,1.3172686766703174,eligible_<1700,eligible_<1700
2669,578,561,0.0020099746334752,Frog Juice,-0.3166029829692167,eligible_<1700,eligible_<1700
2672,384,381,0.0013650629863708,Der Herr der Ringe: Die Gefährten – Das Kartenspiel,0.1944239857622021,eligible_<1700,eligible_<1700
2693,255,250,0.0008957106209782,Bottle Topps,-0.4145507459746538,eligible_<1700,eligible_<1700
2707,123,121,0.0004335239405534,Alibi,-0.6430670751690073,eligible_<1700,eligible_<1700
2716,123,122,0.0004371067830373,Suzerain,0.2430268397580137,eligible_<1700,eligible_<1700
2721,124,115,0.0004120268856499,Wembley,0.9247627810564164,eligible_<1700,eligible_<1700
2728,185,177,0.0006341631196526,The Generals,0.6632425494580536,eligible_<1700,eligible_<1700
2742,135,117,0.0004191925706178,Wings: World War One Plane to Plane Combat 1916-1918,0.4657558430245307,eligible_<1700,eligible_<1700
2760,120,112,0.0004012783581982,Knights of the Dinner Table: Orcs at the Gates,-0.3856711432113746,eligible_<1700,eligible_<1700
2771,361,356,0.001275491924273,Maginor,-0.4705535729500312,eligible_<1700,eligible_<1700
2775,120,108,0.0003869469882626,The Battle of Five Armies,0.0753622686762893,eligible_<1700,eligible_<1700
2779,177,149,0.000533843530103,Sauron,-0.5395794204251958,eligible_<1700,eligible_<1700
2812,237,205,0.0007344827092021,Platoon,-0.1974918774684235,eligible_<1700,eligible_<1700
2843,424,423,0.0015155423706952,Ketch Up,0.0486856453003756,eligible_<1700,eligible_<1700
2872,530,509,0.0018236668243117,Terrace,-0.1619658305205975,eligible_<1700,eligible_<1700
2876,671,647,0.0023180990870917,Mage Knight Dungeons,0.1163725096430043,eligible_<1700,eligible_<1700
2878,240,227,0.0008133052438482,ThinkBlot,-1.323722025037882,eligible_<1700,eligible_<1700
2888,137,109,0.0003905298307465,Starfire II,0.2270837801303393,eligible_<1700,eligible_<1700
2901,240,232,0.0008312194562678,GolfMania,-0.7543487095023096,eligible_<1700,eligible_<1700
2902,115,112,0.0004012783581982,Twilight Imperium: Armada,0.2208036026560673,eligible_<1700,eligible_<1700
2904,272,215,0.0007703111340413,John Prados' Third Reich,-1.021635697606885,eligible_<1700,eligible_<1700
2936,416,410,0.0014689654184043,Dice Run,0.1479946260166862,eligible_<1700,eligible_<1700
2937,211,210,0.0007523969216217,Diceland,-0.639657083755286,eligible_<1700,eligible_<1700
2944,3296,3263,0.0116908150250082,Halli Galli,-0.3660196772827149,exclude_>2500,exclude_>2500
2946,171,164,0.0005875861673617,Pipeline,-0.0192347478845436,eligible_<1700,eligible_<1700
2970,262,251,0.0008992934634621,Squatter,0.0106844633142602,eligible_<1700,eligible_<1700
2975,454,410,0.0014689654184043,Origins of World War II,-0.1436078345431495,eligible_<1700,eligible_<1700
2979,267,255,0.0009136248333978,Bionicle Adventure Game: Quest For Makuta,-1.8167608537269988,eligible_<1700,eligible_<1700
2980,256,242,0.0008670478811069,The Simpsons Trivia Game,-1.091723648594514,eligible_<1700,eligible_<1700
2986,115,104,0.0003726156183269,Web and Starship,-0.04864433119055,eligible_<1700,eligible_<1700
2988,162,139,0.0004980151052639,Sticks & Stones,0.148848663605901,eligible_<1700,eligible_<1700
