game_id,title,pass6_p80_outcome,pass7_final_outcome,direction,eligibility_flag_final,reason_final
219217,Arena: The Contest,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
219650,Arydia: The Paths We Dare Tread,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
224678,Baseball Highlights: 2045 – Spring Training,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Baseball Highlights: 2045 – Spring Training' shares prefix 'baseball highlights' with 4 ga
228399,Okko Chronicles: Cycle of Water – Quest into Darkness,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Okko' eco 2 token 'okko' in title 'Okko Chronicles: Cycle of Water – Quest into Darkness' + 
231962,Krazy Wordz,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Krazy Wordz' shares prefix 'krazy wordz' with 2 games in pool (e.g., group max n_obs 1080 "
233261,Tidal Blades 2: Rise of the Unfolders,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,volume/sequel derivative 'Tidal Blades 2: Rise of the Unfolders' contains volume pattern (\d+:) + no Game: family but fu
247104,Blitz Bowl,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
251551,Dale of Merchants Collection,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Dale of Merchants Collection' contains edition pattern (Medium/Max/Pocket/Collector etc) + families ['Gam
251830,Alhambra: Mega Box,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Alhambra: Mega Box' contains edition pattern (Medium/Max/Pocket/Collector etc) + families ['Game: Alhambr
257145,Teenage Mutant Ninja Turtles Adventures: City Fall,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Teenage Mutant Ninja Turtles Adventures: City Fall' shares prefix 'teenage mutant ninja tu
257601,The Duke: Lord's Legacy,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
263192,Teenage Mutant Ninja Turtles Adventures: Change is Constant,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
265752,Exceed: Street Fighter – Ryu Box,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Exceed: Street Fighter – Ryu Box' contains edition pattern (Medium/Max/Pocket/Collector etc) + families [
266448,Imperium: The Contention,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
270871,Agemonia,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,version target of 2511 (Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases) via game_links version b
275564,Maximum Apocalypse: Legendary Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Maximum Apocalypse: Legendary Edition' contains edition pattern but no version/contained_in link and no G
275972,Star Trek: Alliance – Dominion War Campaign,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,base-title duplicate variant 'Star Trek: Alliance – Dominion War Campaign' shares prefix 'star trek' with 5 games in poo
292899,Tribune,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Tribune' shares prefix 'tribune' with 2 games in pool (e.g., group max n_obs 4660 vs this "
299607,Capital Lux 2: Generations,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,volume/sequel derivative 'Capital Lux 2: Generations' contains volume pattern (\d+:) + no Game: family but full-pop base
308388,Egizia: Shifting Sands – Kickstarter Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Egizia: Shifting Sands – Kickstarter Edition' contains edition pattern but no version/contained_in link a
315048,Survive: Escape from Atlantis!,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Survive: Escape from Atlantis!' shares prefix 'survive' with 2 games in pool (e.g., group "
315975,Dungeon Fighter in the Labyrinth of Sinister Storms,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,family-title overlap 'Game: Dungeon Fighter' eco 5 token 'dungeo' in title 'Dungeon Fighter in the Labyrinth of Sinister
316343,Capital Lux 2: Pocket,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,size/edition variant 'Capital Lux 2: Pocket' stripped base 'Capital Lux 2:' indicates variant via title pattern Medium/M
319604,Ricochet: A la poursuite du Comte courant,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
320698,Blitz Bowl: Season 2,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Blitz Bowl: Season 2' shares prefix 'blitz bowl' with 3 games in pool (e.g., group max n_o"
320855,Sakura Arms: Yurina Box,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Sakura Arms: Yurina Box' contains edition pattern (Medium/Max/Pocket/Collector etc) + families ['Game: Sa
324711,Schadenfreude,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,version target of 9209 (Ticket to Ride) via game_links version but no Game: family and no edition token — borderline
327056,Unlock! Kids: Detective Stories,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"established series derivative via families Series: Unlock! (Space Cowboys) eco 47 (≥20, like Series: Unlock! 47, Series:"
329106,Fallen Land: A Post Apocalyptic Board Game – 2nd Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Fallen Land: A Post Apocalyptic Board Game – 2nd Edition' contains edition pattern but no version/contain
335446,Maximum Apocalypse: Wasted Wilds,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,edition_title 'Maximum Apocalypse: Wasted Wilds' contains edition pattern but no version/contained_in link and no Game: 
344415,Trek 12: Amazonia,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),eligible,
345976,System Gateway (fan expansion for Android: Netrunner),strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,container-like 'System Gateway (fan expansion for Android: Netrunner)' via title pattern Collection/Arcade/Box + familie
347811,Too Many Bones: Unbreakable,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"base-title duplicate variant 'Too Many Bones: Unbreakable' shares prefix 'too many bones' with 2 games in pool (e.g., gr"
349703,Race! Formula 90: 2nd Edition,strong_hidden_gem_evidence,niche_but_high_quality,lost (strong->niche/plausible),borderline,"contained_in target of 125752 (Race! Formula 90) via game_links contained_in but no Game: family, title 'Race! Formula 9"
