game_id,title,year,n_obs,adj_mean,expected_Q3bFam,resid_Q3bFam,expected_Q4Fam,resid_Q4Fam,se_adj,lower_bound_adj,lower_bound_resid_Q3bFam,vol_band,hiddenness_bucket,fam_18XX,fam_Cooperative Game,fam_Legacy Game
12,Ra,1999.0,27540,8.040775564758325,7.424339622304419,0.6164359424539061,7.439195784526584,0.6015797802317415,0.007191484154628,8.026680255815254,0.6023406335108351,25k+,exclude,0.0,0.0,0.0
2641,"Barbarian, Kingdom & Empire",1983.0,123,7.504335064481186,6.557518017979588,0.9468170465015984,6.527989775704885,0.9763452887763008,0.1076088375982068,7.2934217427887,0.735903724809113,100-199,eligible,0.0,0.0,0.0
4688,Angola,1988.0,540,8.532192604514535,7.256964832903307,1.2752277716112277,7.340045029352485,1.1921475751620498,0.0513574693852763,8.431531964519394,1.174567131616086,500-999,eligible,0.0,0.0,0.0
5243,Montage,1973.0,209,7.713078492508855,6.339803739090195,1.3732747534186602,6.375464892309971,1.3376136001988843,0.0825519531152329,7.551276664402999,1.2114729253128036,200-499,eligible,0.0,0.0,0.0
5369,Hordes of the Things,1991.0,253,7.5083972175308284,6.681739451002565,0.8266577665282631,6.651410485561234,0.8569867319695943,0.0750309137158037,7.361336626647853,0.6795971756452878,200-499,eligible,0.0,0.0,0.0
5452,"DAK: The Campaign in North Africa, 1940-1942",1997.0,196,8.401652134454874,7.592897207498757,0.8087549269561176,7.658004838605038,0.7436472958498364,0.0852456958425139,8.234570570603546,0.6416733631047903,100-199,eligible,0.0,0.0,0.0
5686,Stargrunt II,1996.0,145,7.625455827965627,6.8507555711331065,0.7747002568325208,6.809885272842305,0.8155705551233225,0.0991097760339054,7.431200666939173,0.5804450958060661,100-199,eligible,0.0,0.0,0.0
8045,Princes of the Renaissance,2003.0,2339,7.864250860940865,7.349963528559249,0.514287332381616,7.376164988223797,0.4880858727170674,0.0246766036122978,7.815884717860761,0.4659211893015122,1k-2.5k,borderline,0.0,0.0,0.0
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990.0,174,7.863286095732696,6.85448405313198,1.008802042600716,6.912431034008371,0.950855061724325,0.0904744333384248,7.685956206389383,0.8314721532574032,100-199,eligible,0.0,0.0,0.0
12608,Chess960,1996.0,158,8.110360596352983,6.8773613229811446,1.2329992733718385,6.886580533291072,1.223780063061911,0.0949449679809969,7.924268459110229,1.0469071361290845,100-199,eligible,0.0,0.0,0.0
12897,La Bataille de Ligny,1991.0,217,7.976467959678571,7.507374858079409,0.4690931015991619,7.514518430630144,0.461949529048427,0.0810159686511251,7.817676661122365,0.3103018030429566,200-499,eligible,0.0,0.0,0.0
17133,Railways of the World,2005.0,12114,8.025144865549422,7.656967570831476,0.3681772947179453,7.864822680724409,0.1603221848250129,0.0108431810968845,8.003892230599527,0.3469246597680517,10k-25k,exclude,0.0,0.0,0.0
22766,Die Siedler von Catan: Das Kartenspiel – 10th Anniversary Special Edition Tin Box,2006.0,395,7.634883303726444,6.679174518754236,0.9557087849722086,6.714418222165264,0.92046508156118,0.0600484702383417,7.517188302059294,0.8380137833050587,200-499,eligible,0.0,0.0,0.0
23604,The World Cup Game,2006.0,741,7.527375316005767,6.540834485851095,0.986540830154672,6.574862492679202,0.9525128233265648,0.0438421043953026,7.441444791390974,0.9006103055398788,500-999,eligible,0.0,0.0,0.0
30645,Tammany Hall,2007.0,4375,7.773017390778109,7.275112712103322,0.4979046786747867,7.311037237772469,0.4619801530056397,0.0180431129230355,7.73765288944896,0.462540177345637,2.5k-5k,exclude,0.0,0.0,0.0
30957,Tribune: Primus Inter Pares,2007.0,4660,7.681127930775768,7.336554745456357,0.34457318531941,7.24703600021909,0.4340919305566775,0.0174826610442467,7.646861915129044,0.3103071696726864,2.5k-5k,exclude,0.0,0.0,0.0
31627,Ticket to Ride: Nordic Countries,2007.0,14132,7.858752074705099,7.257429497407639,0.6013225772974602,7.355501927865818,0.5032501468392807,0.0100391901796588,7.839075261952968,0.5816457645453289,10k-25k,exclude,0.0,0.0,0.0
31954,"A Victory Denied: Crisis at Smolensk, July-September, 1941",2009.0,415,7.618768712069449,7.247604773059395,0.3711639390100538,7.341335293439112,0.2774334186303369,0.0585836528310325,7.503944752520625,0.2563399794612301,200-499,eligible,0.0,0.0,0.0
41006,Ordo,2009.0,109,7.683836580063044,6.884445663353091,0.7993909167099531,6.883048583088938,0.8007879969741065,0.1143107954518981,7.459787420977324,0.5753417576242327,100-199,eligible,0.0,0.0,0.0
62230,Wild Blue Yonder,2017.0,303,8.031898303663032,7.481866197844473,0.5500321058185591,7.348751393820285,0.6831469098427476,0.0685613217679009,7.897518112997947,0.4156519151534731,200-499,eligible,0.0,0.0,0.0
62972,The Barbarossa Campaign,2010.0,227,8.058188629726226,7.543536543088784,0.514652086637442,7.507282006592412,0.5509066231338142,0.0792113777619322,7.902934329312839,0.3593977862240548,200-499,eligible,0.0,0.0,0.0
63170,1817,2010.0,764,9.360258130891465,8.707875013351014,0.6523831175404489,8.688787913470843,0.6714702174206195,0.0431771345054873,9.275630947260709,0.5677559339096936,500-999,eligible,1.0,0.0,0.0
65901,Age of Industry,2010.0,3039,7.920078271521391,7.586641689438872,0.3334365820825189,7.732056954224582,0.1880213172968092,0.0216488656768091,7.877646494794845,0.291004805355973,2.5k-5k,exclude,0.0,0.0,0.0
65936,"The Blitzkrieg Legend: The Battle for France, 1940",2012.0,233,8.35601293763169,8.00440018735444,0.3516127502772495,8.072613854118908,0.2833990835127817,0.0781848370450462,8.202770657023398,0.1983704696689588,200-499,eligible,0.0,0.0,0.0
89952,Carcassonne: 10 Year Special Edition,2011.0,1698,7.720648580902868,6.854997606724464,0.8656509741784042,6.893759302809178,0.8268892780936898,0.0289622069780018,7.663882655225984,0.8088850485015205,1k-2.5k,eligible,0.0,0.0,0.0
92828,Dixit: Odyssey,2011.0,21146,7.588442463506621,6.751055751519846,0.8373867119867748,6.780721679227154,0.8077207842794669,0.0082070368212773,7.572356671336918,0.8213009198170712,10k-25k,exclude,0.0,0.0,0.0
94373,Dien Bien Phu: The Final Gamble,2014.0,256,8.682484796881457,7.56571975988107,1.1167650370003877,7.593166844994515,1.089317951886942,0.0745899838621996,8.536288428511545,0.9705686686304764,200-499,eligible,0.0,0.0,0.0
102151,Colorado Midland,2011.0,149,7.728605550899646,6.623875188699579,1.1047303622000673,6.760107650177154,0.9684979007224914,0.0977703931694625,7.536975580287499,0.9131003915879208,100-199,eligible,0.0,0.0,0.0
119506,Freedom: The Underground Railroad,2013.0,4514,7.936818867371294,7.558631569370501,0.3781872980007925,7.621083387172758,0.3157354801985352,0.0177631391727076,7.902003114592786,0.3433715452222855,2.5k-5k,exclude,0.0,1.0,0.0
119637,Zug um Zug: Deutschland,2012.0,910,7.773935741652534,6.710767222131876,1.0631685195206575,6.762070499717522,1.0118652419350118,0.0395621422060265,7.696393942928721,0.9856267207968455,500-999,eligible,0.0,0.0,0.0
127493,Bolt Action,2012.0,637,7.936375748443059,7.522204271601931,0.414171476841128,7.614931972253663,0.3214437761893958,0.0472858042111986,7.843695572189109,0.3214913005871785,500-999,eligible,0.0,0.0,0.0
128271,Ginkgopolis,2012.0,8277,7.996824305093476,7.451262398096404,0.5455619069970723,7.46071923063624,0.536105074457236,0.0131178910100638,7.971113238713751,0.5198508406173472,5k-10k,exclude,0.0,0.0,0.0
131111,Codex: Card-Time Strategy – Deluxe Set,2016.0,1055,8.372303457816434,7.83066086693052,0.5416425908859139,7.858466400833262,0.5138370569831725,0.0367429706634035,8.300287235316164,0.4696263683856429,1k-2.5k,eligible,0.0,0.0,0.0
139131,Hoplomachus: Rise of Rome,2013.0,389,8.212705736298304,7.167597835453902,1.0451079008444015,7.340547537817626,0.8721581984806779,0.0605097968930783,8.09410653438787,0.926508698933968,200-499,eligible,0.0,1.0,0.0
146207,Dead Man's Hand,2013.0,136,7.9825298601065695,6.881517137707325,1.1010127223992443,6.951926856172225,1.0306030039343446,0.1023366135853585,7.781950097479267,0.9004329597719416,100-199,eligible,0.0,0.0,0.0
146652,Legendary Encounters: An Alien Deck Building Game,2014.0,12921,7.993580322885686,7.347550271553091,0.6460300513325947,7.449867267527104,0.543713055358582,0.0104991087120332,7.973002069810101,0.6254517982570096,10k-25k,exclude,0.0,1.0,0.0
151771,La Cosa Nostra,2014.0,1784,7.898957527390872,7.370598138154754,0.5283593892361171,7.333725578883952,0.5652319485069199,0.0282555048140369,7.84357673795536,0.4729785998006047,1k-2.5k,borderline,0.0,0.0,0.0
152765,Thunderstone Advance: Worlds Collide,2014.0,803,7.957738538132572,7.135434080822746,0.8223044573098264,7.230830584515951,0.726907953616621,0.0421155739097625,7.875192013269437,0.7397579324466919,500-999,eligible,0.0,0.0,0.0
157917,The Lord of the Ice Garden,2014.0,1281,8.016784878023804,7.688081137842047,0.3287037401817567,7.635139073476113,0.3816458045476913,0.033344632167358,7.951429398975782,0.2633482611337349,1k-2.5k,eligible,0.0,0.0,0.0
158237,1914: Glory's End / When Eagles Fight,2014.0,189,7.564993832109645,7.235554043688253,0.3294397884213911,7.368076676786561,0.1969171553230833,0.0868099675261116,7.394846295758466,0.1592922520702122,100-199,eligible,0.0,0.0,0.0
165556,Nyakuza,2014.0,607,7.501128658328248,6.956928782072795,0.544199876255453,6.990003139344102,0.5111255189841462,0.0484402248415046,7.4061858176388995,0.4492570355661039,500-999,eligible,0.0,0.0,0.0
170472,Prelude to Rebellion: Mobilization & Unrest in Lower Canada 1834-1837,2018.0,102,8.358057091683177,7.45000519093694,0.9080519007462372,7.363868089773224,0.9941890019099536,0.1181681428029229,8.126447531789449,0.6764423408525082,100-199,eligible,0.0,0.0,0.0
