debiased_rank,debiased_rating,title,year,bgg_rank,geek_rating,avg_rating,voters,game_id,base_game,weight,weight_votes,mfg_playtime,mfg_age_rec,best_players,kickstarted,is_reimplementation,num_implementations,abstract_rank,cgs_rank,childrens_rank,family_rank,party_rank,strategy_rank,thematic_rank,war_rank
1,9.09528040013065,On to Richmond II: The Union Strikes South,2023.0,6934.0,5.652,9.18,107.0,367432,1,,,,,,,,,,,,,,,,
2,9.028650696788517,System Gateway (fan expansion for Android: Netrunner),2021.0,1651.0,6.33,9.16,726.0,345976,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3,8.977420848212539,The Castles of Burgundy: Special Edition,2023.0,,8.308,9.15,7797.0,363622,1,2.8377,308.0,,,,,,,,,,,,,,
4,8.958039122979047,1817,2010.0,1719.0,6.307,8.58,782.0,63170,1,4.7162,74.0,540.0,16.0,0.0,0.0,0.0,0.0,,,,,,654,,
5,8.956375254442285,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,4294.0,5.82,9.17,226.0,383010,1,,,,,,,,,,,,,,,,
6,8.92521384695285,Arydia: The Paths We Dare Tread,2025.0,1927.0,6.244,9.25,682.0,219650,1,,,,,,,,,,,,,,,,
7,8.890933415128002,Anachrony: Infinity Box,2020.0,,6.894,8.97,1531.0,278292,1,3.9737,38.0,120.0,15.0,0.0,1.0,0.0,0.0,,,,,,,,
8,8.884816821168938,Mega Empires,2022.0,,5.568,9.01,45.0,339526,1,,,,,,,,,,,,,,,,
9,8.86098353954115,The Old Prince 1871,2022.0,5025.0,5.756,8.32,217.0,359211,1,,,,,,,,,,,,,,,,
10,8.855927992769407,Roads to Gettysburg II: Lee Strikes North,2018.0,4097.0,5.843,8.83,268.0,215565,1,3.7647,17.0,1200.0,0.0,0.0,0.0,1.0,3.0,,,,,,,,120
11,8.825017734373473,Die Festung Hamburg,2022.0,12021.0,5.553,9.44,45.0,373576,1,,,,,,,,,,,,,,,,
12,8.80865296805564,Deluxe Advanced Squad Leader,2019.0,,5.558,8.86,48.0,298535,1,,,,,,,,,,,,,,,,
13,8.802990531392028,The Elder Scrolls: Betrayal of the Second Era,2025.0,5380.0,5.731,8.85,209.0,356080,1,4.0833,324.0,,,,,,,,,,,,,14,
14,8.79722682505439,Stonewall Jackson's Way II: Battles of Bull Run,2013.0,3674.0,5.895,8.68,335.0,99358,1,3.6538,26.0,720.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,104
15,8.777789931363698,Too Many Bones: Unbreakable,2023.0,1411.0,6.428,8.84,878.0,347811,1,,,,,,,,,,,,,,,,
16,8.767812641898471,Europa Universalis: The Price of Power (Deluxe Edition),2023.0,,5.765,9.02,205.0,370448,1,,,,,,,,,,,,,,,,
17,8.755072595626958,Monikers: Monikers-er,2023.0,9380.0,5.587,8.75,61.0,404462,1,,,,,,,,,,,,,,,,
18,8.745221748331145,"Panzers Last Stand: Battles for Budapest, 1945",2021.0,6649.0,5.664,8.91,126.0,323046,1,3.5,4.0,1560.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1439
19,8.74231537559004,Hegemony: Lead Your Class to Victory – Extended Edition,2023.0,,5.76,8.85,205.0,406767,1,,,,,,,,,,,,,,,,
20,8.739179082392502,Aeon's End: The Descent,2024.0,8882.0,5.597,9.12,74.0,412268,1,,,,,,,,,,,,,,,,
21,8.716646128554157,Mage Knight: Ultimate Edition,2018.0,,7.957,8.86,7465.0,248562,1,4.6555,656.0,150.0,14.0,1.0,0.0,0.0,0.0,,,,,,,,
22,8.715588212580444,Axis Empires: Ultimate Edition,2023.0,7910.0,5.62,9.01,103.0,291434,1,,,,,,,,,,,,,,,,
23,8.710043811854664,Small World Designer Edition,2015.0,,5.847,8.94,260.0,140135,1,2.5455,11.0,80.0,8.0,0.0,1.0,1.0,1.0,,,,,,,,
24,8.70688382028891,Trickerion: Collector's Edition,2019.0,,7.253,8.76,2672.0,255668,1,4.5698,86.0,180.0,14.0,0.0,1.0,0.0,0.0,,,,,,,,
25,8.704623468588396,Orléans: Anniversary Box,2024.0,,5.668,8.97,119.0,420068,1,,,,,,,,,,,,,,,,
26,8.697015355152526,Andromeda's Edge: Deluxe Edition,2024.0,,5.805,8.85,227.0,429653,1,,,,,,,,,,,,,,,,
27,8.695643491370395,Terra Mystica: Big Box,2022.0,,5.949,8.76,358.0,356238,1,,,,,,,,,,,,,,,,
28,8.685634565357327,1985: Deadly Northern Lights,2020.0,10637.0,5.569,9.17,56.0,294594,1,4.5556,9.0,5000.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1182
29,8.678399640555977,Frosthaven,2022.0,26.0,7.929,8.8,8022.0,295770,1,4.4078,488.0,,,,,,,,,,,,13,6,
30,8.673734235342303,World in Flames Collector's Edition Deluxe,2017.0,,5.647,9.01,134.0,255484,1,4.75,8.0,4800.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
31,8.664238788237013,Age of Innovation,2023.0,67.0,7.682,8.6,5711.0,383179,1,4.262,458.0,,,,,,,,,,,,30,,
32,8.661998695667087,Too Many Bones: Undertow,2018.0,173.0,7.397,8.68,3574.0,235802,1,4.0282,142.0,180.0,12.0,2.0,1.0,0.0,0.0,,,,,,80,16,
33,8.659182858530631,Dune: Imperium – Uprising,2023.0,15.0,8.027,8.72,9591.0,397598,1,3.5261,614.0,,,,,,,,,,,,4,,
34,8.641544251073023,Malifaux (Third Edition),2019.0,5732.0,5.71,8.67,171.0,281657,1,4.0,5.0,120.0,14.0,0.0,0.0,1.0,1.0,,,,,,,,
35,8.635703323813686,Everdell: The Complete Collection,2022.0,,7.466,8.81,3505.0,332398,1,3.0988,81.0,,,,,,,,,,,,,,
36,8.632041860890773,Enemy Action: Kharkov,2022.0,5072.0,5.752,8.77,208.0,291155,1,,,,,,,,,,,,,,,,
37,8.624891878837433,Last Chance for Victory: The Battle of Gettysburg,2014.0,5632.0,5.716,8.8,181.0,144574,1,4.08,25.0,60.0,15.0,0.0,0.0,1.0,1.0,,,,,,,,288
38,8.622023654216303,Great Western Trail: New Zealand,2023.0,117.0,7.527,8.55,4526.0,380607,1,3.991,335.0,,,,,,,,,,,,35,,
39,8.618533723434423,Agemonia,2024.0,1923.0,6.244,8.99,790.0,270871,1,,,,,,,,,,,,,,,,
40,8.614670026427598,Oathsworn: Into the Deepwood,2022.0,58.0,7.729,8.9,5584.0,251661,1,3.6955,289.0,90.0,14.0,0.0,1.0,0.0,0.0,,,,,,,9,
41,8.614628261169182,The Hunters a.d. 1492,2024.0,10835.0,5.567,9.29,67.0,382894,1,,,,,,,,,,,,,,,,
42,8.61404639648153,BattleCON Fighting System,2010.0,9792.0,5.581,8.38,63.0,298528,1,,,,,,,,,,,,,,,,
43,8.613518368330505,War of the Ring Collector's Edition,2010.0,,6.55,8.71,1111.0,60153,1,3.9915,118.0,180.0,12.0,2.0,0.0,0.0,0.0,,,,,,,,
44,8.612947096012954,The Dogs of War,2021.0,10162.0,5.576,8.94,61.0,320084,1,4.1429,7.0,600.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,1377
45,8.609486578671973,Ticket to Ride Legacy: Legends of the West,2023.0,107.0,7.543,8.7,4130.0,390092,1,2.5616,146.0,,,,,,,,,,1,,,,
46,8.601865432262418,Here I Stand: 500th Anniversary Edition,2017.0,1181.0,6.528,8.48,1233.0,242722,1,4.3846,39.0,360.0,14.0,0.0,0.0,1.0,1.0,,,,,,,,14
47,8.59753779587446,Terra Mystica: Big Box,2015.0,,6.023,8.53,455.0,181289,1,4.0,17.0,150.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
48,8.595470616415186,Blitz Bowl: Ultimate Second Edition,2024.0,12431.0,5.549,8.62,37.0,427150,1,,,,,,,,,,,,,,,,
49,8.595276444212685,Fire in the Lake: Second Edition,2018.0,12336.0,5.55,8.54,42.0,393760,1,,,,,,,,,,,,,,,,
50,8.59510456588916,Middle-Earth Strategy Battle Game: Rules Manual,2018.0,5850.0,5.703,8.7,153.0,260234,1,3.2,5.0,120.0,14.0,0.0,0.0,1.0,2.0,,,,,,,,
51,8.591235099164427,新幕 桜降る代に決闘を 基本セット (A Duel for Falling Cherry Blossoms: New Act – Basic Set),2018.0,8247.0,5.611,8.33,109.0,304042,1,,,,,,,,,,,,,,,,
52,8.58752791359486,Pax Renaissance: 2nd Edition,2021.0,402.0,7.075,8.45,2675.0,308119,1,4.6424,316.0,120.0,12.0,0.0,1.0,1.0,1.0,,,,,,171,,
53,8.583952574955902,Thunder Road: Vendetta – Maximum Chrome,2023.0,,6.555,8.71,1112.0,355997,1,,,,,,,,,,,,,,,,
54,8.57692706524974,"Last Blitzkrieg: Wacht am Rhein, The Battle of the Bulge",2016.0,4072.0,5.846,8.7,315.0,178896,1,3.7,20.0,960.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,149
55,8.573059048687535,Brass: Birmingham,2018.0,1.0,8.407,8.58,50109.0,224517,1,3.8594,2917.0,120.0,14.0,3.0,1.0,1.0,1.0,,,,,,1,,
56,8.563360442386422,Arkham Horror: The Card Game (Revised Edition),2021.0,214.0,7.32,8.63,3531.0,359609,1,3.7429,175.0,,,,,,,,1,,,,,18,
57,8.55957740734576,"Hood Strikes North: The Tennessee Campaign, Fall 1864",2021.0,5827.0,5.705,8.66,174.0,301616,1,3.6667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,789
58,8.556977438044942,Cthulhu: Death May Die – Fear of the Unknown,2024.0,2516.0,6.099,8.78,535.0,373600,1,,,,,,,,,,,,,,,,
59,8.55563916391929,Marvel: Crisis Protocol – Earth's Mightiest Core Set,2023.0,13784.0,5.539,8.85,30.0,400080,1,,,,,,,,,,,,,,,,
60,8.554955012424559,Vindication: Archive of the Ancients,2023.0,,5.751,8.65,191.0,380707,1,,,,,,,,,,,,,,,,
61,8.554161547578397,Bushido: Risen Sun,2019.0,12725.0,5.547,8.6,40.0,280633,1,,,,,,,,,,,,,,,,
62,8.552096942483868,Slay the Spire: The Board Game,2024.0,87.0,7.6,8.75,4976.0,338960,1,2.9035,373.0,,,,,,,,,,,,11,,
63,8.55179330350269,1822MX,2019.0,4683.0,5.783,8.12,270.0,277538,1,4.0,8.0,360.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
64,8.546698312278554,Clank! Legacy: Acquisitions Incorporated,2019.0,23.0,7.946,8.53,10056.0,266507,1,2.7412,170.0,120.0,13.0,4.0,0.0,1.0,1.0,,,,,,,7,
65,8.53983827330888,Atlanta Is Ours,2018.0,5832.0,5.704,8.58,171.0,209511,1,3.875,8.0,7920.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,358
66,8.53948715900772,The Battles of Mollwitz 1741 and Chotusitz 1742,2017.0,8356.0,5.609,8.61,94.0,236974,1,4.4286,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,906
67,8.53747106584632,Infinity N4: Core Rules,2020.0,6583.0,5.667,8.73,129.0,326767,1,4.0,8.0,120.0,12.0,0.0,0.0,1.0,1.0,,,,,,,,2730
68,8.535725904905014,Twilight Imperium: Fourth Edition,2017.0,5.0,8.232,8.58,25359.0,233078,1,4.3598,1412.0,480.0,14.0,6.0,0.0,1.0,1.0,,,,,,6,4,
69,8.529321910999514,1828,2018.0,5871.0,5.702,7.91,196.0,272538,1,4.1,10.0,420.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,
70,8.528425115240298,Race! Formula 90: 2nd Edition,2023.0,,5.816,8.74,270.0,349703,1,,,,,,,,,,,,,,,,
71,8.524435655276124,1862: Railway Mania in the Eastern Counties,2013.0,1295.0,6.472,8.2,1234.0,66837,1,4.6,75.0,300.0,14.0,4.0,0.0,0.0,0.0,,,,,,561,,
72,8.521312484870627,Tainted Grail: Kings of Ruin (Gamefound Edition),2024.0,,5.55,9.07,42.0,371486,1,,,,,,,,,,,,,,,,
73,8.520866888500239,1882: Assiniboia,2019.0,2326.0,6.138,8.02,718.0,282435,1,3.9286,14.0,180.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,
74,8.518535170425817,Roads & Boats: 20th Anniversary Edition,2019.0,,6.048,8.29,515.0,276502,1,4.2609,23.0,240.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,
75,8.518295675812832,The Battle of Five Armies Collector's Edition,2021.0,6992.0,5.65,8.83,113.0,263177,1,,,240.0,13.0,0.0,0.0,1.0,1.0,,,,,,,,
76,8.51649001311646,Earth Under Siege: Flashpoint,2024.0,8755.0,5.6,8.78,105.0,337973,1,,,,,,,,,,,,,,,,
77,8.51608906074967,Undaunted: Stalingrad,2022.0,853.0,6.712,8.6,1576.0,354570,1,2.6949,59.0,,,,,,,,,,,,,,15
78,8.513325175082727,"Crusade and Revolution: The Spanish Civil War, 1936-1939",2013.0,2520.0,6.098,8.57,591.0,31790,1,3.2833,60.0,360.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,31
79,8.512819536510085,Voidfall,2023.0,129.0,7.498,8.56,4751.0,337627,1,4.6222,966.0,,,,,,,,,,,,44,,
80,8.51264188563847,1822: The Railways of Great Britain,2016.0,2489.0,6.105,8.11,652.0,193867,1,4.4091,22.0,420.0,12.0,0.0,0.0,0.0,2.0,,,,,,956,,
81,8.511810168508473,Mega Empires: The East,2021.0,5672.0,5.713,8.47,176.0,338980,1,,,,,,,,,,,,,,,,
82,8.508989758063189,War of the Ring: Second Edition,2011.0,8.0,8.192,8.55,22685.0,115746,1,4.2278,1396.0,180.0,13.0,2.0,0.0,1.0,1.0,,,,,,,3,1
83,8.50894236700776,Endeavor: Deep Sea Deluxe Edition,2024.0,,5.894,8.55,329.0,418470,1,,,,,,,,,,,,,,,,
84,8.500984561758528,Kanban EV,2020.0,47.0,7.775,8.41,8482.0,284378,1,4.2927,591.0,180.0,14.0,3.0,1.0,1.0,2.0,,,,,,25,,
85,8.499570273383942,Hansa Teutonica: Big Box,2020.0,,7.599,8.38,6024.0,286749,1,2.9567,208.0,90.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
86,8.498558395657243,Tainted Grail: Kings of Ruin,2024.0,2594.0,6.079,8.91,614.0,360366,1,,,,,,,,,,,,,,,,
87,8.497903984131371,Enemy Action: Ardennes,2015.0,2390.0,6.126,8.56,641.0,68820,1,4.2195,82.0,900.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,25
88,8.494020001909394,Weimar: The Fight for Democracy,2023.0,2761.0,6.044,8.37,523.0,265537,1,,,,,,,,,,,,,,,,
89,8.488150890014252,Ultimate Railroads,2021.0,,7.176,8.39,3067.0,329591,1,3.3571,14.0,120.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
90,8.485981909021397,1844: Schweiz,2003.0,5268.0,5.739,8.12,213.0,7935,1,4.3158,19.0,300.0,12.0,0.0,0.0,0.0,1.0,,,,,,1419,,
91,8.47936692540354,Ark Nova,2021.0,3.0,8.342,8.53,49624.0,342942,1,3.7979,3196.0,150.0,14.0,2.0,0.0,0.0,0.0,,,,,,2,,
92,8.472242138584896,Aeon's End: Outcasts,2020.0,1266.0,6.488,8.52,1119.0,299317,1,3.0714,14.0,60.0,14.0,0.0,1.0,0.0,0.0,,,,,,,,
93,8.471602851825903,Imperium: Horizons,2024.0,1621.0,6.343,8.61,901.0,367518,1,,,,,,,,,,,,,,,,
94,8.46682659973612,Darwin's Journey: Collector's Edition,2023.0,,6.572,8.54,1226.0,328413,1,,,,,,,,,,,,,,,,
95,8.466067534821859,Tidal Blades 2: Rise of the Unfolders,2024.0,4064.0,5.847,8.62,310.0,233261,1,,,,,,,,,,,,,,,,
96,8.465514976244664,Aeon Trespass: Odyssey,2022.0,589.0,6.899,9.03,2430.0,242705,1,,,,,,,,,,,,,,,,
97,8.465143289780196,Aeon's End: The New Age,2019.0,314.0,7.171,8.51,2960.0,270633,1,2.9048,42.0,60.0,14.0,2.0,1.0,0.0,0.0,,,,,,165,,
98,8.459095341866297,Railways of the Lost Atlas,2024.0,4367.0,5.813,8.26,278.0,365357,1,,,,,,,,,,,,,,,,
99,8.45892210681822,Guards of Atlantis II,2022.0,1672.0,6.322,8.4,1002.0,267609,1,,,,,,,,,,,,,,,,
100,8.452568679979763,El Grande Decennial Edition,2006.0,,6.389,8.33,989.0,147170,1,2.9697,33.0,90.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
101,8.449439656324175,"The Greatest Day: Sword, Juno, and Gold Beaches",2015.0,4798.0,5.775,8.58,254.0,173504,1,4.087,23.0,6000.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,217
102,8.44777512367281,Eclipse: Second Dawn for the Galaxy,2020.0,19.0,7.975,8.43,14933.0,246900,1,3.6682,633.0,200.0,14.0,4.0,0.0,1.0,1.0,,,,,,18,,
103,8.447701328173029,Prague: The Empty Triumph,2014.0,8299.0,5.61,8.6,101.0,39940,1,4.0,9.0,30.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,731
104,8.447581709433353,Thunder on the Mississippi: Grant's Vicksburg Campaign,2024.0,11943.0,5.554,8.5,49.0,417100,1,,,,,,,,,,,,,,,,
105,8.446401264113966,Deadzone (Third Edition),2021.0,8423.0,5.607,8.64,89.0,350793,1,,,,,,,,,,,,,,,,
106,8.44214440898085,Pandemic Legacy: Season 1,2015.0,2.0,8.37,8.52,54954.0,161936,1,2.8282,1560.0,60.0,13.0,4.0,0.0,1.0,2.0,,,,,,3,1,
107,8.43908872971841,Primal: The Awakening,2024.0,1365.0,6.445,8.62,1179.0,303731,1,,,,,,,,,,,,,,,,
108,8.436070358823793,BattleCON: Wanderers of Indines,2020.0,6772.0,5.659,8.36,136.0,174400,1,3.3333,3.0,25.0,9.0,0.0,1.0,0.0,0.0,,,,,,,,
109,8.435538755333251,Dune: War for Arrakis,2024.0,538.0,6.947,8.53,2397.0,367150,1,3.6386,166.0,,,,,,,,,,,,,31,4
110,8.434950233827564,Lorenzo il Magnifico: Big Box,2021.0,,6.505,8.4,1185.0,338476,1,3.4286,7.0,120.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
111,8.433881865298481,Everdell: Collector's Edition,2018.0,,6.979,8.52,2270.0,319422,1,2.8947,19.0,80.0,13.0,0.0,1.0,0.0,0.0,,,,,,,,
112,8.433751835946484,1849: The Game of Sicilian Railways,1998.0,1742.0,6.3,8.09,946.0,3097,1,4.1628,43.0,180.0,14.0,0.0,0.0,0.0,1.0,,,,,,859,,
113,8.43220519775298,Gaia Project,2017.0,12.0,8.103,8.37,28644.0,220308,1,4.4028,1966.0,150.0,12.0,3.0,0.0,1.0,1.0,,,,,,9,,
114,8.43185450959184,Hegemony: Lead Your Class to Victory,2023.0,53.0,7.747,8.43,8492.0,321608,1,4.2585,828.0,,,,,,,,,,,,26,,
115,8.428664789887351,Skies Above Britain,2022.0,3821.0,5.875,8.75,356.0,325096,1,,,,,,,,,,,,,,,,
116,8.42634607139325,Old School Tactical: Volume 4 – Italian Theater 1943-45,2023.0,13825.0,5.539,9.02,32.0,400831,1,,,,,,,,,,,,,,,,
117,8.423177091994397,"The Battle of Fontenoy: 11 May, 1745",2012.0,7206.0,5.641,8.64,128.0,39939,1,4.2083,24.0,360.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,510
118,8.422210754351136,The Castles of Burgundy,2019.0,,7.955,8.44,12163.0,271320,1,2.9139,569.0,120.0,12.0,2.0,0.0,0.0,0.0,,,,,,,,
119,8.42219205716131,Final Girl: S1 Ultimate Box,2024.0,,5.569,8.79,50.0,410768,1,,,,,,,,,,,,,,,,
120,8.418476243009826,Firefly: The Game – 10th Anniversary Collector's Edition,2024.0,,5.925,8.75,375.0,391288,1,,,,,,,,,,,,,,,,
121,8.417819391453861,Wir sind das Volk!: Combined Edition,2023.0,,5.545,8.24,39.0,407570,1,,,,,,,,,,,,,,,,
122,8.417373929366498,The Jaws of Victory: Battle of Korsun-Cherkassy Pocket – January/February 1944,2020.0,6931.0,5.652,8.6,134.0,288539,1,4.1538,13.0,3000.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,575
123,8.416273691859598,High Frontier 4 All,2020.0,736.0,6.786,8.41,1969.0,281655,1,4.8235,170.0,240.0,14.0,3.0,1.0,1.0,4.0,,,,,,615,195,
124,8.41597502869068,Great Western Trail: Argentina,2022.0,208.0,7.332,8.29,4357.0,364011,1,3.9027,226.0,,,,,,,,,,,,108,,
125,8.412405734686631,Final Girl: S2 Ultimate Box,2024.0,,5.559,8.76,40.0,410769,1,,,,,,,,,,,,,,,,
126,8.410879447447309,Concordia Venus,2018.0,100.0,7.565,8.27,6504.0,256916,1,3.0087,231.0,120.0,12.0,4.0,0.0,1.0,1.0,,,,,,57,,
127,8.409478522356858,18Korea,2021.0,8164.0,5.613,8.1,106.0,346248,1,,,,,,,,,,,,,,,,
128,8.407368825288268,Pandemic Legacy: Season 0,2020.0,51.0,7.75,8.38,8339.0,314040,1,3.1872,187.0,60.0,14.0,4.0,0.0,1.0,2.0,,,,,,37,11,
129,8.401622619278438,Fields of Arle: Big Box,2019.0,,5.632,8.29,114.0,393531,1,,,,,,,,,,,,,,,,
130,8.399739232797344,1985: Under an Iron Sky,2018.0,7954.0,5.619,8.98,118.0,236650,1,4.2857,14.0,8640.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,655
131,8.39775494371622,Dune: Imperium,2020.0,6.0,8.228,8.43,50373.0,316554,1,3.0782,2085.0,120.0,14.0,3.0,0.0,0.0,0.0,,,,,,7,9,
132,8.39618916137815,The Isofarian Guard,2023.0,1401.0,6.431,8.69,1146.0,281526,1,,,,,,,,,,,,,,,,
133,8.396061148134327,La Bataille de Dresde,2015.0,8843.0,5.598,8.84,94.0,113971,1,4.3333,12.0,720.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,854
134,8.394541389035924,"Pacific War: The Struggle Against Japan, 1941-1945 (Second Edition)",2022.0,3774.0,5.881,8.74,360.0,314577,1,,,,,,,,,,,,,,,,
135,8.394345329368257,Carrier Battle: Philippine Sea,2023.0,7359.0,5.636,8.78,118.0,294609,1,,,,,,,,,,,,,,,,
136,8.391872297946316,Exceed: BlazBlue – Jin Box,2021.0,12903.0,5.545,8.42,39.0,316289,1,,,,,,,,,,,,,,,,
137,8.391620384916846,Dien Bien Phu: The Final Gamble,2014.0,4527.0,5.798,8.52,298.0,94373,1,3.0909,22.0,1440.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,197
138,8.391269597220933,Middara: Unintentional Malum – Act 1,2019.0,519.0,6.956,8.57,2618.0,169427,1,3.981,105.0,60.0,15.0,4.0,1.0,0.0,1.0,,,,,,,48,
139,8.389477196306137,Blood Bowl: Second Season Edition,2020.0,1470.0,6.404,8.49,1044.0,318472,1,3.7647,17.0,120.0,12.0,0.0,0.0,1.0,2.0,,,,,,,,
140,8.389418250396279,John Company: Second Edition,2022.0,251.0,7.264,8.28,4164.0,332686,1,4.4499,509.0,,,,,,,,,,,,119,35,
141,8.389308250962294,The Third World War: Designer Signature Edition,2022.0,7009.0,5.649,8.7,141.0,316410,1,,,,,,,,,,,,,,,,
142,8.387000269205059,Sleeping Gods: Distant Skies (Gamefound Edition),2023.0,,5.67,8.52,132.0,361284,1,,,,,,,,,,,,,,,,
143,8.386660453985963,Foundations of Rome (Maximus Edition),2024.0,,5.56,8.76,46.0,422426,1,2.0,5.0,,,,,,,,,,,,,,
144,8.385139985946667,Decision at Elst: An Advanced Squad Leader Starter Kit Historical Module,2014.0,5575.0,5.719,8.54,211.0,149620,1,3.8235,17.0,720.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,277
145,8.384751658424763,A Most Fearful Sacrifice: The Three Days of Gettysburg,2022.0,4879.0,5.768,8.7,251.0,329089,1,,,,,,,,,,,,,,,,
146,8.381629209940263,Red Strike,2023.0,8399.0,5.608,8.99,107.0,252362,1,,,,,,,,,,,,,,,,
147,8.381187793323132,Star Wars: Armada – Galactic Republic Fleet Starter,2020.0,13562.0,5.541,8.43,32.0,322750,1,,,,,,,,,,,,,,,,
148,8.375576920896048,Vietnam: 1965-1975 (2nd Edition),2022.0,6457.0,5.672,8.72,142.0,332402,1,,,,,,,,,,,,,,,,
149,8.37220821935852,Longstreet Attacks: The Second Day at Gettysburg,2018.0,5548.0,5.72,8.48,196.0,158816,1,3.3158,19.0,720.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,394
150,8.37028330116305,Innovation Deluxe,2017.0,,6.283,8.31,848.0,185257,1,3.0,18.0,60.0,14.0,0.0,1.0,0.0,0.0,,,,,,,,
151,8.369558944106037,Great Western Trail: Second Edition,2021.0,27.0,7.906,8.31,14564.0,341169,1,3.7005,571.0,150.0,12.0,0.0,0.0,1.0,1.0,,,,,,22,,
152,8.36880915677593,Suspect Game,2021.0,10259.0,5.574,8.39,68.0,346623,1,,,,,,,,,,,,,,,,
153,8.36816349614459,The Everdeck,2019.0,10005.0,5.578,8.83,67.0,291951,1,,,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
154,8.367741617471777,1822CA,2018.0,6543.0,5.668,8.05,157.0,253607,1,4.2857,7.0,540.0,12.0,0.0,0.0,1.0,1.0,,,,,,,,
155,8.367036572795042,Maladum: Dungeons of Enveron,2024.0,6191.0,5.685,8.96,176.0,360641,1,,,,,,,,,,,,,,,,
156,8.366958689360805,"Worldspanner Factions, Set 1: Heroes",2024.0,6098.0,5.69,8.83,168.0,346597,1,,,,,,,,,,,,,,,,
157,8.366227700661119,Tunisia II,2016.0,5189.0,5.744,8.42,229.0,193238,1,4.2857,14.0,3000.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,244
158,8.366220920779435,Sleeping Gods: Distant Skies,2023.0,1180.0,6.528,8.5,1252.0,358320,1,,,,,,,,,,,,,,,,
159,8.364795798456504,"Brazen Chariots: Battles for Tobruk, 1941",2019.0,5408.0,5.729,8.41,208.0,249750,1,3.5455,11.0,1260.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,411
160,8.364789092872009,1812: Napoleon's Fateful March,2024.0,9808.0,5.581,8.5,74.0,390314,1,,,,,,,,,,,,,,,,
161,8.364763501734346,Shadows of Brimstone: Swamps of Death (Revised Edition),2020.0,6452.0,5.672,8.59,157.0,322985,1,,,180.0,12.0,0.0,0.0,1.0,1.0,,,,,,,,
162,8.362633133658365,SETI: Search for Extraterrestrial Intelligence,2024.0,240.0,7.284,8.39,3854.0,418059,1,3.8318,1088.0,,,,,,,,,,,,12,,
163,8.362050004214133,The Third Winter: The Battle for the Ukraine September 1943-April 1944,2021.0,9504.0,5.587,8.66,84.0,288572,1,,,,,,,,,,,,,,,,
164,8.36126716452496,Eldfall Chronicles,2023.0,14110.0,5.537,9.46,45.0,330584,1,,,,,,,,,,,,,,,,
165,8.359569385131008,"A Greater Victory: South Mountain, September 14, 1862",2022.0,12916.0,5.545,8.62,36.0,371159,1,,,,,,,,,,,,,,,,
166,8.35581740822243,Arracourt,2022.0,6029.0,5.693,8.39,181.0,347161,1,,,,,,,,,,,,,,,,
167,8.354330449407042,Mombasa (Limited Edition),2015.0,,5.551,8.16,44.0,195850,1,,,,,,,,,,,,,,,,
168,8.354098842948982,Gloomhaven,2017.0,4.0,8.335,8.57,64071.0,174430,1,3.9191,2768.0,120.0,14.0,3.0,1.0,0.0,0.0,,,,,,5,2,
169,8.353007760023063,Less Than 60 Miles,2019.0,7579.0,5.629,8.75,126.0,259121,1,3.6364,11.0,600.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,821
170,8.352530954130023,Advanced Squad Leader: Starter Kit #4 – Pacific Theater of Operations,2019.0,5345.0,5.733,8.64,207.0,271262,1,4.3333,6.0,180.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
