debiased_rank,debiased_rating,title,year,bgg_rank,geek_rating,avg_rating,voters,game_id,base_game,weight,weight_votes,mfg_playtime,mfg_age_rec,best_players,kickstarted,is_reimplementation,num_implementations,abstract_rank,cgs_rank,childrens_rank,family_rank,party_rank,strategy_rank,thematic_rank,war_rank
24155,4.6873494223452665,Sturgeon,2010.0,26562.0,5.474,4.46,51.0,76444,1,1.0,3.0,20.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24156,4.686480290253969,Maxi Bour$e,1987.0,27548.0,5.426,4.49,158.0,786,1,2.1429,14.0,90.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24157,4.686312539530204,Advanced Dungeons & Dragons Trivia Game,1991.0,27081.0,5.461,4.43,90.0,9540,1,2.1667,6.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24158,4.685105342006345,Dante's Inferno,2003.0,27648.0,5.403,4.75,304.0,6201,1,2.0,31.0,90.0,12.0,0.0,0.0,0.0,0.0,,,,,,2320,1225,
24159,4.685090622347112,Risk 'n' Roll 2000,1999.0,27176.0,5.457,4.61,88.0,1963,1,1.1538,13.0,20.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24160,4.68487090905378,Duel Masters: Battle of the Creatures Board Game,2004.0,26008.0,5.482,4.5,35.0,18919,1,1.5,2.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24161,4.684869162592871,Pickles to Penguins,2009.0,27123.0,5.46,4.72,118.0,58698,1,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24162,4.683704113046979,Angry Birds: On Thin Ice,2011.0,26933.0,5.466,4.78,98.0,113200,1,1.2857,7.0,25.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,
24163,4.683537574834106,Silence in Class!,1988.0,25919.0,5.483,4.26,34.0,21652,1,1.75,4.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24164,4.682409874247788,Gas Out,2016.0,27357.0,5.447,4.55,125.0,193592,1,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,
24165,4.681429844097969,Vox Populi,1999.0,27095.0,5.461,4.42,80.0,648,1,2.1,10.0,90.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24166,4.681282069530233,Race 3000,2009.0,27540.0,5.428,4.74,210.0,46744,1,1.1333,15.0,20.0,7.0,0.0,0.0,0.0,0.0,,,794,,,,,
24167,4.6809118117425355,Toboggans of Doom,2008.0,27358.0,5.447,4.6,124.0,36229,1,1.2222,9.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24168,4.679623729691461,Rock 'Em Sock 'Em Robots,1967.0,27787.0,5.321,4.6,488.0,7308,1,1.0345,29.0,10.0,6.0,0.0,0.0,0.0,1.0,,,837,,,,,
24169,4.679326551869315,Giggle Wiggle,1991.0,27017.0,5.463,4.75,102.0,22629,1,1.1429,7.0,5.0,5.0,0.0,0.0,0.0,0.0,,,693,,,,,
24170,4.679295164891478,Pirates of the Caribbean DVD Treasure Hunt,2006.0,27508.0,5.431,4.84,205.0,23694,1,1.2353,17.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24171,4.678862036717533,Zombie! Run for Your Lives!,2012.0,27559.0,5.424,4.49,170.0,118955,1,1.1667,6.0,15.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24172,4.678463669912829,Bargain Hunter,1981.0,27483.0,5.435,4.75,179.0,2431,1,1.2143,14.0,60.0,9.0,0.0,0.0,0.0,0.0,,,,3560,,,,
24173,4.67688005416604,Planet Earth DVD Game,2007.0,26499.0,5.476,4.63,59.0,34395,1,1.5,2.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24174,4.676316558556739,Kitty Chaos,2005.0,25979.0,5.483,4.72,44.0,17323,1,1.1429,7.0,30.0,10.0,0.0,0.0,0.0,0.0,,,540,,,,,
24175,4.675007578156572,Electronic Whac-a-Mole,1999.0,27166.0,5.458,4.61,110.0,5775,1,1.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,,,774,,,,,
24176,4.67442052375272,The Misery Index,2019.0,26385.0,5.478,4.28,44.0,282594,1,,,,,,,,,,,,,,,,
24177,4.673611064700238,Aku Ankka,2008.0,26164.0,5.481,4.38,39.0,39636,1,1.6667,3.0,30.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
24178,4.673132302939566,Regidice,2021.0,27531.0,5.429,4.1,109.0,350604,1,,,,,,,,,,,,,,,,
24179,4.672847447005585,"The Chronicles of Narnia The Lion, The Witch and The Wardrobe Game",2005.0,26125.0,5.481,4.71,58.0,20028,1,1.2,10.0,0.0,8.0,0.0,0.0,0.0,0.0,,,589,,,,,
24180,4.672564454236728,Pirate's Plunder,2000.0,26964.0,5.465,4.56,74.0,646,1,1.5,10.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24181,4.672258682582584,Scrabble Junior,1958.0,27799.0,5.3,4.74,708.0,2318,1,1.3556,45.0,30.0,5.0,0.0,0.0,0.0,0.0,,,1086,,,,,
24182,4.671734018044115,Quest for the Dungeonmaster,1984.0,25932.0,5.483,4.54,37.0,6245,1,1.0,2.0,45.0,6.0,0.0,0.0,0.0,0.0,,,653,,,,,
24183,4.671267929385043,Die Pyramide des Krimsutep,2005.0,25738.0,5.485,4.47,30.0,20231,1,1.0,2.0,90.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24184,4.6706316417251195,Bondespelet,1953.0,27765.0,5.343,4.48,370.0,10712,1,1.5714,21.0,90.0,7.0,0.0,0.0,0.0,0.0,,,,2281,,,,
24185,4.670493442709388,Mont Saint Michel,2006.0,26963.0,5.465,4.56,78.0,21835,1,1.5714,7.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24186,4.668880470312293,Apples to Apples Dice Game,2011.0,26723.0,5.471,4.72,91.0,116422,1,1.2,5.0,30.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
24187,4.667211276354273,French Military Game,1886.0,26242.0,5.48,4.42,39.0,31271,1,2.5,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1056,,,,,,,
24188,4.666891717434769,Flucht aus Mangrovia,1989.0,25733.0,5.485,4.5,31.0,797,1,1.5,2.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24189,4.6655246483727195,Downton Abbey: The Board Game,2013.0,26770.0,5.47,4.66,65.0,151468,1,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24190,4.6649358369230685,Gother Than Thou,2000.0,27588.0,5.418,4.63,212.0,698,1,1.1538,13.0,20.0,15.0,0.0,0.0,0.0,0.0,,,,,,,1820,
24191,4.66490308118006,Breakout,1994.0,26819.0,5.469,4.43,59.0,20203,1,1.0,2.0,20.0,6.0,0.0,0.0,0.0,0.0,1062,,,,,,,
24192,4.664713778422515,Doctor Who: Battle for the Universe,1989.0,25961.0,5.483,4.72,48.0,3830,1,1.0,3.0,45.0,10.0,0.0,0.0,0.0,0.0,1391,,,,,,,
24193,4.664328721401949,Trick 'r Treat,1998.0,27614.0,5.412,4.47,200.0,1170,1,1.0909,11.0,20.0,8.0,0.0,0.0,0.0,0.0,,,1052,,,,,
24194,4.661603955169501,Star Wars Force Grab,2014.0,26451.0,5.477,4.59,57.0,167505,1,1.2,5.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24195,4.661169782864497,Fallen City of Karez,2012.0,27731.0,5.368,4.47,306.0,125879,1,3.0645,31.0,120.0,12.0,0.0,1.0,0.0,0.0,,,,,,2321,,
24196,4.66041607027539,Komme Gleich,1996.0,26356.0,5.478,4.18,36.0,3068,1,2.3333,3.0,30.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24197,4.658772402029644,Bitin' Off Hedz,1996.0,27777.0,5.329,4.6,476.0,1527,1,1.1964,56.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,3619,,,,
24198,4.658237119643556,Inwigilacja Luksusowa,2008.0,25816.0,5.484,4.65,42.0,38418,1,2.0,2.0,45.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,
24199,4.656486103825128,Marram,2018.0,27479.0,5.436,4.09,88.0,287002,1,,,60.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24200,4.653050179480472,Brin de Jasette,2006.0,25729.0,5.485,4.54,37.0,31315,1,1.0,2.0,30.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,
24201,4.652956387273494,Skip-Bo Dice Game,2011.0,26901.0,5.466,4.5,69.0,116821,1,1.0,1.0,5.0,7.0,0.0,0.0,1.0,1.0,,,,,,,,
24202,4.6525542287789845,Skip-Bo Dice,1995.0,25788.0,5.485,4.77,46.0,4038,1,1.0,4.0,20.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
24203,4.6509516969812505,Sharur: Evolutions,2004.0,26799.0,5.469,4.44,65.0,14130,1,2.0,3.0,90.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24204,4.649429391240464,Penguin,2007.0,27784.0,5.323,4.61,511.0,152758,1,1.0725,69.0,20.0,8.0,0.0,0.0,0.0,2.0,,,818,2286,,,,
24205,4.649415934019607,The Emergency! Game,1973.0,26248.0,5.48,4.53,48.0,9603,1,1.3333,6.0,10.0,8.0,0.0,0.0,0.0,0.0,,,675,,,,,
24206,4.646998374799626,Edison & Co.,1998.0,27751.0,5.35,4.48,360.0,417,1,2.0,31.0,45.0,12.0,0.0,0.0,0.0,0.0,,,,3608,,2323,,
24207,4.646963198411764,Der Dativ ist dem Genitiv sein Tod,2006.0,27090.0,5.461,4.41,79.0,25429,1,1.3333,6.0,25.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24208,4.643989327771293,Speak Out,2016.0,27800.0,5.299,4.64,608.0,204543,1,1.0,11.0,30.0,16.0,0.0,0.0,0.0,4.0,,,,,,,,
24209,4.643794570292301,Choco,1977.0,27501.0,5.432,4.55,146.0,13373,1,1.0,11.0,25.0,3.0,0.0,0.0,0.0,0.0,,,805,,,,,
24210,4.641807960400588,Isolate,2003.0,27101.0,5.461,4.58,95.0,17708,1,1.75,8.0,45.0,8.0,0.0,0.0,0.0,0.0,1096,,,,,,,
24211,4.64016775113385,Combined Arms: Combat Operations in the 20th Century,1974.0,27229.0,5.455,4.49,93.0,4240,1,2.5833,12.0,120.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,4585
24212,4.639314350356193,Go to the Head of the Class,1936.0,27730.0,5.369,4.65,361.0,4041,1,1.2121,33.0,45.0,6.0,0.0,0.0,0.0,0.0,,,1078,,,,,
24213,4.63743639377122,Stun,1986.0,27135.0,5.459,4.42,83.0,6686,1,1.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,
24214,4.63735769206565,WTF?,2017.0,27100.0,5.461,4.53,77.0,265832,1,1.3333,3.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
24215,4.63721611367873,Movie Mania,1992.0,26538.0,5.475,4.6,64.0,899,1,1.5714,7.0,60.0,13.0,0.0,0.0,0.0,1.0,,,,,,,,
24216,4.636261943317386,Quelf Card Game,2009.0,26903.0,5.466,4.69,79.0,61916,1,1.5,2.0,0.0,8.0,0.0,0.0,1.0,1.0,,,,,,,,
24217,4.636249129622927,Ritter ohne Furcht und Tadel,1998.0,27133.0,5.459,4.33,75.0,1531,1,1.6154,13.0,45.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24218,4.634898800589438,The Price Is Right,1973.0,27114.0,5.46,4.73,109.0,4902,1,2.0,2.0,60.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24219,4.631836471644449,Who Wants to Be a Millionaire,2000.0,27841.0,5.207,4.59,1054.0,4077,1,1.425,80.0,60.0,10.0,0.0,0.0,0.0,1.0,,,,3637,978,,,
24220,4.630765524697422,Greed Quest,2004.0,27609.0,5.414,4.62,244.0,9666,1,1.1562,32.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24221,4.6298411594781,Jumanji,2019.0,26710.0,5.471,4.72,69.0,328053,1,,,,,,,,,,,,,,,,
24222,4.629072173304905,Citadel Combat Cards,1992.0,27524.0,5.429,4.48,151.0,8031,1,1.0556,18.0,10.0,10.0,0.0,0.0,0.0,1.0,,,803,,,,,
24223,4.628175765546239,Ripley's Believe It or Not!,1984.0,27004.0,5.464,4.57,85.0,4567,1,1.25,8.0,45.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24224,4.626685390287552,Sherlock: Case Connection,2022.0,27102.0,5.461,4.26,69.0,356061,1,,,,,,,,,,,,,,,,
24225,4.626018017145475,Astrotime,1990.0,27084.0,5.461,4.63,92.0,1865,1,1.3333,9.0,60.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
24226,4.625759091821265,Dragon Line,2014.0,27409.0,5.444,3.83,74.0,156576,1,2.0,3.0,20.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24227,4.624742798770387,Alien Hotshots,1998.0,27322.0,5.449,4.69,131.0,1749,1,1.125,8.0,20.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24228,4.623621615271199,Race Around Britain!,1988.0,25116.0,5.49,4.73,32.0,15354,1,2.0,1.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24229,4.623585280032407,Game of the Year,1989.0,27089.0,5.461,4.92,121.0,1972,1,1.1429,7.0,60.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
24230,4.622053702290517,La Boîte à énigmes,2008.0,26218.0,5.48,4.52,43.0,116468,1,,,,,,,,,,,,,,,,
24231,4.621107119477925,LEGO Racers Super Speedway Game,2001.0,27320.0,5.449,4.56,121.0,10043,1,1.1875,16.0,30.0,5.0,0.0,0.0,0.0,0.0,,,760,,,,,
24232,4.619436041920424,Sorry! Express,2007.0,27263.0,5.453,4.62,116.0,31936,1,1.0,7.0,20.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24233,4.618901398795439,Star Wars: Escape the Death Star Action Figure Game,1998.0,26930.0,5.466,4.67,90.0,6122,1,1.1667,6.0,20.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24234,4.618570404893284,Intern,1979.0,26913.0,5.467,4.42,71.0,1684,1,1.3,10.0,90.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24235,4.618106849501943,The Smurf Game,1981.0,26229.0,5.48,4.63,41.0,9947,1,1.3333,3.0,20.0,6.0,0.0,0.0,0.0,0.0,,,685,,,,,
24236,4.618005988511538,Pop-Up Pirate!,1975.0,27814.0,5.28,4.62,650.0,9004,1,1.0556,36.0,20.0,3.0,0.0,0.0,0.0,0.0,,,836,,,,,
24237,4.617514066521309,"Zobmondo!! Would you rather...? Twisted, sick and wrong. Late night.",2005.0,26149.0,5.481,4.54,51.0,21866,1,1.0,2.0,30.0,12.0,0.0,0.0,1.0,1.0,,,,,,,,
24238,4.6173664592352255,Squadron Scramble,1942.0,25891.0,5.484,4.35,30.0,5729,1,,,,,,,,,,,,,,,,
24239,4.616477731501398,Stop it!,2003.0,25945.0,5.483,4.51,36.0,6152,1,1.25,4.0,10.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24240,4.6160278694875565,Fußball-Bundesliga: Das große Geschäft,1987.0,26845.0,5.468,4.27,57.0,7693,1,1.2222,9.0,45.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24241,4.615715155375294,Rock Paper Scissors Lizard Spock Dice,2012.0,26834.0,5.468,4.42,65.0,125765,1,1.2,5.0,1.0,6.0,0.0,1.0,0.0,0.0,,,,,,,,
24242,4.615322679755165,Deal or No Deal: Electronic Game,2006.0,27165.0,5.458,4.63,101.0,26137,1,1.2222,9.0,20.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24243,4.614835331473243,Wheel of Fortune,1975.0,27776.0,5.329,4.61,472.0,4910,1,1.2368,38.0,60.0,10.0,0.0,0.0,0.0,0.0,,,,2284,,,,
24244,4.614599351897326,Potions,2008.0,26443.0,5.477,4.5,52.0,39320,1,1.2727,11.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24245,4.61382639950295,Block It!,2004.0,26888.0,5.467,4.61,78.0,12763,1,1.3333,6.0,15.0,6.0,0.0,0.0,0.0,0.0,1086,,,,,,,
24246,4.613785633801965,Pressure Matrix,2010.0,27454.0,5.44,4.49,132.0,42968,1,2.5,10.0,45.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24247,4.613000622911008,Simon,1978.0,27861.0,5.09,4.43,1271.0,5749,1,1.2535,71.0,30.0,7.0,0.0,0.0,0.0,4.0,,,856,,,,,
24248,4.612405337252064,Past Lives,1988.0,27425.0,5.442,4.43,105.0,3482,1,1.4444,9.0,60.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24249,4.612249761614718,Dark Force,1994.0,26773.0,5.47,4.31,57.0,18574,1,2.6,10.0,0.0,12.0,0.0,0.0,0.0,0.0,,288,,,,,,
24250,4.611290085668258,The Emoji Game,2015.0,26816.0,5.469,4.41,53.0,240224,1,1.0,1.0,20.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24251,4.611049767169962,Marvel Heroes Battle Dice,2006.0,26658.0,5.472,4.73,69.0,21941,1,1.4545,11.0,30.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,
24252,4.610976928170371,Fake News,2017.0,25985.0,5.483,4.31,35.0,239937,1,,,,,,,,,,,,,,,,
24253,4.61096706821927,Magikus,2009.0,27552.0,5.425,4.69,204.0,46747,1,1.0,15.0,10.0,6.0,0.0,0.0,0.0,0.0,,,800,,,,,
24254,4.61090109864112,Sorry! Spin,2010.0,26967.0,5.465,4.77,104.0,75991,1,1.0,4.0,30.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
24255,4.610214255534873,Zombie Mosh!,2009.0,26679.0,5.472,4.46,55.0,39789,1,1.3333,6.0,15.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,
24256,4.609747297137988,Solitaire,1697.0,27858.0,5.11,4.49,1224.0,13713,1,1.5149,101.0,15.0,6.0,0.0,0.0,0.0,0.0,1115,,,,,,,
24257,4.608823935932402,Po-Ke-No,1930.0,27597.0,5.417,4.68,224.0,8784,1,1.05,20.0,10.0,8.0,0.0,0.0,0.0,0.0,,,,,613,,,
24258,4.606090592296267,The Game of Life: Fame Edition,2002.0,26342.0,5.478,4.73,63.0,27296,1,1.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
24259,4.605751861795883,Watch Ya' Mouth,2016.0,27638.0,5.405,4.63,258.0,214899,1,1.0,1.0,30.0,8.0,0.0,0.0,0.0,1.0,,,,,,,,
24260,4.605382493605299,Crocodile Pool Party,1968.0,27745.0,5.357,4.43,330.0,7972,1,1.2973,37.0,30.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,
