group,users,median_distinct_games,p25_distinct_games,p75_distinct_games,median_host_game_volume,mean_niche_share_lt100,mean_user_mean_rating,flavor_counts
degenerate_strict,667,40.0,26.0,66.5,7927.0,0.008,9.6407,"{""single_high_9_10"": 424, ""single_low_1_3"": 6, ""other_strict"": 237}"
other_n_ge_20,216435,57.0,33.0,117.0,12821.0,0.0025,7.3759,"""mixed"""
