spec,weighting,target,n_games,n_features,r2_in,rmse_in,cv_r2_mean,cv_r2_sd,beta_logn,beta_weight,corr_resid_logn
Q3b_flex_volume,ols,adj,14779,45,0.6023279138269271,0.535038131731156,0.5999794774422176,0.010779020433808816,,0.4727327860346164,0.012794152613730191
Q3b_flex_volume,wls_n,adj,14779,45,0.5792803824994293,0.5503241387877981,0.5770684441681639,0.009807225106357296,,0.41237401300534304,0.00865219630841486
Q3_categories,ols,adj,14779,38,0.6041450979392683,0.5338142891820341,0.602058933660291,0.011458578161472702,0.44212628396883347,0.4707846405643715,-2.0549509103452087e-13
Q3_categories,wls_n,adj,14779,38,0.583003898166949,0.5478834460495977,0.5811491549988168,0.010106470195196149,0.46078605246202287,0.4168652375630501,-0.01799086154498103
Q1_core,ols,adj,14779,6,0.5674922408254932,0.5579806425833989,0.5670008299962402,0.0066014438427281505,0.40036328561752277,0.5476453311480427,-4.027065294264592e-14
Q1_core,wls_n,adj,14779,6,0.5519765208847869,0.5679009147891032,0.5512340490012414,0.004038625138662946,0.4192371869743576,0.44474853547985244,-0.007567308362436698
Q0_flex_year,ols,adj,14779,5,0.30975306995222895,0.7048949886316365,0.3089943656607404,0.005905620692243929,0.5186777983528268,,-7.09005898426365e-15
Q0_flex_year,wls_n,adj,14779,5,0.29017252871705457,0.714823106777285,0.2889698442411554,0.012267312425744309,0.49731504711568747,,0.0002974227445097319
