game_id,title,year,n_obs,adj_mean,resid_Q3bFam,resid_Q4Fam,SE,lower_bound_adj,hiddenness_bucket,families,designers,n_version_tgt,n_version_src,n_contained_tgt,n_contained_src,n_reimplements_src,n_reimplementation_src,n_expansion_src,n_expansion_tgt,n_integration_tgt,is_reimplementation,is_expansion,is_game_system,is_edition_title,max_eco,eco_tokens,game_links_as_target,game_links_as_source,eligibility_flag,confidence,reason,evidence,eco_flag,eco_confidence
541,Das Motorsportspiel,1995.0,381,7.884625607694253,1.6685431334859606,1.855485018736677,0.0611417701403507,7.764787738219165,eligible,"[""Constructions: Hockenheimring (Germany)"", ""Constructions: N\u00fcrburgring (Germany)"", ""Containers: Tubes"", ""Sports: Auto Racing""]","[""Peter Steinke"", ""Martin Wieland""]",0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,eligible,eligible,,"title 'Das Motorsportspiel' year 1995.0 weight 2.00 designers ['Peter Steinke', 'Martin Wieland'] n_obs 381 adj 7.88 resid 1.67 | families ['Constructions: Hockenheimring (Germany)', 'Constructions: Nürburgring (Germany)', 'Containers: Tubes', 'Sports: Auto Racing'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 4 (version_src 4 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
188530,My Favourite Things,2015.0,375,7.903825141235959,1.6535824994022192,1.6501461909932615,0.0616289632623315,7.783032373241789,eligible,"[""Components: Dry Erase Markers / Dry Erase Surfaces"", ""Mechanism: Give a Clue / Get a Clue""]","[""Daiki (Nilgiri) Aoyama"", ""\u307a\u307aR (Pepe_R)""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'My Favourite Things' year 2015.0 weight 1.29 designers ['Daiki (Nilgiri) Aoyama', 'ぺぺR (Pepe_R)'] n_obs 375 adj 7.90 resid 1.65 | families ['Components: Dry Erase Markers / Dry Erase Surfaces', 'Mechanism: Give a Clue / Get a Clue'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,8.491014256539268,1.6443870952069464,1.5939133522733575,0.1042713143786963,8.286642480357022,eligible,"[""Crowdfunding: Spieleschmiede"", ""Theme: Mystery / Crime""]","[""Sergey Minevich""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Mortum: Medieval Detective – The Shelter' year 2022.0 weight 1.40 designers ['Sergey Minevich'] n_obs 131 adj 8.49 resid 1.64 | families ['Crowdfunding: Spieleschmiede', 'Theme: Mystery / Crime'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
249768,My First Adventure: Finding the Dragon,2018.0,100,7.792468060399719,1.63779194821939,1.54080144180893,0.1193439741795195,7.558553871007861,eligible,"[""Creatures: Dragons"", ""Series: My First Adventure (Game Flow)"", ""Theme: Medieval Fantasy""]","[""Rom\u00e9o Hennion""]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,Series: My First Adventure (Game Flow),0,0,eligible,eligible,,"title 'My First Adventure: Finding the Dragon' year 2018.0 weight 1.00 designers ['Roméo Hennion'] n_obs 100 adj 7.79 resid 1.64 | families ['Creatures: Dragons', 'Series: My First Adventure (Game Flow)', 'Theme: Medieval Fantasy'] (0 Game: 1 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 1 (Game max 0 Series max 1 tokens Series: My First Adventure (Game Flow))",none,none
4485,Hotel Life,1989.0,139,7.704084067024758,1.608946986698229,1.5380271857250998,0.1012262377230807,7.50568064108752,eligible,"[""Theme: Hotels, Inns, Lodgings""]","[""Urs Hostettler"", ""Hermann Wieland""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Hotel Life' year 1989.0 weight 2.50 designers ['Urs Hostettler', 'Hermann Wieland'] n_obs 139 adj 7.70 resid 1.61 | families ['Theme: Hotels, Inns, Lodgings'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
6688,Ninety-Nine,1974.0,554,7.886113311979459,1.6035999915317074,1.6111055663889502,0.0507043959760171,7.7867326958664655,eligible,"[""Card Games: Adding"", ""Card Games: Outplay"", ""Components: Traditional Playing Cards"", ""Digital Implementations: Board Game Arena""]","[""David Parlett""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Ninety-Nine' year 1974.0 weight 2.08 designers ['David Parlett'] n_obs 554 adj 7.89 resid 1.60 | families ['Card Games: Adding', 'Card Games: Outplay', 'Components: Traditional Playing Cards', 'Digital Implementations: Board Game Arena'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
156372,Heart of Crown: Fairy Garden,2013.0,304,8.435737541032188,1.5841251101401923,1.4957523247309863,0.0684484635485595,8.301578552477011,eligible,"[""Creatures: Fairies / Elves / Pixies"", ""Game: Heart of Crown"", ""Theme: Anime / Manga""]","[""ginkgo""]",0,0,0,0,0,0,0,0,0,0,0,0,0,2,Game: Heart of Crown,0,0,eligible,eligible,,"title 'Heart of Crown: Fairy Garden' year 2013.0 weight 2.57 designers ['ginkgo'] n_obs 304 adj 8.44 resid 1.58 | families ['Creatures: Fairies / Elves / Pixies', 'Game: Heart of Crown', 'Theme: Anime / Manga'] (1 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 2 (Game max 2 Series max 0 tokens Game: Heart of Crown)",none,none
14188,Bughouse Chess,1960.0,362,7.928732592221245,1.5722549790279414,1.540566499582181,0.0627258002310878,7.8057900237683135,eligible,"[""Admin: Outside the Scope of BGG"", ""Components: 8 x 8 Grids"", ""Digital Implementations: Pychess"", ""Traditional Games: Chess""]","[""(Uncredited)""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'Bughouse Chess' year 1960.0 weight 2.78 designers ['(Uncredited)'] n_obs 362 adj 7.93 resid 1.57 | families ['Admin: Outside the Scope of BGG', 'Components: 8 x 8 Grids', 'Digital Implementations: Pychess', 'Traditional Games: Chess'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
260234,Middle-Earth Strategy Battle Game: Rules Manual,2018.0,144,8.842478847140908,1.5691686168455945,1.5431550210895215,0.0994533118162662,8.647550355981027,eligible,"[""Authors: J.R.R. Tolkien""]",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,title 'Middle-Earth Strategy Battle Game: Rules Manual' year 2018.0 weight 3.10 designers [] n_obs 144 adj 8.84 resid 1.57 | families ['Authors: J.R.R. Tolkien'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens ),none,none
220975,History Maker Golf,2017.0,130,8.411238474481728,1.5521153094360027,1.4367314620076517,0.1046715896101186,8.206082158845895,eligible,"[""Misc: Lowest Score Wins"", ""Sports: Golf""]","[""Keith Avallone""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,eligible,eligible,,"title 'History Maker Golf' year 2017.0 weight 2.30 designers ['Keith Avallone'] n_obs 130 adj 8.41 resid 1.55 | families ['Misc: Lowest Score Wins', 'Sports: Golf'] (0 Game: 0 Series:) | game_links as_target 0 (version_tgt 0 contained_tgt 0 reimpl_tgt 0 integration_tgt 0) as_source 0 (version_src 0 contained_src 0 reimplements_src 0 reimpl_src 0 expansion_src 0) | is_reimplementation False is_expansion False is_game_system 0 is_edition_title 0 | eco max 0 (Game max 0 Series max 0 tokens )",none,none
