game_id,title,year,n_obs,adj_mean,se,post_sd,z,lb_adj,lower_1,lower_post_1_96,expected_quality_pref,underratedness_pref,min_alt_resid,n_decile,vol_band_label,users_rated,rank_current,num_weights,is_reimplementation,weight,cat_str,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_own,mean_delta_pool,has_heavy_light_diff,mean_low_10_49_vs_500,mean_high_10_49_vs_500,diff_10_49_vs_500,mean_low_10_24_vs_1000,mean_high_10_24_vs_1000,disposition,disposition_reason,edition_flag,wellknown_flag,insuf_hidden_flag,niche_flag
156372,Heart of Crown: Fairy Garden,2013.0,305,8.433134886513713,0.06837225550959439,0.0681590942211892,22.781752319292114,8.299125265714908,8.364762631004119,8.299543061840183,6.875495095982778,1.557639790530935,1.5299719227317237,D6,200-499,350,4946,14,False,2.5714,Card Game; Fantasy,0.2131147540983606,0.4393442622950819,0.0557377049180327,0.7016393442622951,-0.4208398045465029,True,8.544186046511628,7.516923076923077,1.0272629695885511,8.411764705882353,7.0718749999999995,likely_hidden_gem_candidate,"heavy mean 7.52>=7.5 with n_low 43 vs n_high 65 and share_own 0.702 in [0.45,0.78]",False,False,False,False
1447,1841: Railways in Northern Italy,1994.0,343,8.792287096941868,0.0644737256055823,0.06429489503654842,22.675705917255446,8.665918594754926,8.727813371336286,8.666269102670233,7.330299855719861,1.4619872412220065,1.391565189487399,D6,200-499,375,4571,46,False,4.3913,Economic; Post-Napoleonic; Trains; Transportation,0.3323615160349854,0.629737609329446,0.0204081632653061,0.4548104956268221,-0.919867271868978,True,8.391304347826088,7.500350877192982,0.8909534706331055,9.0,7.0748,likely_hidden_gem_candidate,"heavy mean 7.50>=7.5 with n_low 23 vs n_high 114 and share_own 0.455 in [0.45,0.78]",False,False,False,False
3097,1849: The Game of Sicilian Railways,1998.0,942,8.92429353549263,0.038904906436849386,0.03886551005353453,36.9603387775475,8.848039918876406,8.88538862905578,8.848117135787703,7.486355013477889,1.4379385220147416,1.3279707294053242,D8,500-999,1057,1865,43,False,4.1628,Economic; Post-Napoleonic; Trains; Transportation,0.2876857749469214,0.583864118895966,0.0159235668789808,0.5881104033970276,-0.8330928985499635,True,8.269387755102041,7.766088560885608,0.5032991942164333,7.98,7.322297297297296,likely_hidden_gem_candidate,"heavy mean 7.77>=7.5 with n_low 49 vs n_high 271 and share_own 0.588 in [0.45,0.78]",False,False,False,False
63170,1817,2010.0,764,9.361686538785822,0.04319994036708914,0.043146021710534055,30.3175112560333,9.277014655666328,9.318486598418733,9.277120336233175,8.05197186044663,1.3097146783391924,1.2980828770105308,D8,500-999,890,1783,115,False,4.8,Economic; Trains; Transportation,0.281413612565445,0.5602094240837696,0.0274869109947644,0.5418848167539267,-0.8041093136549329,True,9.145454545454545,8.014186046511629,1.1312684989429158,8.976190476190476,7.840163934426229,likely_hidden_gem_candidate,"heavy mean 8.01>=7.5 with n_low 55 vs n_high 215 and share_own 0.542 in [0.45,0.78]",False,False,False,False
398162,MicroMacro: Crime City – Showdown,2023.0,452,8.277190611219277,0.056164333461957316,0.0560459990967448,22.818357825669437,8.16710851763384,8.22102627775732,8.167340452989658,6.9956127532441155,1.2815778579751615,1.1098665185218453,D7,200-499,813,2737,15,False,1.0,Deduction; Murder / Mystery,0.2831858407079646,0.5199115044247787,0.0309734513274336,0.7765486725663717,-0.3509440625467188,True,8.384065121951219,7.729818515625,0.6542466063262182,7.803333571428571,7.354081632653061,likely_hidden_gem_candidate,"heavy mean 7.73>=7.5 with n_low 41 vs n_high 128 and share_own 0.777 in [0.45,0.78]",False,False,False,False
194923,Techno Bowl: Arcade Football Unplugged,2017.0,262,8.564608858310077,0.07376989765630591,0.073502367136521,17.315308120918992,8.420019858903718,8.490838960653772,8.420544218722496,7.28726035034248,1.2773485079675968,1.2489924035417062,D5,200-499,321,4893,21,False,2.8095,Sports; Video Game Theme,0.2137404580152671,0.3625954198473282,0.0801526717557251,0.7519083969465649,-0.1988248125085489,True,9.014,7.682142857142858,1.3318571428571415,9.247619047619047,7.376190476190477,likely_hidden_gem_candidate,"heavy mean 7.68>=7.5 with n_low 50 vs n_high 56 and share_own 0.752 in [0.45,0.78]",False,False,False,False
39336,Mégawatts,2008.0,441,8.148456354629896,0.056860481350062685,0.056737701685268406,21.320769216034392,8.037009811183774,8.091595873279834,8.03725045932677,6.936147154252582,1.2123092003773142,1.0417011596093788,D7,200-499,463,4116,30,False,3.0333,Economic; Industry / Manufacturing,0.2607709750566893,0.4807256235827664,0.0294784580498866,0.5532879818594104,-0.3542537922716178,True,7.829496792452831,7.681043478260871,0.1484533141919604,8.257948461538462,7.945263157894737,likely_hidden_gem_candidate,"heavy mean 7.68>=7.5 with n_low 53 vs n_high 115 and share_own 0.553 in [0.45,0.78]",False,False,False,False
32424,1848: Australia,2007.0,577,8.656367553407017,0.04970978903519868,0.04962768734877146,23.30408842662936,8.558936366898028,8.60665776437182,8.559097286203425,7.497926234061657,1.1584413193453607,1.0986735963657406,D7,500-999,652,3136,33,False,3.8182,Economic; Trains; Transportation,0.3587521663778162,0.6655112651646446,0.0155979202772963,0.537261698440208,-0.7838198930950594,True,8.056521739130435,7.5696135265700475,0.48690821256038763,8.0,7.459722222222222,likely_hidden_gem_candidate,"heavy mean 7.57>=7.5 with n_low 23 vs n_high 207 and share_own 0.537 in [0.45,0.78]",False,False,False,False
12750,1860: Railways on the Isle of Wight,2004.0,982,8.703660115126953,0.038104308329865784,0.03806729208671099,29.648950823364057,8.628975670800415,8.665555806797087,8.629048222637,7.5739073512964605,1.129752763830492,1.0231864174432195,D8,500-999,1060,2163,94,False,4.1277,Economic; Trains; Transportation,0.3360488798370672,0.6262729124236253,0.0122199592668024,0.5784114052953157,-0.8139418564711527,True,8.372727272727273,7.513464636363636,0.8592626363636366,8.75,7.302870370370369,likely_hidden_gem_candidate,"heavy mean 7.51>=7.5 with n_low 44 vs n_high 330 and share_own 0.578 in [0.45,0.78]",False,False,False,False
18485,18MEX,2005.0,647,8.570115671167796,0.046943739941752556,0.04687457663664633,23.448646763325122,8.478105940881962,8.523171931226043,8.47824150095997,7.469348495524244,1.1007671756435524,1.030685529490606,D7,500-999,707,3184,38,False,3.8421,Economic; Trains; Transportation,0.3183925811437403,0.6599690880989181,0.0108191653786707,0.4837712519319938,-0.9127375104259148,True,8.036,7.553252427184466,0.4827475728155335,8.628571428571428,7.629642857142857,likely_hidden_gem_candidate,"heavy mean 7.55>=7.5 with n_low 25 vs n_high 206 and share_own 0.484 in [0.45,0.78]",False,False,False,False
