hidden_bucket,n_games,pct_pop,mean_n_obs,median_n_obs,mean_ref_penetration,median_ref_penetration,p90_ref_penetration,share_gt_0_1pct,share_gt_0_2pct,share_gt_0_5pct,share_gt_1pct,share_gt_5pct
eligible_<1700,12186,82.90923935229283,416.59740686033155,267.0,0.0014644002784693108,0.0009315390458173,0.0034896885793312,46.980141145576894,23.86344986049565,2.954209748892171,0.0,0.0
borderline_1700-2500,694,4.721730847734386,2034.9697406340058,1998.5,0.007235070274719097,0.00711015090932535,0.008515341731516031,100.0,100.0,100.0,0.0,0.0
exclude_>2500,1818,12.369029799972786,9712.531353135313,5164.0,0.03467218559997502,0.0184319331584906,0.07571656849678256,100.0,100.0,100.0,89.71397139713972,17.71177117711771
eligible_<1700_pen_ge0.1pct,5725,46.980141145576894,693.0199126637555,579.0,0.002448825588041405,,,,,,,
eligible_<1700_pen_ge0.2pct,2908,23.86344986049565,971.8136176066025,901.0,0.003443045095577474,,,,,,,
eligible_<1700_pen_ge0.5pct,360,2.954209748892171,1550.8305555555555,1552.0,0.0055132979189257995,,,,,,,
eligible_<1700_pen_ge1pct,0,0.0,,,,,,,,,,
wargame_eligible_<1700,1852,91.68316831683168,334.1668466522678,208.0,0.0010933318550044961,0.0006592430170399,0.00261511672900811,33.477321814254864,14.308855291576675,1.2419006479481642,0.0,0.0
wargame_borderline_1700-2500,56,2.7722772277227725,2010.8214285714287,1939.0,0.0069544252199352985,0.0067375352909984,0.008274574716597101,100.0,100.0,100.0,0.0,0.0
wargame_exclude_>2500,112,5.544554455445545,8128.785714285715,4338.5,0.028877294554693574,0.015388308468406449,0.07470907319030626,100.0,100.0,100.0,87.5,14.285714285714285
