iteration,games_current,games_with_active,games_lt100,users_total,users_active_ge10,users_lt10,degenerate_strict,obs_total_excl_deg,obs_active
1,16627,16564,1675,288730,288730,0,0,24509788,24509788
2,14952,14952,11,288727,288253,474,3,24403300,24399104
3,14941,14941,0,288727,288250,477,3,24402200,24397989
4,14941,14941,0,288727,288250,477,3,24402200,24397989
