game_id,title,year,n_obs,users_rated,adj_mean,pred,resid
435330,Pondscape,2025.0,1,874.0,11.553486725686795,7.616149319015907,3.9373374066708884
428589,Thief's Market,2025.0,3,137.0,10.461312287206184,7.584598852517468,2.8767134346887158
255249,Monikers: More Monikers,2018.0,452,521.0,8.575100419740723,6.303152743825759,2.271947675914964
434131,Tolleno,2025.0,1,140.0,9.843971781337288,7.625595612327983,2.2183761690093053
140135,Small World Designer Edition,2015.0,246,266.0,9.099995391367383,6.897885999250187,2.2021093921171957
404462,Monikers: Monikers-er,2023.0,61,131.0,9.111916309819058,6.9141035868331855,2.197812722985873
436804,Opération Zèbre,2025.0,1,137.0,9.310399753370493,7.148794032145345,2.1616057212251487
436591,Brightcast,2025.0,2,141.0,9.374230214348394,7.222175445688649,2.1520547686597453
436038,Hercules and the 12 Labors,2025.0,2,546.0,9.90660100964547,7.781959470371849,2.1246415392736218
127333,Schnipp & Weg,2012.0,81,100.0,8.271404629052356,6.147759174122809,2.1236454549295463
203560,Fall of Magic,2015.0,86,100.0,8.319539101911568,6.243025357056162,2.076513744855406
179448,Monikers: Shmonikers,2015.0,319,326.0,8.298090461297656,6.243128625068838,2.0549618362288182
428284,Here Lies,2025.0,2,240.0,9.61590816742283,7.583408774177316,2.032499393245514
195709,Monikers: Something Something,2016.0,246,255.0,8.326053699826828,6.297531079171664,2.0285226206551634
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.355972846068445,6.361578833572285,1.9943940124961603
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.453626629540011,6.461751968862027,1.9918746606779845
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.484233854417955,6.548901971851976,1.935331882565979
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,8.027215708183324,6.0979825646638055,1.929233143519518
428989,EcoLogic: Europe,2025.0,2,155.0,9.883913214113528,7.9593316131114165,1.924581601002112
283151,Monikers: Classics,2019.0,263,343.0,8.44793025351443,6.524378562018118,1.9235516914963124
4385,A Gamut of Games,1969.0,434,445.0,8.077552795635295,6.1566620590662815,1.9208907365690138
230262,Time's Up! Party Edition,2004.0,553,714.0,7.9139121525426015,6.050582991516189,1.8633291610264129
33434,Funkenschlag: EnBW,2007.0,198,202.0,8.695725031634872,6.846966035460438,1.8487589961744337
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,7.035635140397307,5.192215799924259,1.843419340473048
414927,Parks & Potions,2025.0,14,317.0,9.202511207387458,7.381894919965502,1.8206162874219558
4657,Replay Baseball,1973.0,105,135.0,7.968162887011541,6.177610682654194,1.790552204357347
1803,Zopp,1997.0,158,160.0,7.669769068695889,5.895684294404962,1.7740847742909267
351773,AVíO      AVíO a game in which every trick can change your strategy.,2025.0,1,101.0,9.483435462570414,7.718921301277037,1.764514161293377
57660,Time's Up! Edición Azul,2006.0,1365,1463.0,7.682923039538827,5.923458800397743,1.7594642391410842
263351,Abstratus,2018.0,92,141.0,8.02581135261416,6.271104111133383,1.7547072414807765
341489,Carrooka,2021.0,195,285.0,8.556558258411863,6.810622986712673,1.7459352716991905
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,8.39368931438145,6.659071326068288,1.734617988313163
186279,Finska Mini,2011.0,468,566.0,7.81827053461861,6.088620413537198,1.729650121081412
97683,Age of Rail: South Africa,2011.0,277,605.0,8.731868234394135,7.0045588903636204,1.7273093440305143
436936,No Loose Ends,2025.0,2,529.0,9.414511754233892,7.69144442962412,1.7230673246097723
147170,El Grande Decennial Edition,2006.0,978,1063.0,8.775819467745654,7.053479425733748,1.722340042011906
8939,Der wahre Walter,1989.0,170,182.0,7.4383003530133305,5.723213747486179,1.7150866055271514
249768,My First Adventure: Finding the Dragon,2018.0,100,128.0,7.792955954088223,6.087478499985089,1.705477454103134
15269,The Headlines Game,1989.0,98,112.0,7.142611656634794,5.4712835793846075,1.6713280772501866
541,Das Motorsportspiel,1995.0,381,399.0,7.887413009970863,6.258111462505411,1.6293015474654515
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,176.0,8.489729500226817,6.864889488221177,1.6248400120056399
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,402.0,7.54525753295777,5.923153746913728,1.6221037860440415
347909,Rogue Angels: Legacy of the Burning Suns,2026.0,86,135.0,9.433473104021017,7.835022904805395,1.5984501992156215
23421,1832: The South,2006.0,125,131.0,8.77305962867767,7.176943653196762,1.5961159754809078
188530,My Favourite Things,2015.0,375,1039.0,7.904247931315976,6.310457894807062,1.5937900365089144
434283,Habemus Papam,2025.0,2,244.0,9.358830452789853,7.765725349926477,1.593105102863376
142132,Dominion: Big Box,2011.0,106,111.0,8.261485564147062,6.669600173184014,1.5918853909630482
6688,Ninety-Nine,1974.0,554,616.0,7.8875174234250345,6.302154726261451,1.5853626971635837
7935,1844: Schweiz,2003.0,212,221.0,8.944929193026972,7.369953810922588,1.574975382104384
14188,Bughouse Chess,1960.0,362,377.0,7.931501559865473,6.367990370409499,1.5635111894559737
