game_id,title,year,n_obs,adj_mean,expected_Q3bFam,residual_Q3bFam,residual_Q4Fam,SE,lower_bound_adj,hiddenness_bucket,eligibility_flag,confidence,max_eco,taxonomy,overlap_status_prop7c,sensitivity_class_prop7c,has_broad_specialist,has_niche_drop,n_supported_ge10,spec_primary_share_ge10,tvd_volume_global,ref_penetration,hobby_well_known,is_solo_first,is_duel,is_wargame_duel,is_euro_duel,is_edition_title,final_outcome_category,final_reason,screening_evidence_final_reason
212956,Room 25 Ultimate,2016.0,873,7.595697657822653,6.544829823464328,1.0508678343583249,1.0243214437419557,0.0403918155049935,7.516529699432866,eligible,borderline,borderline,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.7949599083619702,0.0405398639220482,0.0031134901185204,0,0,0,0,0,1,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.52>=7.0; Q4 robust 1.02>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.60 resid 1.05 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.52>=7.0; Q4 robust 1.02>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.60 resid 1.05 — passes all 6 dimensions per definition | monitor: edition_title (title pattern 55/532 10.3% pool vs 501/14698 3.41% pop, per-pattern n<50 below gate, niche enriched — monitoring); borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard exclude per 6A, 61 total pool borderline)"
267304,Mega Empires: The West,2019.0,366,8.65455353802916,7.608646555247452,1.045906982781709,1.1766389309609178,0.0623820946291276,8.53228463255607,eligible,eligible,eligible,4,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8907103825136612,0.1180495318685759,0.0013077375066282,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.53>=7.0; Q4 robust 1.18>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.65 resid 1.05 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.53>=7.0; Q4 robust 1.18>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.65 resid 1.05 — passes all 6 dimensions per definition"
309917,Hidden Games Crime Scene: The Midnight Crown,2020.0,341,8.200197969827395,7.172898426753939,1.0272995430734555,0.9747281929722328,0.0646283854294272,8.073526334385717,eligible,eligible,eligible,6,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8944281524926686,0.0537323653930117,0.0012002522321108,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.07>=7.0; Q4 robust 0.97>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.20 resid 1.03 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.07>=7.0; Q4 robust 0.97>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.20 resid 1.03 — passes all 6 dimensions per definition"
250396,Terminator Genisys: Rise of the Resistance,2018.0,605,8.027841502955507,7.0275756419731845,1.0002658609823225,0.9763545438359243,0.0485202252673427,7.9327418614315155,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8727272727272727,0.1046083271374865,0.0021317912779282,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.93>=7.0; Q4 robust 0.98>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.03 resid 1.00 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.93>=7.0; Q4 robust 0.98>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.03 resid 1.00 — passes all 6 dimensions per definition"
231962,Krazy Wordz,2016.0,753,7.545649480030701,6.554999811370605,0.9906496686600956,0.9114081218567592,0.0434913619256321,7.460406410656462,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.7702523240371846,0.0761080083451831,0.0026978803903865,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 7.46>=7.0; Q4 robust 0.91>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.55 resid 0.99 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 7.46>=7.0; Q4 robust 0.91>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 7.55 resid 0.99 — passes all 6 dimensions per definition"
424975,Wilmot's Warehouse,2024.0,477,8.153891057671837,7.165508310249095,0.988382747422742,0.936879571507868,0.0546438519905886,8.046789107770284,eligible,eligible,eligible,0,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8553459119496856,0.1453630850980766,0.0017054330223426,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.05>=7.0; Q4 robust 0.94>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.15 resid 0.99 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.05>=7.0; Q4 robust 0.94>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.15 resid 0.99 — passes all 6 dimensions per definition"
373600,Cthulhu: Death May Die – Fear of the Unknown,2024.0,502,8.926113203607716,7.953060310853978,0.9730528927537384,0.8801974796337078,0.0532658224682533,8.82171219156994,eligible,eligible,eligible,2,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.8725099601593626,0.062006201482174,0.0017806727145047,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.82>=7.0; Q4 robust 0.88>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.93 resid 0.97 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.82>=7.0; Q4 robust 0.88>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.93 resid 0.97 — passes all 6 dimensions per definition"
270871,Agemonia,2024.0,650,9.13215688043694,8.15950046067205,0.97265641976489,0.9258036361652576,0.0468105579362371,9.040408186881915,eligible,borderline,borderline,0,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,7,0.8707692307692307,0.0896100334068923,0.0023216819295756,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 9.04>=7.0; Q4 robust 0.93>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 7 has_broad True, no niche_drop); adj 9.13 resid 0.97 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 9.04>=7.0; Q4 robust 0.93>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 7 has_broad True, no niche_drop); adj 9.13 resid 0.97 — passes all 6 dimensions per definition | monitor: borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard exclude per 6A, 61 total pool borderline)"
424774,Dorfromantik: Sakura,2024.0,370,8.443661175381106,7.486131277422274,0.9575298979588318,0.8712616900503694,0.0620439778051147,8.32205497888308,eligible,eligible,eligible,3,moderate_audience_selectivity,adequate_overlap,stable_under_exposure_adjustment,True,False,7,0.7702702702702703,0.0868663910363578,0.0013256517190478,0,0,0,0,0,0,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.32>=7.0; Q4 robust 0.87>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.44 resid 0.96 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.32>=7.0; Q4 robust 0.87>=0.60; taxonomy moderate_audience_selectivity; overlap adequate_overlap; sens stable_under_exposure_adjustment; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.44 resid 0.96 — passes all 6 dimensions per definition"
367396,Avalon: Big Box,2022.0,398,8.346901925748652,7.410072508912275,0.9368294168363764,0.8624916011980961,0.059821728823544,8.229651337254506,eligible,borderline,borderline,60,moderate_audience_selectivity,borderline_overlap,moderately_sensitive,True,False,7,0.5804020100502513,0.1791056429124329,0.0014223884661134,0,0,0,0,0,1,strong_hidden_gem_evidence,"strong: hidden eligible (<1700); quality robust LB 8.23>=7.0; Q4 robust 0.86>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.35 resid 0.94 — passes all 6 dimensions per definition","strong: hidden eligible (<1700); quality robust LB 8.23>=7.0; Q4 robust 0.86>=0.60; taxonomy moderate_audience_selectivity; overlap borderline_overlap; sens moderately_sensitive; cross broad (n_sup 7 has_broad True, no niche_drop); adj 8.35 resid 0.94 — passes all 6 dimensions per definition | monitor: edition_title (title pattern 55/532 10.3% pool vs 501/14698 3.41% pop, per-pattern n<50 below gate, niche enriched — monitoring); borderline eligibility (medium/borderline confidence via Game: + title without link — review queue not hard exclude per 6A, 61 total pool borderline); ecosystem max_eco 60 (Game: Catan 40 Unlock 47 etc., 2740 Game: 18.6% — borderline not hard unless link corroborates)"
