game_id,title,year,weight,min_players,max_players,families,designers,n_obs,adj_mean,resid_Q3bFam,n_version_tgt,n_contained_tgt,decision,reason,evidence,confidence
177478,IKI,2015.0,3.0613,2.0,4.0,"[""Country: Japan"", ""Crowdfunding: Kickstarter"", ""Crowdfunding: Spieleschmiede"", ""History: Edo Period"", ""Misc: LongPack Games"", ""Occupation: Merchant""]","[""Koota Yamada""]",5789,8.02813651411537,0.1678089546852792,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 164878:Edo Craftsman Story + families ['Country: Japan', 'Crowdfunding: Kickstarter']",high
202204,Munchkin Collectible Card Game,2018.0,2.6667,2.0,2.0,"[""Admin: Game System Entries"", ""Game: Munchkin"", ""Game: Munchkin Collectible Card Game"", ""Players: Two-Player Only Games""]","[""Kevin Wilson"", ""Eric M. Lang""]",168,6.269429073742653,-0.9969677711586452,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
205359,Star Wars: Destiny,2016.0,2.4455,2.0,2.0,"[""Admin: Game System Entries"", ""Category: Two-Player Fighting Games"", ""Collectible: Collectible Card Games"", ""Collectible: Collectible Dice Games"", ""Game: Star Wars Destiny"", ""Movies: Star Wars"", ""Players: Two-Player Only Games""]","[""Corey Konieczka"", ""Lukas Litzsinger""]",5287,7.613596774006153,0.3647152133537474,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
221107,Pandemic Legacy: Season 2,2017.0,3.2457,2.0,4.0,"[""Components: Map (Global Scale)"", ""Game: Pandemic"", ""Mechanism: Campaign Games"", ""Mechanism: Legacy"", ""Medical: Diseases"", ""Misc: Limited Replayability"", ""Misc: Made by Panda"", ""Occupation: Medic / Doctor / Nurses"", ""Occupation: Researcher / Scientist"", ""Theme: Post-Apocalyptic"", ""Versions & Editions: Legacy Versions of Non-Legacy Games"", ""Versions & Editions: Sequels""]","[""Matt Leacock"", ""Rob Daviau""]",16750,8.32533214845262,-0.0184598987858848,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 30549:Pandemic + families ['Components: Map (Global Scale)', 'Game: Pandemic']",high
233371,Clank! In! Space!: A Deck-Building Adventure,2017.0,2.5719,2.0,4.0,"[""Digital Implementations: Dire Wolf Game Room"", ""Game: Clank!"", ""Players: Games with expansions that add solo play""]","[""Evan Lorentz"", ""Darrell Hardy"", ""Paul Dennen"", ""Andy Clautice""]",14742,8.105798384097197,0.2569538417449202,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 201808:Clank!: A Deck-Building Adventure + families ['Digital Implementations: Dire Wolf Game Room', 'Game: Clank!']",high
295564,Unmatched Game System,2019.0,1.9333,2.0,4.0,"[""Admin: Game System Entries"", ""Category: Two-Player Fighting Games"", ""Components: Miniatures"", ""Components: Multi-Use Cards"", ""Digital Implementations: Steam"", ""Digital Implementations: TableTop Simulator Mod (TTS)"", ""Game: Unmatched""]","[""Justin D. Jacobson"", ""Rob Daviau""]",2193,8.525293184273332,1.2221853666573512,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
295574,Dice Masters,2014.0,2.7857,2.0,2.0,"[""Admin: Game System Entries"", ""Components: Coloured Dice"", ""Components: Dice with Icons"", ""Components: Polyhedral (not D6) dice"", ""Digital Implementations: VASSAL"", ""Game: Dice Masters"", ""Players: Two-Player Only Games""]","[""Eric M. Lang"", ""Mike Elliott""]",233,8.088119173400067,1.0553450431312186,0,0,hard_exclude,game_system_container,families Admin: Game System Entries; game_links contained_in target 0.0>0 via [],high
354570,Undaunted: Stalingrad,2022.0,2.6949,2.0,2.0,"[""Cities: Volgograd (Russia)"", ""Country: Germany"", ""Country: Russia"", ""Country: Soviet Union"", ""History: World War II (Eastern Front)"", ""Mechanism: Campaign Games"", ""Players: Two-Player Only Games"", ""Players: Wargames with Rules Supporting Only Two Players"", ""Series: Undaunted (Osprey Games)"", ""War Level of Command: Tactical""]","[""David Thompson (I)"", ""Trevor Benjamin""]",1475,8.866696976627043,0.4368017790041207,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 268864:Undaunted: Normandy + families ['Cities: Volgograd (Russia)', 'Country: Germany']",high
413246,Bomb Busters,2024.0,2.0,2.0,5.0,"[""Digital Implementations: TableTop Simulator Mod (TTS)"", ""Mechanism: Deduction \u2013 Blind Man's Bluff""]","[""Hisashi Hayashi""]",1645,8.357051892686865,0.4161233797925607,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 323609:Bomb Squad + families ['Digital Implementations: TableTop Simulator Mod (TTS)', ""Mechanism: Deduction – Blind Man's Bluff""]",high
286751,Zombicide: 2nd Edition,2021.0,2.377,1.0,6.0,"[""Category: Dungeon Crawler"", ""Components: Miniatures"", ""Creatures: Zombies"", ""Digital Implementations: Board Game Arena"", ""Game: Zombicide""]","[""Jean-Baptiste Lullien"", ""Nicolas Raoult"", ""Rapha\u00ebl Guiton""]",3873,8.025870288471431,0.1499926804241127,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 113924:Zombicide + families ['Category: Dungeon Crawler', 'Components: Miniatures']",high
41,Can't Stop,1980.0,1.1422,2.0,4.0,"[""Containers: Triangular Boxes"", ""Digital Implementations: Apple App Store"", ""Digital Implementations: Board Game Arena"", ""Digital Implementations: BrettspielWelt"", ""Misc: Dice Tower Hall of Fame"", ""Players: Games with expansions that change player count"", ""Series: 31 Minutos (Fractal Juegos)"", ""Series: L.BOARD (Playte)"", ""Sports: Mountain Climbing""]","[""Sid Sackson""]",19425,7.287707384886672,0.7427670962240134,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 43144:The Great Races + families ['Containers: Triangular Boxes', 'Digital Implementations: Apple App Store']",high
317,The Mob,1993.0,1.8462,3.0,6.0,"[""Historical Figures: Al Capone"", ""History: Prohibition in the USA"", ""Interwar period (Nov. 1918 - Aug. 1939)""]","[""Anthony Watts"", ""Mark Caines""]",225,6.813343009950772,0.6249012624948831,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 32208:Mafioso + families ['Historical Figures: Al Capone', 'History: Prohibition in the USA']",high
2484,Explore Europe,1954.0,1.3659,2.0,6.0,"[""Continents: Europe"", ""Series: Journey Through (Ravensburger)""]","[""O. Fairgagnetr"", ""Johann Wilhelm St\u00fcndt"", ""Hervert Vladimir Fuka"", ""Francesco Ricciardi""]",425,5.301107847166443,-0.2409788394163294,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 6787:Deutschlandreise + families ['Continents: Europe', 'Series: Journey Through (Ravensburger)']",high
2492,Doctor Faust,1990.0,1.6,2.0,2.0,"[""Containers: Tubes"", ""Creatures: Demons"", ""Players: Two-Player Only Games"", ""Theme: Mad Science / Mad Scientist""]","[""Reinhold Wittig""]",123,5.68150563245456,-0.2319350211536681,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 17042:Rufus + families ['Containers: Tubes', 'Creatures: Demons']",high
2541,Cosmic Cows,2001.0,1.058,2.0,2.0,"[""Animals: Cattle / Cows"", ""Players: Two-Player Only Games"", ""Series: Kniffel (Schmidt Spiele)""]","[""Maureen Hiron""]",656,6.032690744544063,-0.0046174779154304,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 2730:Quadwrangle + families ['Animals: Cattle / Cows', 'Players: Two-Player Only Games']",high
2569,Pick Picknic,2001.0,1.1956,2.0,6.0,"[""Animals: Chickens / Roosters"", ""Animals: Ducks"", ""Animals: Foxes"", ""Animals: Turkeys"", ""Series: The Chicken Family of Zoch"", ""Theme: Food / Cooking""]","[""Stefan Dorra""]",2788,6.884848507633793,0.4837847459024971,0,0,hard_exclude,reimplementation_remake,"is_reimplementation True via game_links reimplements 841:Razzia + families ['Animals: Chickens / Roosters', 'Animals: Ducks']",high
