game_id,title,n_obs,ref_penetration,hobby_well_known,spec_ge10,spec_ge20,tvd_global,overlap_status,max_weight,n_supported_ge10,has_broad,has_niche_drop,broad_decision,broad_reason
2470,The Extraordinary Adventures of Baron Munchausen,379,0.001343565931467389,False,0.6965699208443272,0.4828496042216358,0.098880594342443,borderline_overlap,1987.7283604623285,7,True,False,broad,passes all broad checks
62814,Tumblin-Dice Medium,215,0.0007667282915573899,False,,,0.2044825819534225,borderline_overlap,1763.5330297069806,1,True,False,broad,passes all broad checks
275972,Star Trek: Alliance – Dominion War Campaign,193,0.0006843229144273902,False,0.7772020725388601,0.6062176165803109,0.0898179361812925,borderline_overlap,1270.5803346954783,6,True,False,broad,passes all broad checks
244258,The Red Dragon Inn 7: The Tavern Crew,310,0.0010820184301417372,False,0.667741935483871,0.3612903225806451,0.2296324705992541,adequate_overlap,1626.46208679483,6,True,False,broad,passes all broad checks
340216,Heredity: The Book of Swan,176,0.0006269974346847816,False,0.8352272727272727,0.6704545454545454,0.0789818079822536,borderline_overlap,1392.845769466967,6,True,False,broad,passes all broad checks
373835,Unlock! Kids: Stories from the Past,252,0.0009028763059460854,False,,,0.1736701407678733,borderline_overlap,1567.4923191031523,2,True,False,broad,passes all broad checks
319604,Ricochet: A la poursuite du Comte courant,223,0.0007918081889447812,False,0.8789237668161435,0.7219730941704036,0.0930779148061687,borderline_overlap,1851.9592978991896,5,True,False,broad,passes all broad checks
252432,Zoo Break,178,0.0006269974346847816,False,0.848314606741573,0.702247191011236,0.1325724695938719,borderline_overlap,1146.1448768592034,5,True,False,broad,passes all broad checks
153498,Kamisado Max,155,0.0005481749000386947,False,,,0.1477868842394555,adequate_overlap,1097.0616733875977,2,True,False,broad,passes all broad checks
41090,Magnate,210,0.0007452312366539117,False,0.8523809523809524,0.7238095238095238,0.1854349629058035,borderline_overlap,1129.5229354192684,4,True,False,broad,passes all broad checks
377969,Marvel United: Multiverse,405,0.001433136993565215,False,0.8567901234567902,0.6790123456790124,0.0526073085305435,borderline_overlap,1740.6976292338688,7,True,False,broad,passes all broad checks
267304,Mega Empires: The West,366,0.0013077375066282587,False,0.8907103825136612,0.7841530054644809,0.1180495318685759,borderline_overlap,898.1131987548805,7,True,False,broad,passes all broad checks
331259,Sleeping Gods: Kickstarter Edition,315,0.0011285953824326067,False,0.8761904761904762,0.7619047619047619,0.0998606169583495,borderline_overlap,910.5400949567614,7,True,False,broad,passes all broad checks
309917,Hidden Games Crime Scene: The Midnight Crown,341,0.0012002522321108674,False,0.8944281524926686,0.7976539589442815,0.0537323653930117,borderline_overlap,1509.0157929786426,7,True,False,broad,passes all broad checks
250396,Terminator Genisys: Rise of the Resistance,605,0.0021317912779282573,False,0.8727272727272727,0.7123966942148761,0.1046083271374865,borderline_overlap,2091.149831890855,7,True,False,broad,passes all broad checks
231962,Krazy Wordz,753,0.002697880390386517,False,0.7702523240371846,0.5511288180610889,0.0761080083451831,borderline_overlap,2246.276972739872,7,True,False,broad,passes all broad checks
424975,Wilmot's Warehouse,477,0.0017054330223426058,False,0.8553459119496856,0.6834381551362684,0.1453630850980766,borderline_overlap,2669.8062364636257,7,True,False,broad,passes all broad checks
373600,Cthulhu: Death May Die – Fear of the Unknown,502,0.0017806727145047794,False,0.8725099601593626,0.6952191235059761,0.062006201482174,borderline_overlap,1340.5583873303551,7,True,False,broad,passes all broad checks
270871,Agemonia,650,0.002321681929575648,False,0.8707692307692307,0.6815384615384615,0.0896100334068923,adequate_overlap,1393.3229791164476,7,True,False,broad,passes all broad checks
424774,Dorfromantik: Sakura,370,0.0013256517190478238,False,0.7702702702702703,0.6405405405405405,0.0868663910363578,adequate_overlap,1574.8089858925207,7,True,False,broad,passes all broad checks
338697,CATAN: 3D Edition,341,0.0012145836020465196,False,0.7302052785923754,0.5513196480938416,0.042362822177214,borderline_overlap,1784.645092223137,7,True,False,broad,passes all broad checks
257145,Teenage Mutant Ninja Turtles Adventures: City Fall,220,0.0007774768190091291,False,0.8363636363636363,0.65,0.1318810544102138,adequate_overlap,920.0997809141822,6,True,False,broad,passes all broad checks
304847,Hidden Games Crime Scene: The New Haven Case,664,0.0023503446694469526,False,0.9006024096385542,0.7575301204819277,0.064706581941076,borderline_overlap,1179.184895168248,7,True,False,broad,passes all broad checks
195372,Krazy Wordz: Nicht 100% jugendfrei,1080,0.003865887040142167,False,0.7944444444444444,0.5592592592592592,0.0941727862705188,borderline_overlap,2810.744884408948,7,True,False,broad,passes all broad checks
224678,Baseball Highlights: 2045 – Spring Training,176,0.0006269974346847816,False,,,0.1312454647450191,adequate_overlap,678.5584089933574,2,True,False,broad,passes all broad checks
187988,Pyramid Arcade,813,0.0028555254596786908,False,0.7884378843788438,0.6100861008610086,0.110017637303976,borderline_overlap,1612.1130616496007,7,True,False,broad,passes all broad checks
406174,Kinfire Delve: Callous' Lab,284,0.0009960302105278243,False,0.8943661971830986,0.7007042253521126,0.036460872568845,borderline_overlap,1397.719308904212,7,True,False,broad,passes all broad checks
43262,Neuroshima Hex! Duel,838,0.0029916734740673863,False,,,0.0599157896120235,adequate_overlap,951.8722260784108,4,True,False,broad,passes all broad checks
343844,Bullet★,993,0.003547014059073907,False,0.8328298086606244,0.6676737160120846,0.0258957343022753,borderline_overlap,2037.82428253154,7,True,False,broad,passes all broad checks
184424,Mega Civilization,1035,0.0037082419708499934,False,0.8956521739130435,0.7855072463768116,0.1358835481369974,borderline_overlap,785.7829418879904,7,True,False,broad,passes all broad checks
363625,Fateforge: Chronicles of Kaan,405,0.001429554151081302,False,0.8716049382716049,0.7135802469135802,0.0375504083870419,borderline_overlap,1648.7836587750962,7,True,False,broad,passes all broad checks
296345,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,1404,0.0050159794774782525,True,0.7735042735042735,0.5555555555555556,0.1476541701833296,borderline_overlap,1998.0067292550573,7,True,False,not_hidden_hobby_well_known,ref_penetration 0.0050 >0.5% despite n_obs 1404 — known to hobby core
285157,Legendary: A James Bond Deck Building Game,674,0.0023897559367699957,False,0.857566765578635,0.7181008902077152,0.0365447198090735,borderline_overlap,1758.2537992590046,7,True,False,broad,passes all broad checks
12166,Funkenschlag,897,0.0032138097080699943,False,0.8896321070234113,0.7837235228539576,0.1618961828452843,borderline_overlap,512.8554173600846,7,True,False,broad,passes all broad checks
410209,Hitster: Summer Party,452,0.0016122791177608667,False,0.7323008849557522,0.4800884955752212,0.0478814930203817,borderline_overlap,1977.700024085424,6,True,False,broad,passes all broad checks
392513,Mindbug: Beyond Eternity,510,0.001820083981827823,False,,,0.0539222416082094,adequate_overlap,1493.2950818373815,4,True,False,broad,passes all broad checks
256874,Legendary Encounters: The X-Files Deck Building Game,815,0.002909268096937386,False,0.8993865030674847,0.7803680981595092,0.0486543610945268,borderline_overlap,1178.7256204665669,7,True,False,broad,passes all broad checks
404538,Kinfire Delve: Scorn's Stockade,408,0.001443885521016954,False,0.8995098039215687,0.7254901960784313,0.0687107918821706,borderline_overlap,1538.448032141052,7,True,False,broad,passes all broad checks
157026,Ascension: Realms Unraveled,1154,0.004120268856499993,False,,,0.0358734311330712,adequate_overlap,1214.6957790948186,4,True,False,broad,passes all broad checks
4385,A Gamut of Games,434,0.001529873740630867,False,,,0.2081692178981229,adequate_overlap,638.8566649613615,4,False,False,broad,passes all broad checks
1803,Zopp,158,0.0005660891124582599,False,,,0.3449889110673465,borderline_overlap,1553.773959842081,1,False,False,broad,passes all broad checks
341489,Carrooka,195,0.0006914885993952162,False,,,0.1890979665688071,borderline_overlap,2045.099562917252,3,False,False,broad,passes all broad checks
541,Das Motorsportspiel,381,0.001347148773951302,False,,,0.2947712958641837,adequate_overlap,1172.946178393212,2,False,False,broad,passes all broad checks
6688,Ninety-Nine,554,0.0019741462086360836,False,,,0.3553851090292348,adequate_overlap,621.7226137437151,2,False,False,broad,passes all broad checks
156372,Heart of Crown: Fairy Garden,304,0.0010784355876578243,False,,,0.1055277613957368,adequate_overlap,915.3242185094732,4,False,False,broad,passes all broad checks
14188,Bughouse Chess,362,0.0012826576092408674,False,,,0.1486814769810468,adequate_overlap,537.9346498836067,4,False,False,broad,passes all broad checks
2981,Breaking Away,460,0.0016409418576321712,False,,,0.3544825819534225,adequate_overlap,721.5552934070404,2,False,False,broad,passes all broad checks
161880,The Quiet Year,406,0.001443885521016954,False,,,0.0612432022239084,borderline_overlap,2526.619538597028,4,False,False,broad,passes all broad checks
165748,Psycho Raiders,197,0.0007022371268469553,False,,,0.0616762892235735,adequate_overlap,1053.3618878210364,4,False,False,broad,passes all broad checks
207951,Tintas,312,0.0010927669575934763,False,,,0.2679441204149609,adequate_overlap,1248.8239469070108,2,False,False,broad,passes all broad checks
141067,History Maker Baseball,207,0.0006556601745560858,False,,,0.1656457030882611,borderline_overlap,1746.0607854524626,4,False,False,broad,passes all broad checks
172844,Charms,254,0.0009100419909139115,False,,,0.4548762827408241,adequate_overlap,375.3299390001537,2,False,False,broad,passes all broad checks
5217,Eleusis,216,0.000770311134041303,False,,,0.2896677671386077,borderline_overlap,449.4515509556878,2,False,False,broad,passes all broad checks
237009,Urbino,207,0.0007201513392665205,False,,,0.2421637413737123,adequate_overlap,1062.7197821628915,2,False,False,broad,passes all broad checks
2251,Strat-O-Matic Baseball,1071,0.0036365851211717327,False,,,0.0758630058240967,adequate_overlap,1020.2893286978916,4,False,False,broad,passes all broad checks
7290,Dynasty League Baseball Powered by Pursue the Pennant,222,0.0007344827092021726,False,,,0.0509039136720587,adequate_overlap,1201.4741919779726,4,False,False,broad,passes all broad checks
1278,Dutch InterCity,209,0.0007488140791378248,False,,,0.3987409551591641,borderline_overlap,896.7353299172913,2,False,False,broad,passes all broad checks
5243,Montage,209,0.0007452312366539117,False,,,0.4473116446606396,borderline_overlap,466.9799059378618,2,False,False,broad,passes all broad checks
252657,luz,228,0.0008168880863321725,False,,,0.4290439854621944,borderline_overlap,1013.3058241293468,2,False,False,broad,passes all broad checks
19056,Square on Sale,178,0.0006377459621365206,False,,,0.3853814583579169,adequate_overlap,600.854215222775,2,False,False,broad,passes all broad checks
165595,JamSumo,350,0.00125041202688565,False,,,0.3959111533819939,borderline_overlap,1811.779053572654,1,False,False,broad,passes all broad checks
223952,Boast or Nothing,364,0.0012898232942086935,False,,,0.3847023621732027,adequate_overlap,1560.1072217235053,2,False,False,broad,passes all broad checks
4079,What's My Word?,375,0.001336400246499563,False,,,0.2524825819534225,borderline_overlap,813.4320869448907,4,False,False,broad,passes all broad checks
194923,Techno Bowl: Arcade Football Unplugged,261,0.0009172076758817376,False,,,0.0524439174501708,adequate_overlap,1044.741061228564,4,False,False,broad,passes all broad checks
398162,MicroMacro: Crime City – Showdown,452,0.0016122791177608667,False,0.9314159292035398,0.7876106194690266,0.1243940863782012,borderline_overlap,3191.4710132561654,3,False,False,niche_specialist,specialist 0.93 + niche_drop False + not broad
12608,Chess960,158,0.0005517577425226077,False,,,0.1459300981043225,adequate_overlap,513.1601543488134,1,False,False,broad,passes all broad checks
135508,The Mushroom Eaters,183,0.0006556601745560858,False,,,0.2328978824998706,adequate_overlap,668.4716527473076,2,False,False,broad,passes all broad checks
261321,Ascension: Deliverance,219,0.0007810596614930422,False,,,0.0681889270737462,adequate_overlap,1413.3477047842937,4,False,False,broad,passes all broad checks
199723,"UltraQuest: Gold, Ruhm! und Ehre!",533,0.0019024893589578227,False,,,0.1084474326395408,borderline_overlap,1090.4415854063784,4,False,False,broad,passes all broad checks
100169,Hero of Weehawken: The Aaron Burr Conspiracy 1805-1807,165,0.0005875861673617382,False,,,0.1438765213473619,adequate_overlap,1533.000899521697,2,False,False,broad,passes all broad checks
90942,Mixtour,159,0.0005445920575547817,False,,,0.2274074934499671,adequate_overlap,815.5286252756664,2,False,False,broad,passes all broad checks
248878,FlickFleet,214,0.0007523969216217378,False,,,0.0818642538812273,adequate_overlap,1654.7074511350477,4,False,False,broad,passes all broad checks
324711,Schadenfreude,821,0.0029343479943247774,False,,,0.3060660167889889,borderline_overlap,1643.2288477994923,4,False,False,broad,passes all broad checks
59335,Wherewolf,164,0.0005875861673617382,False,0.6524390243902439,0.3536585365853658,0.1394198570709677,borderline_overlap,1959.4772545827427,6,False,False,broad,passes all broad checks
249552,Ascension: Delirium,280,0.0010031958954956504,False,,,0.0998606169583495,adequate_overlap,1326.002466783557,4,False,False,broad,passes all broad checks
