threshold,note,games_pass_Q3bFam,share_pass_Q3bFam,games_pass_Q4Fam,share_pass_Q4Fam,overlap_adj_ge_7.5,overlap_adj_ge_7.0,robust_both_ge_thr,median_n,median_se,median_adj
0.5,approx +1 SD (task),2175,0.14797931691386584,2096,0.14260443597768405,1062,1677,1896.0,270.0,0.07263042973381881,7.4817455735814695
0.75,"approx p90 (task, p90 0.61)",911,0.061981221934957136,865,0.05885154442781331,532,774,775.0,235.0,0.07785142470706571,7.64455187342677
1.0,"approx p95 (task, actual p95 0.80)",330,0.022452034290379643,315,0.02143148727718057,211,297,276.0,204.0,0.08356427256214152,7.749148162773512
1.19,Step 9 top 1% cutoff (task),145,0.009865287794257722,135,0.009184923118791672,98,138,116.0,193.0,0.08590567237136365,7.884625607694253
0.6120677636125564,data-driven p90 Q3bFam,1470,0.10001360729350932,1394,0.09484283575996734,780,1186,,253.5,0.07495699156150087,7.552298662749572
0.8041783052731921,data-driven p95 Q3bFam,735,0.05000680364675466,710,0.048305891958089535,450,641,,223.0,0.0799186362394187,7.683046583267463
1.1781237451453945,data-driven p99 Q3bFam,147,0.010001360729350933,140,0.009525105456524697,100,140,,193.0,0.08590567237136365,7.884625607694253
