game_id,title,year,n_obs,adj_mean,expected_Q3bFam,expected_Q4Fam,resid_Q3bFam,resid_Q4Fam,delta_Q4Fam_minus_Q3bFam,vol_band
103,Titan,1980.0,3870,7.269785719785126,7.536825200990171,6.982253169242345,-0.2670394812050443,0.2875325505427817,0.554572031747826,2.5k-5k
731,Escape from New York,1981.0,101,5.70391401862137,5.599571707261791,5.0494338804218,0.10434231135957894,0.6544801381995704,0.5501378268399915,100-199
804,Thunder Road,1986.0,843,6.824106283673117,6.017622938095959,5.535098366954617,0.8064833455771572,1.2890079167184991,0.48252457114134195,500-999
2363,Orient Express,1985.0,714,6.886248158909303,6.418861538876179,5.943560863074659,0.4673866200331238,0.9426872958346442,0.47530067580152036,500-999
345435,Fireball Island: Race to Adventure,2021.0,172,5.512160681445882,6.570564987482536,6.099084727223236,-1.0584043060366541,-0.5869240457773541,0.4714802602593,100-199
230933,Merlin,2017.0,3703,7.5457048607570805,7.818868948243756,7.35481364440372,-0.2731640874866752,0.1908912163533607,0.4640553038400359,2.5k-5k
149097,Spurs: A Tale in the Old West,2014.0,322,7.131807314445439,7.072861102652784,6.620282914653785,0.058946211792655134,0.5115243997916537,0.4525781879989985,200-499
308970,A Touch of Evil: 10 Year Anniversary Edition,2020.0,222,8.20161764201502,7.185838032528212,6.739993812812706,1.015779609486808,1.4616238292023134,0.4458442197155055,200-499
4023,Frag Deadlands,2001.0,247,5.533670591860843,6.352708986571743,5.911844300769314,-0.8190383947109003,-0.3781737089084709,0.44086468580242943,200-499
2916,File 13,1983.0,119,5.438260566504455,5.279590913244979,4.84392546353337,0.15866965325947646,0.594335102971085,0.4356654497116086,100-199
6982,Mission Command Air,2003.0,259,5.881799576848848,6.388435238528883,5.95463307514564,-0.5066356616800354,-0.07283349829679242,0.43380216338324296,200-499
215482,Road Hog: Rule the Road,2017.0,242,6.489907692453607,6.696407601699605,6.262750745411987,-0.2064999092459976,0.22715694704162015,0.43365685628761774,200-499
230191,The Island of El Dorado,2018.0,1512,6.5179638127093105,7.014535003607834,6.58142348643603,-0.496571190898524,-0.06345967372671968,0.4331115171718043,1k-2.5k
347883,Dandelions,2022.0,1040,7.111540392897131,7.286284782921419,6.856612989098307,-0.174744390024288,0.25492740379882317,0.42967179382311116,1k-2.5k
355997,Thunder Road: Vendetta – Maximum Chrome,2023.0,1069,8.909782794046846,7.888415469997746,7.46032083643038,1.0213673240491001,1.4494619576164656,0.42809463356736543,1k-2.5k
35815,A Touch of Evil: The Supernatural Game,2008.0,4515,7.106384983998864,7.116963470001933,6.68898681687978,-0.010578486003068654,0.4173981671190843,0.42797665312215294,2.5k-5k
95103,Fortune and Glory: The Cliffhanger Game,2011.0,3998,7.264686910860383,7.41333453699346,6.98566569111412,-0.14864762613307736,0.27902121974626315,0.4276688458793405,2.5k-5k
279643,The Island of El Dorado: Legend Edition,2020.0,124,7.11386322885669,7.025823230130037,6.599718904218532,0.08803999872665358,0.5141443246381581,0.4261043259115045,100-199
29736,Little Italy,2007.0,253,5.94859814985124,6.147976221961548,5.7221394186629055,-0.19937807211030734,0.22645873118833482,0.42583680329864215,200-499
260239,Dicium,2018.0,191,6.836937010722593,6.882778519479842,6.458538336829191,-0.045841508757249017,0.3783986738934022,0.4242401826506512,100-199
