band,n_games,rmse_adj,rmse_shrunk,mae_adj,mae_shrunk,mean_n
100-199,3469,0.15519258883942785,0.15451774105840899,0.12197572858475815,0.12151836885043518,141.10319976938598
1000+,2192,0.03653212406297013,0.03654244898981229,0.02736290641943189,0.02737644055168144,4236.12454379562
200-499,3127,0.0997982523812919,0.09974874991166274,0.07806773832367837,0.0780430257953187,315.64342820594817
50-99,4593,0.22401589812065567,0.2222774185992594,0.17685454458992045,0.17552926489704349,71.0143696930111
500-999,1571,0.06381572147515722,0.06364450214238207,0.04940543636973066,0.04929591377455552,709.0681094844049
n_even<50,1560,0.519130905411228,0.47040592641249995,0.33329557654181385,0.31180683599905495,33.91346153846154
