n,se_frequentist,posterior_sd,lower_95_frequentist,lower_95_posterior,width_95_frequentist,width_95_posterior
50,0.16886701416547426,0.1657300937288147,-0.3309793477643295,-0.3248309837084768,0.661958695528659,0.6496619674169536
100,0.11940701083513164,0.11828234613683403,-0.234037741236858,-0.2318333984281947,0.468075482473716,0.4636667968563894
120,0.10900318893110897,0.10814561400498006,-0.21364625030497358,-0.21196540344976092,0.42729250060994717,0.42393080689952184
293,0.06975832057135248,0.0695319741765899,-0.13672630831985086,-0.13628266938611622,0.2734526166397017,0.27256533877223244
500,0.05340043864348165,0.053298697825008075,-0.10466485974122404,-0.10446544773701583,0.20932971948244808,0.20893089547403165
1000,0.03775981228314204,0.03772379002296928,-0.0740092320749584,-0.07393862844501979,0.1480184641499168,0.14787725689003958
2795,0.022585979025404268,0.022578262932399604,-0.044268518889792365,-0.04425339534750322,0.08853703777958473,0.08850679069500644
5000,0.016886701416547426,0.01688347579572517,-0.033097934776432955,-0.03309161255962133,0.06619586955286591,0.06618322511924266
12000,0.010900318893110897,0.010899451194221687,-0.021364625030497356,-0.021362924340674504,0.04272925006099471,0.04272584868134901
