game_id,title,year,n_obs,users_rated,raw_mean,adj_mean,se_adj,expected_quality_pref,underratedness_pref,underratedness_cv_pref,underratedness_wls_pref,underratedness_ols_Q3,underratedness_wls_Q3
435330,Pondscape,2025.0,1,874.0,10.0,11.553486725686795,1.1940701083513163,7.616149319020556,3.9373374066662397,3.951818154239499,4.065829621677409,4.588369632021412,5.0748402611320005
428589,Thief's Market,2025.0,3,137.0,10.0,10.461312287206184,0.6893966984879182,7.584598852522118,2.8767134346840653,2.8883378353272526,2.972843973754781,3.3629352402597306,3.7537554500445305
255249,Monikers: More Monikers,2018.0,452,521.0,8.260490420353984,8.575100419740723,0.056164333461957316,6.303152743828454,2.271947675912269,2.2575439447253665,2.329177665517884,2.1775906449677116,2.2431455998983125
434131,Tolleno,2025.0,1,140.0,9.0,9.843971781337288,1.1940701083513163,7.625595612332631,2.2183761690046566,2.247243350280513,2.286147061039255,2.8678434869004894,3.2967142510309024
140135,Small World Designer Edition,2015.0,246,266.0,8.899735365853658,9.099995391367383,0.07613112948498164,6.897885999252242,2.2021093921151405,2.187653719951772,2.1730016316275034,2.203701182338138,2.23055235145556
404462,Monikers: Monikers-er,2023.0,61,131.0,8.745901639344263,9.111916309819058,0.15288501109443758,6.914103586837239,2.197812722981819,2.216289522061622,2.1242220066788313,2.272989077159208,2.32939963543999
436804,Opération Zèbre,2025.0,1,137.0,9.0,9.310399753370493,1.1940701083513163,7.148794032149995,2.161605721220498,2.1844180572862903,2.1379563751424726,2.8148260983231816,3.160749548936356
436591,Brightcast,2025.0,2,141.0,9.5,9.374230214348394,0.8443350708273712,7.222175445693299,2.152054768655095,2.164666275821375,2.1671774599046394,2.70254679829441,3.0434203366956556
436038,Hercules and the 12 Labors,2025.0,2,546.0,10.0,9.90660100964547,0.8443350708273712,7.781959470376499,2.1246415392689713,2.150021807206401,2.235846081163718,2.67115485459237,3.1093080583057953
127333,Schnipp & Weg,2012.0,81,100.0,7.739506172839506,8.271404629052356,0.13267445648347959,6.147759174124355,2.123645454928001,2.1423126664363057,2.0842585471014416,2.2511801918924395,2.246263469165335
203560,Fall of Magic,2015.0,86,100.0,8.12906976744186,8.319539101911568,0.12875989118285264,6.2430253570582135,2.0765137448533544,2.0672748664164704,1.9398028300031296,2.177642706448532,2.0994517610509726
179448,Monikers: Shmonikers,2015.0,319,326.0,8.004576802507836,8.298090461297656,0.06685509112221476,6.24312862507089,2.0549618362267665,2.050073417487841,1.8786191919829935,2.0332221050117747,1.8707341218839106
428284,Here Lies,2025.0,2,240.0,10.0,9.61590816742283,0.8443350708273712,7.583408774181967,2.0324993932408635,2.039610546447104,2.088289331673412,2.580014479204559,2.9695644433856216
195709,Monikers: Something Something,2016.0,246,255.0,8.03760162601626,8.326053699826828,0.07613112948498164,6.297531079173913,2.0285226206529146,2.062406682848211,1.8620260094236851,2.0447129372108144,1.904146442867785
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.042225806451613,8.355972846068445,0.05537367535070639,6.361578833574747,1.9943940124936983,1.985730533561691,1.8379657682226824,1.9090268004847113,1.75440541822827
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.472932330827069,8.453626629540011,0.10353900952621725,6.461751968863577,1.9918746606764337,2.009139759910168,1.8771868589663647,1.9735112585051624,1.9264972137010696
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.205110000000001,8.484233854417955,0.05340043864348165,6.548901971854917,1.9353318825630375,1.961280749037103,1.9930853034769314,1.989681694752913,2.045524503673068
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,7.669094116836588,8.027215708183324,0.01982149204496052,6.097982564664834,1.9292331435184895,1.927369978195248,1.6876050699290381,2.0085203183944307,1.679417786165093
428989,EcoLogic: Europe,2025.0,2,155.0,8.25,9.883913214113528,0.8443350708273712,7.959331613116067,1.9245816009974615,1.9222777380664358,2.1131033283863925,2.4697385025823495,2.983705441901952
283151,Monikers: Classics,2019.0,263,343.0,8.188067186311788,8.44793025351443,0.0736295171339382,6.5243785620210595,1.9235516914933708,1.959681391970852,1.7872213214028267,1.906742842710992,1.8111129523888785
