vol_band,games,mean_n,raw_mean,adj_mean
1-99,1612,65.9925558312655,6.898870015433754,7.168813406130749
100-199,4617,142.36538878059346,6.3694856434161755,6.636731786509956
200-499,4325,316.1745664739884,6.483189526987854,6.771090119154959
500-999,2252,704.2357904085258,6.675192021409246,6.990044945039885
1k-2.5k,1919,1569.4700364773319,6.8320930761034795,7.159735254788348
2.5k-5k,893,3496.006718924972,7.04034409929834,7.375433686624427
5k-10k,476,6933.995798319328,7.173933393319595,7.509897927038888
10k-25k,332,15648.846385542169,7.303631957580051,7.619354904446989
25k+,138,44659.18115942029,7.489364190547263,7.75669063968934
