game_id,title,year,n_obs,users_rated,raw_mean,adj_mean,se_adj,expected_quality_pref,underratedness_pref,underratedness_cv_pref,underratedness_wls_pref,underratedness_ols_Q3,underratedness_wls_Q3
255249,Monikers: More Monikers,2018.0,452,521.0,8.260490420353984,8.575100419740723,0.056164333461957316,6.303152743828454,2.271947675912269,2.2575439447253665,2.329177665517884,2.1775906449677116,2.2431455998983125
140135,Small World Designer Edition,2015.0,246,266.0,8.899735365853658,9.099995391367383,0.07613112948498164,6.897885999252242,2.2021093921151405,2.187653719951772,2.1730016316275034,2.203701182338138,2.23055235145556
179448,Monikers: Shmonikers,2015.0,319,326.0,8.004576802507836,8.298090461297656,0.06685509112221476,6.24312862507089,2.0549618362267665,2.050073417487841,1.8786191919829935,2.0332221050117747,1.8707341218839106
195709,Monikers: Something Something,2016.0,246,255.0,8.03760162601626,8.326053699826828,0.07613112948498164,6.297531079173913,2.0285226206529146,2.062406682848211,1.8620260094236851,2.0447129372108144,1.904146442867785
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.042225806451613,8.355972846068445,0.05537367535070639,6.361578833574747,1.9943940124936983,1.985730533561691,1.8379657682226824,1.9090268004847113,1.75440541822827
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.472932330827069,8.453626629540011,0.10353900952621725,6.461751968863577,1.9918746606764337,2.009139759910168,1.8771868589663647,1.9735112585051624,1.9264972137010696
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.205110000000001,8.484233854417955,0.05340043864348165,6.548901971854917,1.9353318825630375,1.961280749037103,1.9930853034769314,1.989681694752913,2.045524503673068
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,7.669094116836588,8.027215708183324,0.01982149204496052,6.097982564664834,1.9292331435184895,1.927369978195248,1.6876050699290381,2.0085203183944307,1.679417786165093
283151,Monikers: Classics,2019.0,263,343.0,8.188067186311788,8.44793025351443,0.0736295171339382,6.5243785620210595,1.9235516914933708,1.959681391970852,1.7872213214028267,1.906742842710992,1.8111129523888785
4385,A Gamut of Games,1969.0,434,445.0,7.760449447004609,8.077552795635295,0.057317199380590704,6.156662059066429,1.9208907365688663,1.91168336005577,2.179765380908762,1.8471629865065147,2.0679924639412945
230262,Time's Up! Party Edition,2004.0,553,714.0,7.574985388788428,7.9139121525426015,0.05077702602452552,6.050582991516851,1.8633291610257503,1.8736244304799436,1.8258689834621196,1.9075483937687592,1.864492909995925
33434,Funkenschlag: EnBW,2007.0,198,202.0,8.215252525252525,8.695725031634872,0.08485886749310734,6.846966035461367,1.8487589961735047,1.8445653306738183,1.7484153262815596,1.7444394118770656,1.7117317868721127
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,6.516879005524861,7.035635140397307,0.08875453217462531,5.192215799925098,1.8434193404722095,1.8485789278000926,1.9794655891293331,1.7575484094975584,1.9060083641931698
4657,Replay Baseball,1973.0,105,135.0,7.889619047619046,7.968162887011541,0.11652931058457126,6.177610682654347,1.7905522043571942,1.8162879253732935,1.9091061083462364,1.8140640590555153,1.9540205025683708
1803,Zopp,1997.0,158,160.0,7.247468354430379,7.669769068695889,0.0949951172515393,5.895684294405257,1.7740847742906318,1.7588906933330364,1.635239154467218,1.7155347968998145,1.6324726799284637
57660,Time's Up! Edición Azul,2006.0,1365,1463.0,7.36973180952381,7.682923039538827,0.03231941572362617,5.9234588003985635,1.7594642391402635,1.7621963712769704,1.5025791776747885,1.8254618961505393,1.5212748157923226
341489,Carrooka,2021.0,195,285.0,8.248666666666669,8.556558258411863,0.08550913652362549,6.810622986716158,1.7459352716957053,1.7451999094882655,1.7046306177529171,1.622593104293637,1.661096714959819
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,7.911969696969698,8.39368931438145,0.10393046275428164,6.659071326071237,1.7346179883102142,1.7565408325875822,1.7615611457305995,1.6871030354894874,1.7910836029879666
186279,Finska Mini,2011.0,468,566.0,7.431509957264955,7.81827053461861,0.05519591028409631,6.088620413538601,1.7296501210800086,1.717949053049094,1.627327171370081,1.6395937445066915,1.5311721656728183
97683,Age of Rail: South Africa,2011.0,277,605.0,7.73563176895307,8.731868234394135,0.07174471951683402,7.004558890365022,1.7273093440291127,1.7361766632918965,1.6008429145563277,1.703889867218689,1.6248110341472444
