spec,weighting,target,intercept,log_n_active,weight_c,log_playtime_c,min_players_c,log_max_players_c,is_reimpl_num,log_n_impl_c
Q0_linear,ols,adj,6.257397582562629,0.29794738080970334,,,,,,
Q0_linear,wls_n,adj,5.880087153704063,0.44147903103904945,,,,,,
Q0_flex_year,ols,adj,-4.163302049559867,0.4375401112044467,,,,,,
Q0_flex_year,wls_n,adj,-35.749889860568906,0.49102170413736884,,,,,,
Q0_flex_year,gls_eff,adj,-3.3315884490923673,0.45793592867777233,,,,,,
Q0_flex_bands,ols,adj,5.869941053299108,,,,,,,
Q0_flex_bands,wls_n,adj,5.163316016827566,,,,,,,
Q1_core,ols,adj,-7.1333493830645125,0.3228778665865346,0.5468710558143002,,,,,
Q1_core,wls_n,adj,-27.545109802184164,0.412076484925529,0.44545887859008676,,,,,
Q1_core,gls_eff,adj,-6.39190898766734,0.3411945766600967,0.5465843449663285,,,,,
Q2_structure,ols,adj,-9.868775068600097,0.3237262050283728,0.48394101423456154,0.057976676745427384,0.029345655145586708,-0.1292180661342933,0.05182796161818442,0.07827007559569488
Q2_structure,wls_n,adj,-24.48658119590745,0.43762744691179634,0.43437978608462424,0.0038642194362736738,0.054588982415852444,-0.12990382336648737,0.11528575872678622,-0.052915036584200124
Q3_categories,ols,adj,-13.988118671266605,0.3516300847789599,0.4676713791717569,0.035091546357566006,0.025788229084482528,-0.07784668148957707,0.04260620619458767,0.07820836634112803
Q3_categories,wls_n,adj,-26.075112791739915,0.4501099265105788,0.41708570561744784,0.014782428445881984,0.0463210430905866,-0.10417604071975164,0.11142684502756575,-0.06154602522151287
Q3_categories,gls_eff,adj,-13.219896804452242,0.3731920815620251,0.4668415604641655,0.03505715952289035,0.025356148263786293,-0.07674301427181407,0.03550803086393479,0.06455316053625305
Q3b_flex_volume,ols,adj,-10.47288002817639,,0.46134583685419184,0.03842625308351927,0.025154512369799376,-0.07724353499724229,0.023266849049420113,0.0364398150110794
Q3b_flex_volume,wls_n,adj,-28.228411309439974,,0.41257104919477844,0.014774621532767707,0.044109150426251076,-0.11369670074730609,0.11038196605940187,-0.023189231323722748
Q4_mechanics,ols,adj,-14.714680586833222,0.34383180549197884,0.4324802457516624,0.03864465383940954,0.037274917314319325,-0.07465376879380436,0.03603800828700801,0.08263390006919732
Q4_mechanics,wls_n,adj,-25.40804898849109,0.4517161887230027,0.40883576338957495,0.028513767031434933,0.051448039586165256,-0.11765413341254016,0.10740331887616794,-0.06587716446406985
Q0_flex_year,ols,raw,5.215555216630225,0.39014418673703355,,,,,,
Q0_flex_year,wls_n,raw,-28.833971875153967,0.5116607915042714,,,,,,
Q3_categories,ols,raw,-6.139629331859622,0.3176385866309988,0.4093341814772445,0.044333430704924875,-0.01646192156539167,-0.06879425455683152,0.06463702197549245,0.09580656403663329
Q3_categories,wls_n,raw,-23.44709371407487,0.4610296550688811,0.3536766472194379,0.023203666883229085,0.020528268571905428,-0.11154527157173805,0.1253848244532249,-0.01649188748603808
Q3b_flex_volume,ols,raw,-2.6708733890553162,,0.4046432597650355,0.048092260714265866,-0.017487739577640438,-0.06811666127071092,0.044212031220526526,0.04568278747952914
Q3b_flex_volume,wls_n,raw,-24.355011476949663,,0.3494426230547474,0.02598502530754554,0.018894385544637682,-0.1226095117078233,0.11720293622183986,0.0078070605130931
