weighting,n_quartile,n_games,mean_n,corr_resid_full_vs_even,resid_sd_full,resid_sd_even
ols,n_q1_low,4131,99.96465746792545,0.9621591882372758,0.6633319309847867,0.6937958739587475
ols,n_q2,4130,206.518401937046,0.9881962089252193,0.5865519392752934,0.5940149483123253
ols,n_q3,4130,508.64697336561744,0.9941125105888543,0.5286823479966175,0.5313643849038233
ols,n_q4_high,4131,5117.810699588477,0.9981373455499858,0.4348680242422311,0.43520512711101644
wls_n,n_q1_low,4131,99.96465746792545,0.9646025927441657,0.6873884107729036,0.7169018211520756
wls_n,n_q2,4130,206.518401937046,0.9890521287135591,0.6092302604277382,0.6166563690878004
wls_n,n_q3,4130,508.64697336561744,0.9944349004980051,0.5438586375825311,0.54649777410305
wls_n,n_q4_high,4131,5117.810699588477,0.9980610882942283,0.4260927850495258,0.4266074206576578
gls_eff,n_q1_low,4131,99.96465746792545,0.9621883694336731,0.6636179066301003,0.6940593757788911
gls_eff,n_q2,4130,206.518401937046,0.9881888015136973,0.5863785501090276,0.5938301897996978
gls_eff,n_q3,4130,508.64697336561744,0.9941111330203145,0.5286237386782725,0.5313021258423706
gls_eff,n_q4_high,4131,5117.810699588477,0.9981372277083497,0.43485482716901586,0.4351911334121289
