game_id,title,primary_type,variation,prop_adj,delta,ess,max_w,sensitivity
16,MarraCash,Economic,truncated_cap20,7.5207934606558675,-0.0083841141096989,1114.8062604476515,20.0,stable_under_exposure_adjustment
17,Button Men,Other,raw_ipw,6.595478344644889,0.0442118825095612,637.7999097861997,8.643376112209042,stable_under_exposure_adjustment
17,Button Men,Other,stabilized,6.5954783446448895,0.044211882509562,637.7999097861997,,stable_under_exposure_adjustment
17,Button Men,Other,truncated_cap20,6.595478344644889,0.0442118825095612,637.7999097861997,20.0,stable_under_exposure_adjustment
18,RoboRally,Other,raw_ipw,7.346584927412658,0.0268466442737658,18994.595818079404,7.825967747783239,stable_under_exposure_adjustment
18,RoboRally,Other,stabilized,7.346584927412659,0.0268466442737667,18994.595818079404,,stable_under_exposure_adjustment
18,RoboRally,Other,truncated_cap20,7.346584927412658,0.0268466442737658,18994.595818079404,20.0,stable_under_exposure_adjustment
19,Wacky Wacky West,Other,raw_ipw,6.604982250309183,-0.0417229345200356,1652.216266089986,7.626887128246197,stable_under_exposure_adjustment
19,Wacky Wacky West,Other,stabilized,6.604982250309184,-0.0417229345200347,1652.2162660899858,,stable_under_exposure_adjustment
19,Wacky Wacky West,Other,truncated_cap20,6.604982250309183,-0.0417229345200356,1652.216266089986,20.0,stable_under_exposure_adjustment
20,Full Metal Planète,Other,raw_ipw,7.735952702919354,0.0189580248760625,637.7894640211033,4.6627328625553215,stable_under_exposure_adjustment
20,Full Metal Planète,Other,stabilized,7.735952702919354,0.0189580248760625,637.7894640211033,,stable_under_exposure_adjustment
20,Full Metal Planète,Other,truncated_cap20,7.735952702919354,0.0189580248760625,637.7894640211033,20.0,stable_under_exposure_adjustment
22,Magic Realm,Other,raw_ipw,7.559189377928632,0.013798829896694,1925.7260882981363,3.156624605191077,stable_under_exposure_adjustment
22,Magic Realm,Other,stabilized,7.559189377928632,0.013798829896694,1925.726088298136,,stable_under_exposure_adjustment
22,Magic Realm,Other,truncated_cap20,7.559189377928632,0.013798829896694,1925.7260882981363,20.0,stable_under_exposure_adjustment
23,Divine Right,Wargame,raw_ipw,7.307140431585372,0.0130489260951405,240.27619776002396,31.656825117399563,moderately_sensitive
23,Divine Right,Wargame,stabilized,7.307140431585372,0.0130489260951405,240.2761977600239,,moderately_sensitive
23,Divine Right,Wargame,truncated_cap20,7.313571291667907,0.0194797861776754,261.2757610653308,20.0,moderately_sensitive
24,Twilight Imperium,Wargame,raw_ipw,7.028042924941665,0.1001454477795888,210.2541621433982,41.47761759548065,moderately_sensitive
24,Twilight Imperium,Wargame,stabilized,7.028042924941666,0.1001454477795897,210.2541621433982,,moderately_sensitive
24,Twilight Imperium,Wargame,truncated_cap20,7.024644022526623,0.0967465453645468,247.45637786129632,20.0,moderately_sensitive
25,Battlemist,Wargame,raw_ipw,6.025068808062319,-0.091080018959774,121.82844996936264,31.782399748199285,moderately_sensitive
25,Battlemist,Wargame,stabilized,6.025068808062319,-0.0910800189597749,121.8284499693627,,moderately_sensitive
25,Battlemist,Wargame,truncated_cap20,6.034515950777105,-0.0816328762449885,139.36758128530798,20.0,moderately_sensitive
26,Age of Renaissance,Economic,raw_ipw,7.503787211631831,0.0165206527865713,1895.5015137957007,4.713756433858776,stable_under_exposure_adjustment
