game_id,title,primary_type,n_obs,adj_mean,raw_mean,weight,year,prop_adj_raw,prop_adj_stab,prop_adj_trunc,delta_raw,delta_stab,delta_trunc,ess_raw,ess_stab,ess_trunc,max_w_raw,p95_w_raw,mean_p_raters,median_p_raters,penetration_all,n_at_risk_all,sensitivity_class,reason,share_0_4,share_5_19,share_ge20,share_ge10,spec_primary_share_ge10,spec_primary_share_ge20,share_vol_10-24,share_vol_25-49,share_vol_50-99,share_vol_100-249,share_vol_250-499,share_vol_500-999,share_vol_1000+,tvd_volume_global,tvd_volume_type,share_own,mean_delta_raters,herfindahl_volume,spec_primary_mean_other,mean_other,median_other,share_active50,n_raters_active50,penetration_active50,pen_18XX_ge20,pen_18XX_ge10,pen_Wargame_ge20,pen_Wargame_ge10,pen_Party_ge20,pen_Party_ge10,pen_Economic_ge20,pen_Economic_ge10,pen_Coop_ge20,pen_Coop_ge10,pen_Legacy_ge20,pen_Legacy_ge10,pen_type_ge20,pen_type_ge10,delta_pct_raw,delta_pct_stab,delta_pct_trunc,ess_ratio_raw,ess_ratio_stab
12,Ra,Other,27540,8.040775564758325,7.65272993355121,2.3039,1999.0,7.992540040892369,7.992540040892369,7.992540040892369,-0.0482355238659568,-0.0482355238659568,-0.0482355238659568,22590.82348396099,22590.823483960998,22590.82348396099,8.610893938264596,8.610893938264596,0.6599010876702046,0.6599010876702046,0.09585732086793687,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0376543209876543,0.0820261437908496,0.1661946259985475,0.3247276688453159,0.2344589687726942,0.1210965867828613,0.0338416848220769,0.0843872598544089,,0.5581699346405229,-0.3880456312071018,0.2119954997787597,,,,0.8803195352214961,24244.000000000004,0.20208553876418078,,,,,,,,,,,,,,,-0.5998864596764384,-0.5998864596764384,-0.5998864596764384,0.8202913392868915,0.8202913392868917
13,CATAN,Economic,119003,7.1197604937683705,6.987013294790895,2.2809,1995.0,7.166521905874992,7.166521905874992,7.166521905874992,0.0467614121066217,0.0467614121066217,0.0467614121066217,86838.89721184957,86838.89721184956,86838.89721184957,11.551215063871007,11.551215063871007,0.5727768920204576,0.5727768920204576,0.41420874202059155,287302,stable_under_exposure_adjustment,stable,0.2892195995058948,0.404796517734847,0.3059838827592582,0.5049368503315043,0.5049368503315043,0.3059838827592582,0.1961799282371032,0.2179020696957219,0.2257338050301253,0.2236834365520197,0.0927203515877751,0.035301631051318,0.0084787778459366,0.3113837574331724,0.3108815561580976,0.7015369360436291,-0.1327471989775431,0.196873065169099,21.67607539305732,21.67607539305732,10.0,0.5859180020671749,69726.00000000001,0.5812001433703708,,,,,,,0.6542746253638553,0.5692348499919477,,,,,0.6542746253638553,0.5692348499919477,0.6567834992139143,0.6567834992139143,0.6567834992139143,0.7297202357238858,0.7297202357238856
47,Chinatown,Economic,11597,7.829604436308877,7.420868296111069,2.2237,1999.0,7.844641481458783,7.844641481458782,7.844641481458783,0.0150370451499064,0.0150370451499055,0.0150370451499064,9136.441780280682,9136.441780280686,9136.441780280682,9.738522831288709,9.738522831288709,0.7778554314636699,0.7778554314636699,0.04036519063563776,287302,stable_under_exposure_adjustment,stable,0.0521686643097352,0.2287660601879796,0.719065275502285,0.8628093472449772,0.8628093472449772,0.719065275502285,0.0366474088126239,0.0752780891609899,0.147193239630939,0.297318271966888,0.2374752091058032,0.150642407519186,0.0554453738035698,0.0753457410591716,0.0698155092003,0.5236699146330948,-0.4087361401978038,0.199235627278076,61.17849443821678,61.17849443821678,40.0,0.8880745020263863,10299.000000000002,0.0858471771874401,,,,,,,0.1498364897401804,0.09478879510425252,,,,,0.1498364897401804,0.09478879510425252,0.19205370171925806,0.1920537017192467,0.19205370171925806,0.7878280400345505,0.7878280400345508
1,Die Macher,Economic,5788,8.108231746045913,7.571619117138912,4.3043,1986.0,8.090916659543826,8.090916659543826,8.090916659543826,-0.0173150865020872,-0.0173150865020872,-0.0173150865020872,5605.574856079417,5605.574856079417,5605.574856079417,4.185606890596695,4.185606890596695,0.9246731569719168,0.9246731569719168,0.020146048408991236,287302,stable_under_exposure_adjustment,stable,0.020387007601935,0.1385625431928127,0.8410504492052523,0.937629578438148,0.937629578438148,0.8410504492052523,0.0279889426399447,0.0483759502418797,0.109364201796821,0.2643400138217001,0.2729785763648928,0.1931582584657913,0.0837940566689702,0.1544134734530769,0.1587567455117539,0.4600898410504492,-0.5366126289069847,0.203808644914603,83.33949550794748,83.33949550794748,62.0,0.9236351071181756,5346.000000000001,0.044561511723862,,,,,,,0.08746900492327596,0.0514110324835877,,,,,0.08746900492327596,0.0514110324835877,-0.21354947717831538,-0.21354947717831538,-0.21354947717831538,0.968482179695822,0.968482179695822
2,Dragonmaster,Other,589,6.878955030954789,6.637527096774194,1.9643,1981.0,6.859948682877564,6.859948682877563,6.859948682877564,-0.0190063480772257,-0.0190063480772266,-0.0190063480772257,464.0942905705132,464.09429057051335,464.0942905705132,6.606886845832864,6.606886845832864,0.6926991716877502,0.6926991716877502,0.0020501075523316928,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0441426146010186,0.0933786078098472,0.1154499151103565,0.2359932088285229,0.2258064516129032,0.1714770797962648,0.1137521222410865,0.1155182356036771,,0.6740237691001698,-0.2414279341805991,0.1730221001323068,,,,0.8624787775891342,508.0,0.00423442722703365,,,,,,,,,,,,,,,-0.2762970246454256,-0.2762970246454514,-0.2762970246454256,0.787935977199513,0.7879359771995134
3,Samurai,Other,16336,7.824501675976537,7.462955563785509,2.4406,1998.0,7.782303441230404,7.782303441230403,7.782303441230404,-0.0421982347461327,-0.0421982347461336,-0.0421982347461327,13361.353819723196,13361.3538197232,13361.353819723196,8.710777875072413,8.710777875072413,0.6805410204020623,0.6805410204020623,0.056860028819848106,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0441968658178256,0.0845372184133202,0.1542605288932419,0.2951762977473066,0.2336557296767874,0.1405484818805093,0.0476248775710088,0.0592903617718978,,0.5338516160626836,-0.3615461121910008,0.196642266504771,,,,0.8712659157688543,14233.000000000004,0.11863898173694874,,,,,,,,,,,,,,,-0.5393089105686231,-0.5393089105686344,-0.5393089105686231,0.817908534508031,0.8179085345080312
4,Tal der Könige,Other,356,7.036958594810162,6.598765814606741,2.6875,1992.0,7.075691643268899,7.075691643268899,7.075691643268899,0.0387330484587371,0.0387330484587371,0.0387330484587371,333.6132380336238,333.613238033624,333.6132380336238,4.037304048927545,4.037304048927545,0.8471538497330267,0.8471538497330267,0.0012391142421563372,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0056179775280898,0.0224719101123595,0.0421348314606741,0.148876404494382,0.247191011235955,0.2949438202247191,0.2387640449438202,0.3853814583579169,,0.5308988764044944,-0.4381927802034212,0.2295795985355384,,,,0.9719101123595507,346.00000000000006,0.0028840783869166207,,,,,,,,,,,,,,,0.5504231400097085,0.5504231400097085,0.5504231400097085,0.9371158371731007,0.9371158371731011
5,Acquire,Economic,20432,7.656134118457065,7.319721833888016,2.488,1963.0,7.638324123436815,7.638324123436815,7.638324123436815,-0.0178099950202499,-0.0178099950202499,-0.0178099950202499,17321.039128083175,17321.039128083175,17321.039128083175,7.832154985730964,7.832154985730964,0.7970125125558792,0.7970125125558792,0.07111680392061315,287302,stable_under_exposure_adjustment,stable,0.0761550509005481,0.292873923257635,0.6309710258418167,0.8107380579483163,0.8107380579483163,0.6309710258418167,0.0658281127642913,0.1032693813625685,0.177564604541895,0.2965446358653093,0.2035043069694596,0.1161413469068128,0.0371476115896632,0.0405495367201771,0.0343808805219647,0.5832028191072827,-0.3364122845690379,0.1907485758669895,50.12039937353172,50.12039937353172,30.0,0.8309025058731402,16977.0,0.14151155715226432,,,,,,,0.23164552413123946,0.15692348499919478,,,,,0.23164552413123946,0.15692348499919478,-0.23262386401139964,-0.23262386401139964,-0.23262386401139964,0.8477407560729824,0.8477407560729824
7,Cathedral,Other,3582,6.726738055398506,6.516349779452819,1.7847,1979.0,6.708461747819766,6.708461747819767,6.708461747819766,-0.0182763075787404,-0.0182763075787395,-0.0182763075787404,2751.085607659767,2751.085607659767,2751.085607659767,8.73314956937577,8.73314956937577,0.6461041761693748,0.6461041761693748,0.012467716897202247,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0591848129536571,0.096035734226689,0.1621998883305416,0.2635399218313791,0.208821887213847,0.1398659966499162,0.0703517587939698,0.0235222246111556,,0.6853713009491904,-0.2103882759456911,0.1766062460699801,,,,0.8447794528196539,3026.0000000000005,0.025223182655519347,,,,,,,,,,,,,,,-0.27169643634440155,-0.27169643634438834,-0.27169643634440155,0.7680305995700075,0.7680305995700075
8,Lords of Creation,Other,210,6.390646764586606,6.0487142857142855,2.4375,1993.0,6.309103038564909,6.309103038564909,6.309103038564909,-0.0815437260216969,-0.0815437260216969,-0.0815437260216969,167.6740976279043,167.6740976279043,167.6740976279043,5.346673049292241,5.346673049292241,0.7784223528354506,0.7784223528354506,0.0007309381765528956,287302,stable_under_exposure_adjustment,stable,,,,,,,0.0523809523809523,0.0238095238095238,0.0809523809523809,0.1761904761904762,0.1904761904761904,0.238095238095238,0.238095238095238,0.2823537954922642,,0.6047619047619047,-0.3419324788723208,0.1905668934240362,,,,0.9238095238095239,194.0,0.0016170844134734807,,,,,,,,,,,,,,,-1.2759854992074775,-1.2759854992074775,-1.2759854992074775,0.7984480839424014,0.7984480839424014
