n,w,shrink_to_prior
20,0.9127959514004839,0.08720404859951614
50,0.9631925240048917,0.03680747599510825
100,0.9812512142619505,0.0187487857380495
120,0.9843270370475795,0.01567296295242049
293,0.9935210831543018,0.006478916845698235
500,0.9961931437059967,0.003806856294003347
1000,0.9980929419049422,0.0019070580950577565
2795,0.999316852728511,0.000683147271488993
5000,0.9996180055925669,0.0003819944074331394
12000,0.9998408001890644,0.0001591998109355952
