spec,weighting,target,n_games,n_features,r2_in,rmse_in,mae_in,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,beta_logn,beta_logn_fold_sd,beta_weight,beta_weight_fold_sd,corr_resid_logn,corr_cvresid_logn,spearman_resid_logn,max_abs_bandmean_resid
Q0_linear,ols,adj,14945,3,0.2417316919160133,0.7427696598593587,0.5692060822514186,0.24134190587933285,0.009452300214752435,0.7428598479135896,0.010958428581781565,0.47557268226885,0.004486290514222687,,,-9.751442021465597e-16,-3.80988886015752e-05,-0.00040823726237094934,0.0529166162390714
Q0_linear,wls_n,adj,14945,3,0.2321727205950902,0.7474367923041821,0.5728673773037972,0.23155153015406088,0.01397110382188486,0.7476087833062981,0.011233702451902246,0.4449089458989969,0.007043718211770902,,,0.016672288888803316,0.016799614828096453,0.017183493641722385,0.05687097278895668
Q0_flex_year,ols,adj,14945,5,0.3098999506798097,0.7085960587011788,0.5354098332107201,0.3089232070674088,0.00965987676520013,0.7089890490337312,0.010142486282265118,0.5176311861282434,0.004129814156664883,,,3.381122788074394e-14,-2.2413671708125313e-05,0.004254160733291421,0.033366033326047095
Q0_flex_year,wls_n,adj,14945,5,0.29099688329227424,0.7182353483077427,0.5459366916785491,0.28978515150641326,0.012411912759376168,0.7187095239207157,0.009512801107106802,0.4924479151819345,0.009135346349481783,,,0.0035667421104267905,0.00373361579182831,0.006454464152849662,0.043271144340842144
Q0_flex_year,gls_eff,adj,14945,5,0.30989982742222744,0.7085961219817373,0.5354153132412369,0.3089224875266169,0.009657218814205832,0.7089894155958649,0.010140827900009912,0.5177463221553179,,,,-0.00013601679602284202,-0.00015842925797360827,0.004108151383094244,0.03328420293314031
Q0_flex_bands,ols,adj,14945,16,0.28727291051503134,0.7201191100830572,0.5475889926851198,0.28550344858224647,0.010017358864235625,0.7208914923411569,0.009544084630722113,,,,,0.012860306817084258,0.0129755251290599,0.023482935813269958,1.6356836348136893e-14
Q0_flex_bands,wls_n,adj,14945,16,0.26797879775907385,0.7298011329785294,0.5569978952787903,0.263389536992962,0.016192144742688392,0.7319167230410215,0.010046814701062962,,,,,0.009178068473667797,0.008886659958521328,0.017889542901450867,0.024797152734277506
Q1_core,ols,adj,14945,6,0.565837786046514,0.5620419278603863,0.42137463281750903,0.5652802596068911,0.003626036654158505,0.5623232835376664,0.007247851437198717,0.4003756404575949,0.0031532387363252174,0.5481438693159689,0.003896382710446307,6.328125594633492e-15,9.971172538935398e-05,-0.019810438602791438,0.01703235785709158
Q1_core,wls_n,adj,14945,6,0.550544817615698,0.5718549692702074,0.4267177748143739,0.5496056192120141,0.0029437223232474576,0.5723730673127696,0.007203734077367207,0.4145257057672236,0.006479519696892727,0.4450958852450048,0.005508327740603108,-0.002798820118590166,-0.0026728562367957336,-0.022062187538255056,0.02011915884221239
Q1_core,gls_eff,adj,14945,6,0.5658376117858106,0.5620420406544165,0.42136333399384224,0.5652794203156096,0.0036206499352839064,0.562323902008542,0.007251531554792865,0.4005284503993772,,0.5477620231431345,,-0.00010031031684400446,-9.84357932162466e-07,-0.019914208928355655,0.01690836607064674
