game_id,title,year,n_obs,users_rated,raw_mean,adj_mean,se_adj,expected,resid
255249,Monikers: More Monikers,2018.0,452,521.0,8.260490420353984,8.575100419740725,0.056130684295516244,6.29871038405296,2.276390035687765
140135,Small World Designer Edition,2015.0,246,266.0,8.899735365853658,9.099995391367385,0.07608551781491486,6.920321167019885,2.179674224347499
179448,Monikers: Shmonikers,2015.0,319,326.0,8.004576802507836,8.298090461297656,0.06681503691076171,6.251351885884041,2.046738575413615
195709,Monikers: Something Something,2016.0,246,255.0,8.03760162601626,8.326053699826828,0.07608551781491486,6.308321660919486,2.017732038907342
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.472932330827069,8.453626629540013,0.10347697725146317,6.469476852143783,1.9841497773962296
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.042225806451613,8.355972846068447,0.05534049988322592,6.374805540890893,1.9811673051775536
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.205110000000001,8.484233854417955,0.053368445381260204,6.54690687039909,1.9373269840188652
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,7.669094116836588,8.027215708183325,0.019809616595830817,6.096779014895182,1.9304366932881436
4385,A Gamut of Games,1969.0,434,445.0,7.760449447004609,8.077552795635295,0.057282859509305666,6.148252390839474,1.9293004047958213
283151,Monikers: Classics,2019.0,263,343.0,8.188067186311788,8.447930253514432,0.07358540422946129,6.537474634910941,1.910455618603491
230262,Time's Up! Party Edition,2004.0,553,714.0,7.574985388788428,7.9139121525426015,0.05074660450085091,6.03551870892761,1.8783934436149918
33434,Funkenschlag: EnBW,2007.0,198,202.0,8.215252525252525,8.695725031634874,0.08480802686204722,6.864858120136301,1.830866911498573
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,6.516879005524861,7.035635140397307,0.08870135757356704,5.2212194427825285,1.8144156976147787
4657,Replay Baseball,1973.0,105,135.0,7.889619047619046,7.968162887011545,0.11645949556273395,6.1842939104525545,1.7838689765589901
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,7.911969696969698,8.39368931438145,0.10386819595213245,6.630329770022321,1.7633595443591297
1803,Zopp,1997.0,158,160.0,7.247468354430379,7.66976906869589,0.09493820379215226,5.911437864368537,1.7583312043273533
57660,Time's Up! Edición Azul,2006.0,1365,1463.0,7.36973180952381,7.6829230395388315,0.03230005252046986,5.925143744038687,1.7577792955001446
341489,Carrooka,2021.0,195,285.0,8.248666666666669,8.556558258411867,0.08545790630348828,6.819997087450039,1.7365611709618278
8939,Der wahre Walter,1989.0,170,182.0,7.1,7.4383003530133305,0.09152612874141386,5.721670261297755,1.716630091715576
97683,Age of Rail: South Africa,2011.0,277,605.0,7.73563176895307,8.731868234394135,0.0717017358320027,7.020568310898314,1.7112999234958206
