universe,n_games_gm,n_both_halves,var_adj,mean_adj,sigma_e,sigma_e2,sigma_alpha2_mm,lambda_mm,sigma_alpha2_cov,lambda_cov,mean_inv_n,harmonic_mean_n,mean_n,median_n,p10_n,p90_n,se_p10,se_median,se_p90,corr_adj,corr_shrunk,corr_raw_to_adj,rmse_adj,rmse_shrunk,rmse_raw_to_adj,rmse_bayes,r2_adj,r2_shrunk,r2_raw_to_adj,var_adj_odd
active_all,16564,16512,0.7596046554065329,6.926166302613704,1.1940701083513219,1.4258034236581376,0.7462197074043402,1.9107019146112743,0.7414808186636291,1.9229134291401673,0.00938765315056644,106.52289597423623,1479.7022458343395,293.0,100.0,2794.7000000000007,0.022587191478435038,0.0697583205713528,0.1194070108351322,0.9693259542313719,0.9720145615024011,0.9449583596959695,0.21663546174180687,0.20521241951175867,0.4103593587137977,1.3380535267341194,0.9384987673418752,0.9448136077105216,0.7793248619359627,0.7630891488788063
n100,14952,14952,0.727526147461755,6.900006114620812,1.1933547172598251,1.424095481206277,0.7224399813252954,1.9712301616998198,0.7216167369240833,1.9734790067044923,0.003571506407808698,279.9938977607914,1632.1166399143926,347.5,123.0,3175.0,0.021178621528058633,0.06401658266338167,0.10760117119403234,0.9838589957966337,0.9839335296622668,0.9650407790938714,0.15387479645899646,0.1528952639027043,0.3710592429746678,1.2797726303577344,0.9676722872235637,0.968082559189769,0.812013568293442,0.7324196780960036
