universe,mean,sd,p05,p95,p01,p99,maxabs,min,max,median
active_all Q3b/OLS,-7.037868049200584e-13,0.5619667461469103,-0.9224101822605104,0.855590767010974,-1.5519485392448207,1.297691793094488,5.9628016029576285,-5.9628016029576285,3.937337406671645,0.021943645182060934
n100 Q3b/OLS,2.8797013634311237e-11,0.5402640000698562,-0.8963118222430533,0.8254251356989608,-1.522488089449971,1.2188804649826006,5.907212976552494,-5.907212976552494,2.276390035687765,0.021271542654879738
active_all Q3b/OLS (overlap n100 games),-7.879488667799075e-13,0.5405921550217423,-0.8950722495326644,0.8283508359430916,-1.5147777019238724,1.2245616770960728,5.9628016029576285,-5.9628016029576285,2.2719476759151593,0.02153708147403499
