spec,weighting,pearson_overlap,spearman_overlap,jaccard_top1_overlap
Q0_linear,ols,0.9899578720703205,0.9864920562080933,0.7225433526011561
Q0_linear,wls_n,0.9999964853648865,0.9999946656328276,1.0
Q0_flex_year,ols,0.9958860239334798,0.993908004529913,0.8860759493670886
Q0_flex_year,wls_n,0.9999239419751049,0.9998914602947346,0.9605263157894737
Q0_flex_bands,ols,0.9998171386410375,0.9997396563778066,0.9225806451612903
Q0_flex_bands,wls_n,0.9999989290092441,0.9999987271557611,1.0
Q1_core,ols,0.9941760018745565,0.9910756343599169,0.8509316770186336
Q1_core,wls_n,0.9999108302738592,0.9998696993151498,0.9866666666666667
Q2_structure,ols,0.9938566467383032,0.9903840723240371,0.8509316770186336
Q2_structure,wls_n,0.9998897117113231,0.9998404218377392,0.9477124183006536
Q3_categories,ols,0.9928228759442986,0.9887341319418981,0.8625
Q3_categories,wls_n,0.9998861504365527,0.9998327447964013,0.9605263157894737
Q3b_flex_volume,ols,0.9994541770242341,0.9992052866114709,0.9735099337748344
Q3b_flex_volume,wls_n,0.9999073989530862,0.9998646770260432,0.9735099337748344
Q4_mechanics,ols,0.991465851385649,0.9867936633055491,0.8625
Q4_mechanics,wls_n,0.9986668579345358,0.9980517311771214,0.935064935064935
