game_id,title,year,n_obs,users_rated,raw_mean,adj_mean,se_adj,expected,resid
419763,Wonders of The First CCG,2025.0,186,234.0,1.332258064516129,1.7201404841330235,0.08755346826147804,7.682942087090652,-5.9628016029576285
155582,ERA,2025.0,40,100.0,2.24625,2.5461810530990467,0.18879906141571107,7.7391656620077445,-5.192984608908698
155250,TseuQuesT,2024.0,178,276.0,2.7742134831460676,2.9189398779298164,0.08949933850920376,7.687515258776495,-4.768575380846679
276022,Alien: USCSS Nostromo,2019.0,156,258.0,1.273076923076923,1.4022191221028015,0.09560212098206876,6.1584079910179845,-4.756188868915183
336207,Legend Academy      Where brave youngsters become tomorrow's legends.,2025.0,27,141.0,2.755555555555556,3.1383287851903074,0.22979889949597376,7.829887985345174,-4.691559200154867
385757,Foxpaw,2025.0,291,577.0,3.2291184192439863,3.504769589532554,0.06999762940654888,8.102822639557246,-4.598053050024692
426912,Tea Witches,2025.0,1,749.0,5.0,4.369490237003455,1.1940701083513219,8.135958753571217,-3.7664685165677616
2502,Global Survival,1992.0,121,130.0,1.9070247933884297,2.3694193107285564,0.10855182803193836,6.083210883080726,-3.7137915723521697
294880,Chai: Tea for 2      Set sail as you harvest your way to victory.,2025.0,176,218.0,3.8346590909090907,4.238931885541022,0.09000642097228075,7.897678252776888,-3.6587463672358664
373107,Elden Ring: Realm of the Grafted King,2025.0,83,349.0,3.536224939759036,4.201376409921424,0.13106622181899222,7.849072189291146,-3.6476957793697222
258302,Pug You!,2018.0,106,120.0,2.6043396226415094,2.9276181051320567,0.11597834149050455,6.455218994214839,-3.527600889082782
316555,The Umbrella Academy Game,2020.0,110,145.0,3.143090909090909,3.221794823018042,0.11385011772494164,6.481871878935808,-3.2600770559177654
154674,Castle Assault,2015.0,216,233.0,3.7052777777777774,3.9927877616749585,0.08124618007140447,7.230851798401976,-3.2380640367270175
232895,Coaster Park,2017.0,336,351.0,3.5577976190476184,3.9229728445099994,0.06514186495957207,7.075761524905612,-3.152788680395613
175512,A Chaotic Life!,2015.0,178,186.0,3.0265730337078653,3.1791075741753323,0.08949933850920376,6.064966949281452,-2.8858593751061195
4367,Nero: Legacy of a Despot,2002.0,219,227.0,3.6897260273972607,3.9978496722252013,0.08068778046425124,6.882567799061543,-2.8847181268363418
379644,Roller Coaster Rush,2023.0,103,143.0,3.9633790291262136,4.242587671986101,0.11765522379393674,7.122906596011111,-2.88031892402501
425142,Camping Season,2025.0,7,144.0,5.428571428571429,5.042829658710649,0.4513160792390782,7.917179394012619,-2.87434973530197
2910,Power Lunch,1994.0,108,111.0,2.7621296296296296,3.111999029928956,0.11489944974798688,5.843707967533371,-2.731708937604415
338067,6: Siege – The Board Game,2024.0,764,1084.0,5.553947408376962,5.79355354567389,0.043199940367089344,8.519397203050195,-2.7258436573763047
