n,w,shrink_to_prior
20,0.9102813020849392,0.08971869791506082
50,0.9620707426865466,0.037929257313453424
100,0.9806687615852632,0.01933123841473683
120,0.983838564560786,0.016161435439214
293,0.9933172121205882,0.006682787879411789
500,0.9960730216330032,0.003926978366996847
1000,0.9980326479420155,0.001967352057984484
2795,0.9992952268723959,0.0007047731276040858
5000,0.9996059093363405,0.0003940906636594743
12000,0.99983575779979,0.00016424220021005187
