game_id,title,year,n_obs,users_rated,raw_mean,adj_mean,se_adj,expected,resid
435330,Pondscape,2025.0,1,874.0,10.0,11.553486725686795,1.1940701083513219,7.61614931901515,3.937337406671645
428589,Thief's Market,2025.0,3,137.0,10.0,10.461312287206184,0.6893966984879213,7.584598852516709,2.8767134346894743
255249,Monikers: More Monikers,2018.0,452,521.0,8.260490420353984,8.575100419740725,0.05616433346195758,6.3031527438255655,2.2719476759151593
434131,Tolleno,2025.0,1,140.0,9.0,9.843971781337288,1.1940701083513219,7.625595612327226,2.218376169010062
140135,Small World Designer Edition,2015.0,246,266.0,8.899735365853658,9.099995391367385,0.076131129484982,6.897885999250152,2.202109392117233
404462,Monikers: Monikers-er,2023.0,61,131.0,8.745901639344263,9.111916309819058,0.1528850110944383,6.914103586832603,2.1978127229864555
436804,Opération Zèbre,2025.0,1,137.0,9.0,9.310399753370493,1.1940701083513219,7.148794032144584,2.161605721225909
436591,Brightcast,2025.0,2,141.0,9.5,9.374230214348394,0.8443350708273752,7.222175445687894,2.1520547686605003
436038,Hercules and the 12 Labors,2025.0,2,546.0,10.0,9.90660100964547,0.8443350708273752,7.78195947037109,2.1246415392743803
127333,Schnipp & Weg,2012.0,81,100.0,7.739506172839506,8.271404629052356,0.1326744564834802,6.147759174122887,2.123645454929468
203560,Fall of Magic,2015.0,86,100.0,8.12906976744186,8.319539101911568,0.12875989118285322,6.243025357056128,2.07651374485544
179448,Monikers: Shmonikers,2015.0,319,326.0,8.004576802507836,8.298090461297656,0.06685509112221506,6.243128625068799,2.0549618362288573
428284,Here Lies,2025.0,2,240.0,10.0,9.615908167422832,0.8443350708273752,7.58340877417656,2.0324993932462725
195709,Monikers: Something Something,2016.0,246,255.0,8.03760162601626,8.326053699826828,0.076131129484982,6.297531079171581,2.028522620655247
221248,Monikers: The Shut Up & Sit Down Nonsense Box,2017.0,465,484.0,8.042225806451613,8.355972846068447,0.055373675350706655,6.361578833572148,1.9943940124962989
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,133,185.0,8.472932330827069,8.453626629540013,0.10353900952621774,6.461751968862114,1.9918746606778992
283152,Monikers: Serious Nonsense,2019.0,500,609.0,8.205110000000001,8.484233854417955,0.0534004386434819,6.548901971851713,1.935331882566242
36553,Time's Up! Title Recall!,2008.0,3629,3787.0,7.669094116836588,8.027215708183325,0.019821492044960615,6.0979825646639725,1.9292331435193528
428989,EcoLogic: Europe,2025.0,2,155.0,8.25,9.88391321411353,0.8443350708273752,7.9593316131106615,1.9245816010028687
283151,Monikers: Classics,2019.0,263,343.0,8.188067186311788,8.447930253514432,0.07362951713393853,6.5243785620178585,1.9235516914965736
