spec,weighting,cv_r2_full,cv_r2_n100,cv_r2_delta,r2_in_full,r2_in_n100,beta_logn_full,beta_logn_n100,beta_logn_shift_pct,beta_weight_full,beta_weight_n100,beta_weight_shift_pct,corr_resid_logn_full,corr_resid_logn_n100,max_bandmean_full,max_bandmean_n100
Q3b_flex_volume,ols,0.5819261993822805,0.5958348592875927,0.013908659905312204,0.5843975289309646,0.5988585013945735,,,,0.46134583685419056,0.4750095856995201,2.9617149985571496,-0.004173682692455581,0.012757783208146675,1.199262911200094e-12,3.737324137765374e-11
Q3b_flex_volume,wls_n,0.559417257777627,0.5727503504770495,0.01333309269942251,0.5616207028331043,0.5755504749712692,,,,0.4125710491947767,0.41390938062108434,0.32438810937405205,-0.02601140559980833,0.00872399983098634,0.06007727814805171,0.02964245661307677
Q3_categories,ols,0.5701488332627292,0.5978743769322826,0.027725543669553376,0.572443832867612,0.6007178706385519,0.3516300847789683,0.4415850438905158,25.582270404448593,0.467671379171757,0.47301245414344967,1.1420572670390226,-1.4798671151117442e-12,-1.603067319751289e-13,0.1279320594660819,0.02450900617451361
Q3_categories,wls_n,0.5378368961492899,0.576720279122012,0.03888338297272209,0.539898585422175,0.579385138634668,0.4501099265105549,0.45436196398189826,0.9446664516614767,0.4170857056174487,0.4182840459860395,0.287312739912013,-0.12543792016698105,-0.012775172777034707,0.32039558716559674,0.024045633182776797
Q1_core,ols,0.5395207923525956,0.5652802596068911,0.025759467254295454,0.5400197509803197,0.565837786046514,0.3228778665865447,0.4003756404575949,24.002194603908393,0.5468710558143002,0.5481438693159689,0.23274471891248755,-3.685278808957947e-13,6.328125594633492e-15,0.14701298208147573,0.01703235785709158
Q1_core,wls_n,0.5155753963905408,0.5496056192120141,0.03403022282147328,0.5165163966066629,0.550544817615698,0.41207648492571,0.4145257057672236,0.5943607391125852,0.4454588785900892,0.4450958852450048,-0.08148750929227964,-0.10822905207039303,-0.002798820118590166,0.28899810998287395,0.02011915884221239
Q0_flex_year,ols,0.2940338424259427,0.3089232070674088,0.014889364641466063,0.2951917183772862,0.3098999506798097,0.43754011120442815,0.5176311861282434,18.304853171826117,,,,1.2805046592985004e-13,3.381122788074394e-14,0.1483316401593543,0.033366033326047095
Q0_flex_year,wls_n,0.2689795051499987,0.28978515150641326,0.020805646356414575,0.2707710330674127,0.29099688329227424,0.4910217041373688,0.4924479151819345,0.29045784179159145,,,,-0.080408946611918,0.0035667421104267905,0.24671873713488054,0.043271144340842144
