game_id,title,year,n_obs,users_rated,weight,weight_missing,raw_mean,adj_mean,se_adj,expected_quality,underratedness,underratedness_cv,lower_bound_resid,lower_bound_adj,model_spec,volume_band,volume_band_6,year_band,volume_decile,is_reimplementation,bayes_rating,rank_current
12,Ra,1999.0,27540,32722.0,2.3039,0.0,7.65272993355121,8.040775564758325,0.007191484154628069,7.423965813752671,0.616809751005654,0.6192672236064993,0.6027144420625831,8.026680255815254,Q3b,25k+,5k+,1990s,D10,False,7.55842,113.0
173,Formula Dé,1997.0,7719,8026.0,1.9534,0.0,6.953341449669645,7.249838628836167,0.013583759236730036,6.926065577172324,0.32377305166384307,0.3022120182217227,0.2971488835598522,7.2232144607321755,Q3b,5k-10k,5k+,1990s,D10,True,6.60202,1103.0
178,Mole Hill,1997.0,217,229.0,1.7188,0.0,5.971428571428572,6.340404720856987,0.08101596865112519,6.218463243898441,0.12194147695854607,0.11400624758530054,-0.03684982159765929,6.1816134223007815,Q3b,200-499,200-499,1990s,D4,False,5.544,14231.0
180,Pool Position,1999.0,139,148.0,1.7273,0.0,5.754676258992805,6.131944350436838,0.10122623772308073,6.107610605082527,0.02433374535431021,0.015850075337521474,-0.17406968058292802,5.933540924499599,Q3b,100-199,100-199,1990s,D2,False,5.51569,21024.0
181,Risk,1959.0,34214,38918.0,2.06,0.0,5.5064763096977805,5.661554580428261,0.006452062569117584,7.280866532769265,-1.619311952341004,-1.6436568364801065,-1.6319579949764744,5.64890853779279,Q3b,25k+,5k+,1950s,D10,True,5.47093,29984.0
183,Stonehenge,1994.0,148,159.0,1.8667,0.0,6.295945945945946,6.712116897949399,0.09810014248054857,6.160323774615016,0.5517931233343836,0.5561173098378598,0.3595168440725084,6.519840618687524,Q3b,100-199,100-199,1990s,D2,True,5.54771,13710.0
185,Devil Bunny Needs a Ham,1998.0,713,726.0,1.1757,0.0,5.375340813464235,5.55814609351662,0.04469466957584476,6.076861769623145,-0.5187156761065248,-0.5200595273773336,-0.6063172284751805,5.470544541147964,Q3b,500-999,500-999,1990s,D7,False,5.46455,30219.0
190,Dolce Vita,1999.0,202,205.0,1.6875,0.0,6.136633663366336,6.541961201828124,0.08397012721106527,6.1750995625647125,0.3668616392634112,0.35765759406919795,0.20228018992972327,6.377379752494436,Q3b,200-499,200-499,1990s,D4,False,5.55043,13328.0
195,NASCAR Champions,1998.0,106,116.0,1.1,0.0,5.444811320754717,5.729384931945348,0.11591711487809765,5.691139264459981,0.038245667485367285,0.023228983808750492,-0.18895187767570412,5.502187386784277,Q3b,100-199,100-199,1990s,D1,False,5.50216,25584.0
199,Manhattan,1994.0,5828,6098.0,1.9258,0.0,6.717959847288952,7.087707062477001,0.015632942276828186,6.808635772112822,0.279071290364179,0.2708716110635834,0.24843072350159576,7.057066495614418,Q3b,5k-10k,5k+,1990s,D10,False,6.3741,1668.0
206,Jalape-NO!,1998.0,317,512.0,1.3846,0.0,6.209936908517351,6.791322427069742,0.06703025394664705,5.985912577052618,0.8054098500171243,0.8225346345427802,0.6740305522816961,6.659943129334314,Q3b,200-499,200-499,1990s,D5,False,5.65915,7306.0
214,Café International,1989.0,2876,3031.0,1.6422,0.0,6.204387573018076,6.561018090178955,0.022253896045075845,6.617100111782982,-0.05608202160402698,-0.06576848458650453,-0.09969965785237564,6.517400453930606,Q3b,2.5k-5k,2k-5k,1980s,D9,False,5.88843,3999.0
424,1870: Railroading Across the Trans Mississippi from 1870,1992.0,1053,1086.0,4.2016,0.0,7.4175057359924015,8.0269285401184,0.03677784771982119,7.581035981271434,0.44589255884696577,0.4696648136146422,0.37380797731611626,7.95484395858755,Q3b,1k-2.5k,1k-2k,1990s,D8,False,6.09046,2723.0
481,Carolus Magnus,2000.0,3669,3782.0,2.5802,0.0,6.8249476342327595,7.254575613473963,0.01970274061687366,7.085897947926121,0.16867766554784236,0.16670884716545498,0.13006029393877,7.21595824186489,Q3b,2.5k-5k,2k-5k,2000s,D10,False,6.30919,1857.0
483,Diplomacy,1959.0,12881,13968.0,3.3234,0.0,6.966527841006134,7.293847706475367,0.010515397774208624,7.737318949685784,-0.44347124321041775,-0.44773942700795644,-0.46408142284786663,7.273237526837918,Q3b,10k-25k,5k+,1950s,D10,False,6.71801,887.0
486,Barnyard Buddies,1996.0,243,249.0,1.0333,0.0,5.682853209876544,5.94717174622843,0.07655919513189481,5.722524221120603,0.22464752510782748,0.24158927941286468,0.07459150264931366,5.797115723769917,Q3b,200-499,200-499,1990s,D4,False,5.5127,22105.0
487,Power,1981.0,274,299.0,2.5926,0.0,5.97463503649635,6.233754052097123,0.0720983315076739,6.44412531695674,-0.21037126485961632,-0.21926765816335791,-0.35168399461465716,6.092441322342083,Q3b,200-499,200-499,1980s,D5,False,5.552,13133.0
497,Vampire,2000.0,638,655.0,1.3425,0.0,5.923009404388716,6.310826620808755,0.04724873183841914,6.129739737921618,0.18108688288713726,0.1752244435772523,0.08847936848383574,6.218219106405454,Q3b,500-999,500-999,2000s,D7,False,5.5895,10063.0
499,Arbos,1999.0,388,394.0,1.0,0.0,6.354536082474228,6.70957331949413,0.06058772325749039,5.911344803960617,0.7982285155335127,0.8338780543523807,0.6794765779488315,6.590821381909448,Q3b,200-499,200-499,1990s,D6,False,5.61753,8666.0
507,Cartel,1973.0,176,182.0,2.25,0.0,6.9678652840909105,7.243758119211225,0.08995890530530207,6.073053574782509,1.1707045444287152,1.1880423027842317,0.9943850900303232,7.0674386648128324,Q3b,100-199,100-199,1970s,D3,False,5.60058,9456.0
509,The Reef,2000.0,786,798.0,1.6447,0.0,5.692569974554708,5.986429885228178,0.042568585839522805,6.407616313565942,-0.421186428337764,-0.4162042414498952,-0.5046208565832286,5.902995456982714,Q3b,500-999,500-999,2000s,D8,False,5.54876,13574.0
510,Eschnapur,2000.0,223,227.0,2.3529,0.0,5.669242152466366,6.058310529878186,0.0799186362394187,6.453005125623951,-0.39469459574576504,-0.3895986442815058,-0.5513351227750257,5.901670002848926,Q3b,200-499,200-499,2000s,D4,False,5.5159,20953.0
514,True Colors,1989.0,587,625.0,1.1364,0.0,6.0829982964224865,6.339772136581639,0.04925852977088746,5.8105335331043175,0.5292386034773218,0.5314690269379811,0.43269188512638235,6.2432254182307,Q3b,500-999,500-999,1980s,D7,False,5.61343,8837.0
519,Mush,1994.0,115,117.0,1.7143,0.0,5.862173913043479,6.298726092167865,0.11128882975690979,5.966917606711789,0.3318084854560759,0.32087036817345727,0.11368237913253271,6.080599985844321,Q3b,100-199,100-199,1990s,D1,False,5.51505,21279.0
828,Wizards,1982.0,383,424.0,2.963,0.0,6.309338563968668,6.595046671440632,0.06098192210178053,6.456752733307184,0.13829393813344826,0.129050700884215,0.018769370813958422,6.475522104121142,Q3b,200-499,200-499,1980s,D6,False,5.62049,8542.0
834,Chronology,1996.0,1056,1203.0,1.3766,0.0,6.486374933712123,6.818275276098041,0.0367255693028901,6.358314685171226,0.45996059092681474,0.4688018805497469,0.38797847509315014,6.7462931602643765,Q3b,1k-2.5k,1k-2k,1990s,D8,False,5.81548,4668.0
853,...und tschüss!,1997.0,348,362.0,1.2903,0.0,6.372183908045976,6.930350698357983,0.06397508533761048,5.993445012709014,0.936905685648969,0.9345498753027046,0.8115145183872525,6.804959531096266,Q3b,200-499,200-499,1990s,D6,False,5.61968,8581.0
855,Java,2000.0,3469,3547.0,3.378,0.0,7.006601449985587,7.415976632469279,0.020262748122047338,7.498178220567262,-0.08220158809798228,-0.09945520983662703,-0.12191657441719506,7.376261646150066,Q3b,2.5k-5k,2k-5k,2000s,D10,False,6.38923,1632.0
865,Landslide,1971.0,222,237.0,1.4138,0.0,6.071396396396397,6.313176020164908,0.08009843092389068,5.802972431792874,0.5102035883720344,0.5213465991996618,0.3532106637612087,6.156183095554082,Q3b,200-499,200-499,1970s,D4,False,5.54578,13971.0
866,"Lie, Cheat & Steal",1971.0,183,196.0,1.4762,0.0,5.158360655737705,5.3967247512686995,0.08822160427375413,5.652172629945456,-0.25544787867675645,-0.27545515573910606,-0.4283622230533145,5.223810406892142,Q3b,100-199,100-199,1970s,D3,False,5.47544,29754.0
869,Bongo!,2000.0,541,552.0,1.413,0.0,6.043271719038816,6.427579196102402,0.05130998211725272,6.120194073142356,0.3073851229600457,0.2941120935537942,0.20681755801023038,6.327011631152586,Q3b,500-999,500-999,2000s,D7,False,5.60545,9228.0
870,Empires of the Ancient World,2000.0,543,556.0,2.9762,0.0,6.59818005524862,7.107048511976299,0.05121540142463876,6.980958539503092,0.1260899724732072,0.12724530270760415,0.025707785680915224,7.006666325184008,Q3b,500-999,500-999,2000s,D7,False,5.70075,6349.0
908,Tally Ho!,1973.0,3063,3175.0,1.4788,0.0,6.152566193274567,6.455515737288198,0.021563884521803217,6.326521480220654,0.12899425706754375,0.16854060755087108,0.08672904340480944,6.4132505236254636,Q3b,2.5k-5k,2k-5k,1970s,D9,False,5.8598,4232.0
916,Pete the Pirate,2000.0,110,117.0,1.2222,0.0,5.909090909090909,6.224530234457219,0.11379001463206377,5.764017956539629,0.46051227791758986,0.45833631481562254,0.23748384923874488,6.001501805778374,Q3b,100-199,100-199,2000s,D1,False,5.51637,20801.0
929,The Great Dalmuti,1995.0,8138,8748.0,1.2828,0.0,6.5539265212582904,6.845391786382231,0.013229445852492952,6.553096781015277,0.2922950053669533,0.2632498762377997,0.26636529149606714,6.819462072511344,Q3b,5k-10k,5k+,1990s,D10,False,6.3078,1862.0
935,Australian Rails,1994.0,526,561.0,2.6538,0.0,6.922918669201521,7.2878757031320385,0.05203644557291998,6.707618699171103,0.5802570039609352,0.591735188276842,0.478265570638012,7.185884269809115,Q3b,500-999,500-999,1990s,D7,False,5.75964,5357.0
937,1825 Unit 1,1995.0,306,314.0,3.56,0.0,6.827777777777778,7.514534800420685,0.06822440905690567,7.018820511951798,0.49571428846888654,0.48118006988042783,0.3619944467173514,7.380814958669149,Q3b,200-499,200-499,1990s,D5,False,5.66285,7205.0
940,Karawane,1990.0,172,180.0,1.5714,0.0,6.030523255813954,6.377230556612255,0.09099892720094005,5.879227268633057,0.4980032879791976,0.5142881070599161,0.3196453906653551,6.198872659298412,Q3b,100-199,100-199,1990s,D3,False,5.53638,15476.0
950,Four Dragons,2000.0,432,444.0,2.3556,0.0,6.552028101851852,7.075534771353194,0.057419396348921105,6.5575159719017595,0.5180187994514345,0.48723524778908356,0.4054767826075491,6.962992754509308,Q3b,200-499,200-499,2000s,D6,False,5.66717,7112.0
954,Pony Express,1991.0,125,127.0,1.75,0.0,5.311439999999999,5.772336278186448,0.1067444955881541,5.950398889349865,-0.17806261116341648,-0.16136569807635848,-0.3872818225161985,5.563117066833666,Q3b,100-199,100-199,1990s,D2,False,5.48924,28415.0
