vol_band,games,mean_n,median_n,raw_mean,raw_median,adj_mean,adj_median,raw_sd,adj_sd
100-199,4534,142.37273930304366,139.0,6.352960196407129,6.360181833141352,6.619306782741473,6.644698310707469,0.8809567818227505,0.9038146784259345
200-499,4263,315.95730706075534,300.0,6.466914326427397,6.448912877697842,6.753593547825749,6.75801829111151,0.7713862871861041,0.8100205516114269
500-999,2208,703.9447463768116,679.0,6.658106357545675,6.64155126546393,6.972298140139981,6.984794898011241,0.7119044065011673,0.7596466164213147
1k-2.5k,1875,1569.1578666666667,1492.0,6.813053994920196,6.818199134199133,7.140037951050804,7.174405813711459,0.6325069480472308,0.6760320268280089
2.5k-5k,879,3492.7337883959044,3376.0,7.02543027374998,7.039041883512022,7.3599677220022475,7.385157415214223,0.603431091096677,0.6547086079194081
5k-10k,471,6938.668789808918,6636.0,7.1631946134070485,7.186721214002244,7.4978713327627,7.534668424229284,0.5707351216624339,0.6233329259293724
10k-25k,330,15638.051515151516,14724.5,7.299004455599802,7.346876656842619,7.6126041511852085,7.673748955977429,0.5306490587374871,0.5803939464001229
25k+,138,44627.52898550725,36966.0,7.488955701050758,7.5259063179926935,7.754594972105629,7.809493319940049,0.5805112691100277,0.6187944963607425
