game_id,title,year,n_obs,users_rated,weight,weight_missing,raw_mean,adj_mean,se_adj,expected_quality,underratedness,underratedness_cv,lower_bound_resid,lower_bound_adj,model_spec,volume_band,volume_band_6,year_band,volume_decile,is_reimplementation,bayes_rating,rank_current,rank_underratedness
120269,Red White & Blue Racin': Stock Car Action Game,2012.0,131,185.0,1.9231,0.0,8.449618320610687,8.447093894085006,0.10427131437869634,6.467001705611052,1.9800921884739537,1.9804512012472895,1.775720412291709,8.24272211790276,Q3b,100-199,100-199,2010s,D2,False,5.67067,7033.0,1
4385,A Gamut of Games,1969.0,434,445.0,2.3235,0.0,7.760449447004609,8.074748244439382,0.05728694081760737,6.149236380145478,1.9255118642939042,1.928262041973639,1.8132294602913936,7.962465840436872,Q3b,200-499,200-499,1960s,D6,False,5.8584,,2
24996,Start Player: A Kinda Collectible Card Game,2006.0,181,192.0,1.0,0.0,6.516879005524861,7.033259283419802,0.0887076773975098,5.160185832988017,1.8730734504317859,1.8865383166020457,1.6992064027326665,6.859392235720684,Q3b,100-199,100-199,2000s,D3,False,5.57383,11130.0,3
33434,Funkenschlag: EnBW,2007.0,198,202.0,3.1667,0.0,8.215252525252525,8.694110770076955,0.08481406929266344,6.8580588279626795,1.8360519421142758,1.8604102871305486,1.6698163663006556,8.527875194263334,Q3b,100-199,100-199,2000s,D4,False,5.71548,6060.0,4
4657,Replay Baseball,1973.0,103,135.0,2.5,0.0,7.887475728155338,7.978247154421985,0.11759311193156399,6.1920226368763025,1.7862245175456826,1.810203879346811,1.5557420181598172,7.74776465503612,Q3b,100-199,100-199,1970s,D1,False,5.60927,9064.0,5
331953,Unlock!: Timeless Adventures – Verloren im Zeitstrudel!,2019.0,132,160.0,1.6667,0.0,7.911969696969698,8.391370545565449,0.1038755963880404,6.633333472910508,1.7580370726549415,1.755581043933029,1.5544409037343823,8.18777437664489,Q3b,100-199,100-199,2010s,D2,False,5.6479,7624.0,6
1803,Zopp,1997.0,158,160.0,1.1765,0.0,7.247468354430379,7.667323849066769,0.09494496798099698,5.914172584760545,1.753151264306224,1.7549093578001909,1.56705912706347,7.481231711824014,Q3b,100-199,100-199,1990s,D3,False,5.61311,8853.0,7
8939,Der wahre Walter,1989.0,170,182.0,1.2,0.0,7.1,7.43537945925651,0.09153264982559603,5.689849969327755,1.7455294899287557,1.7206077673787403,1.5661254962705875,7.255975465598342,Q3b,100-199,100-199,1980s,D3,False,5.61844,8628.0,8
341489,Carrooka,2021.0,195,285.0,1.1,0.0,8.248666666666669,8.554627332404891,0.08546399503693193,6.809685164844579,1.7449421675603123,1.7337110812839054,1.5774327372879258,8.387117902132504,Q3b,100-199,100-199,2020s,D3,False,5.76103,5331.0,9
186279,Finska Mini,2011.0,468,566.0,1.1538,0.0,7.431509957264955,7.816398671008494,0.05516677157973178,6.079112187083064,1.7372864839254296,1.7614632157241301,1.6291596116291553,7.708271798712219,Q3b,200-499,200-499,2010s,D6,False,5.88004,4068.0,10
97683,Age of Rail: South Africa,2011.0,277,605.0,3.0,0.0,7.73563176895307,8.731969342439568,0.07170684446121928,7.007083316683367,1.7248860257562004,1.7285962842285496,1.5843406106122107,8.591423927295578,Q3b,200-499,200-499,2010s,D5,False,5.95663,3481.0,11
249768,My First Adventure: Finding the Dragon,2018.0,100,128.0,1.0,0.0,7.54,7.792468060399719,0.1193439741795195,6.072220132981405,1.7202479274183142,1.725274397163136,1.486333738026456,7.558553871007861,Q3b,100-199,100-199,2010s,D1,False,5.59185,9943.0,12
351600,Mortum: Medieval Detective – The Shelter,2022.0,131,176.0,1.4,0.0,8.056870229007634,8.491014256539268,0.10427131437869634,6.808145635194434,1.6828686213448343,1.6591578647209388,1.4784968451625895,8.286642480357022,Q3b,100-199,100-199,2020s,D2,False,5.667,7116.0,13
2470,The Extraordinary Adventures of Baron Munchausen,1998.0,379,402.0,1.4643,0.0,7.234035540897097,7.54142635668983,0.061302881803420736,5.891126440306444,1.6502999163833865,1.6725632764997416,1.530146268048682,7.421272708355126,Q3b,200-499,200-499,1990s,D6,False,5.74465,5572.0,14
188530,My Favourite Things,2015.0,375,1039.0,1.2857,0.0,7.307279999999999,7.903825141235959,0.061628963262331596,6.263954298362531,1.639870842873428,1.6303615341788582,1.5190780748792583,7.783032373241789,Q3b,200-499,200-499,2010s,D6,False,6.01892,3091.0,15
541,Das Motorsportspiel,1995.0,381,399.0,2.0,0.0,7.44408128608924,7.884625607694253,0.06114177014035077,6.247902613561161,1.636722994133092,1.6674765019873652,1.5168851246580046,7.764787738219165,Q3b,200-499,200-499,1990s,D6,False,5.77509,5127.0,16
6688,Ninety-Nine,1974.0,554,616.0,2.0789,0.0,7.179743754512634,7.886113311979459,0.050704395976017176,6.291731316143828,1.5943819958356311,1.5686015650460359,1.4950013797226374,7.7867326958664655,Q3b,500-999,500-999,1970s,D7,False,5.85297,4287.0,17
23421,1832: The South,2006.0,125,131.0,3.8889,0.0,7.775600000000001,8.772476207947946,0.1067444955881541,7.188441143456522,1.5840350644914238,1.5633390269551501,1.3748158531386419,8.563256996595165,Q3b,100-199,100-199,2000s,D2,False,5.61942,8590.0,18
383010,Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic,2024.0,234,1126.0,2.75,0.0,9.083376068376069,9.383173286917032,0.0780175965603953,7.802512074818933,1.5806612120980983,1.5903437739335242,1.4277467228397236,9.230258797658657,Q3b,200-499,200-499,2020s,D4,False,6.44143,1484.0,19
14188,Bughouse Chess,1960.0,362,377.0,2.7805,0.0,7.313624226519336,7.9287325922212455,0.06272580023108781,6.356665981196656,1.5720666110245896,1.603457891816288,1.4491240425716574,7.8057900237683135,Q3b,200-499,200-499,1960s,D6,False,5.74435,5581.0,20
7935,1844: Schweiz,2003.0,212,221.0,4.0952,0.0,8.128872641509435,8.943775536007132,0.0819657779858829,7.37401619370514,1.5697593423019924,1.5667151670450101,1.409106417449662,8.783122611154802,Q3b,200-499,200-499,2000s,D4,False,5.72066,5973.0,21
